#seq_name,length,cov.,circ.,repeat,mult.,alt_group,graph_path,MAG
sample21_contig_2376,3283706,52,Y,N,10,*,2376,sample21_SemiBin_1
sample21_contig_12438,43858,10,Y,N,1,*,12438,sample21_SemiBin_6
sample22_contig_1978,1681479,25,Y,N,4,*,1978,sample22_SemiBin_2
sample23_contig_2798,3623452,25,Y,N,6,*,2798,sample23_SemiBin_0
sample24_contig_100246,63795,6,Y,N,1,*,100246,sample24_SemiBin_33
sample25_contig_115274,152998,17,Y,N,3,*,115274,sample25_SemiBin_101
sample27_contig_43156,200140,9,Y,N,2,*,43156,sample27_SemiBin_64
sample27_contig_884,152445,11,Y,N,1,*,884,sample27_SemiBin_30
sample28_contig_49979,144240,13,Y,N,1,*,49979,sample28_SemiBin_16
sample28_contig_17382,24106,5,Y,Y,1,*,17382,sample28_SemiBin_49
sample29_contig_7984,1072301,9,Y,N,1,*,7984,sample29_SemiBin_122
sample29_contig_54971,60980,16,Y,N,2,*,54971,sample29_SemiBin_1791
sample2_contig_106147,36501,6,Y,N,1,*,106147,sample2_SemiBin_37
sample2_contig_62560,32332,7,Y,N,1,*,62560,sample2_SemiBin_37
sample30_contig_117112,77611,7,Y,N,1,*,117112,sample30_SemiBin_25
sample30_contig_116816,15395,7,Y,N,1,*,116816,sample30_SemiBin_236
sample3_contig_26540,271201,14,Y,N,2,*,26540,sample3_SemiBin_54
sample4_contig_35597,115355,14,Y,N,2,*,35597,sample4_SemiBin_42
sample4_contig_138443,106756,8,Y,N,1,*,138443,sample4_SemiBin_1409
sample4_contig_139942,88092,17,Y,N,2,*,139942,sample4_SemiBin_1409
sample4_contig_140372,14803,7,Y,N,1,*,140372,sample4_SemiBin_1409
sample4_contig_13678,12133,48,Y,Y,9,11842,13678,sample4_SemiBin_32
sample4_contig_142554,9690,4,Y,Y,1,*,142554,sample4_SemiBin_1409
sample4_contig_66239,8485,5,Y,Y,1,864,66239,sample4_SemiBin_1409
sample4_contig_56400,6801,19,Y,Y,3,14422,56400,sample4_SemiBin_46
sample4_contig_17644,4285,3,Y,Y,1,15600,17644,sample4_SemiBin_1409
sample6_contig_3213,7628078,18,Y,N,3,*,3213,sample6_SemiBin_13
sample7_contig_100792,73615,6,Y,N,1,*,100792,sample7_SemiBin_51
sample7_contig_97885,39792,11,Y,N,2,*,97885,sample7_SemiBin_59
sample9_contig_9190,86122,10,Y,N,1,*,9190,sample9_SemiBin_30
sample9_contig_54460,36475,9,Y,N,1,*,54460,sample9_SemiBin_30
sample9_contig_89537,20791,6,Y,N,1,*,89537,sample9_SemiBin_30
snj01_contig_71158,42851,7,Y,N,2,*,71158,snj01_SemiBin_1368
snj02_contig_1864,5057179,219,Y,N,55,*,1864,snj02_SemiBin_2
snj02_contig_417,3136212,77,Y,N,19,*,417,snj02_SemiBin_0
snj02_contig_11842,102337,24,Y,N,6,*,11842,snj02_SemiBin_30
snj03_contig_10759,268629,12,Y,N,2,*,10759,snj03_SemiBin_909
snj04_contig_4436,5384137,21,Y,N,4,*,4436,snj04_SemiBin_0
snj04_contig_565,57810,5,Y,N,1,*,565,snj04_SemiBin_1706
snj08_contig_94,4004726,15,Y,N,2,*,94,snj08_SemiBin_17
snj11_contig_35716,216092,11,Y,N,1,*,35716,snj11_SemiBin_15
snj11_contig_78179,161574,6,Y,N,1,*,78179,snj11_SemiBin_47
snj11_contig_80435,40682,12,Y,N,1,*,80435,snj11_SemiBin_149
snj11_contig_33210,40218,7,Y,N,1,*,33210,snj11_SemiBin_149
snj13_contig_25709,407808,7,Y,N,1,*,25709,snj13_SemiBin_19
snj13_contig_8792,112018,12,Y,N,3,*,8792,snj13_SemiBin_84
snj16_contig_52328,29887,5,Y,N,1,*,52328,snj16_SemiBin_47
snj19_contig_4456,4599014,14,Y,N,2,*,4456,snj19_SemiBin_12
