AS_cluster_name	name	bin	length	contig_edge	completeness	contamination	N50	size	P_final	C_final	O_final	F_final	G_final	S_final	P_gtdb	C_gtdb	O_gtdb	F_gtdb	G_gtdb	S_gtdb	phylum	class	order	family	genus	species	final_product	coverage	distance
c01777_contig_...region001	contig_4794:1.0-23969.0_pilon_pilon_pilon_pilon_pilon_pilon	NA	24155	True	NA	NA	NA	NA	Actinobacteriota	Actinobacteria	Mycobacteriales	Pseudonocardiaceae	not classified	not classified	not classified	not classified	not classified	not classified	not classified	not classified	Actinobacteriota	Actinobacteria	Mycobacteriales	Pseudonocardiaceae	not classified	not classified	NRPS	7.69008486855723	1204
c00420_contig_...region001_1	contig_18449:1.0-32002.0_pilon_pilon_pilon_pilon_pilon_pilon	NA	32212	True	NA	NA	NA	NA	Proteobacteria	Gammaproteobacteria	UBA7966	UBA7966	USCg-Taylor	USCg-Taylor sp002007425	not classified	not classified	not classified	not classified	not classified	not classified	Proteobacteria	Gammaproteobacteria	UBA7966	UBA7966	USCg-Taylor	USCg-Taylor sp002007425	arylpolyene	11.998168384453	1088
c01766_scaffol...region001	scaffold_2940:1.0-440659.0_pilon_pilon_pilon_pilon_pilon_pilon	NA	43177	False	NA	NA	NA	NA	Acidobacteriota	Vicinamibacteria	Vicinamibacterales	not classified	not classified	not classified	not classified	not classified	not classified	not classified	not classified	not classified	Acidobacteriota	Vicinamibacteria	Vicinamibacterales	not classified	not classified	not classified	NRPS-like	9.84412141035691	1185
c00782_contig_...region001	contig_2830:1.0-26369.0_pilon_pilon_pilon_pilon_pilon_pilon	NA	19543	True	NA	NA	NA	NA	Proteobacteria	Gammaproteobacteria	not classified	not classified	not classified	not classified	not classified	not classified	not classified	not classified	not classified	not classified	Proteobacteria	Gammaproteobacteria	not classified	not classified	not classified	not classified	terpene	5.03768531442152	964
c00290_contig_...region001	contig_12314:1.0-97422.0_pilon_pilon_pilon_pilon_pilon_pilon	NA	29949	False	NA	NA	NA	NA	not classified	not classified	not classified	not classified	not classified	not classified	not classified	not classified	not classified	not classified	not classified	not classified	not classified	not classified	not classified	not classified	not classified	not classified	lassopeptide	10.6792068046731	761
c00661_contig_...region001	contig_44066:1.0-65916.0_pilon_pilon_pilon_pilon_pilon_pilon	NA	24820	False	NA	NA	NA	NA	Chloroflexota_A	Ellin6529	P2-11E	P2-11E	UBA4735	UBA4735 sp002404155	not classified	not classified	not classified	not classified	not classified	not classified	Chloroflexota_A	Ellin6529	P2-11E	P2-11E	UBA4735	UBA4735 sp002404155	lassopeptide	8.56880206837116	1072
c01704_contig_...region001	contig_36125:1.0-29159.0_pilon_pilon_pilon_pilon_pilon_pilon	NA	17129	True	NA	NA	NA	NA	Proteobacteria	Gammaproteobacteria	UBA7966	UBA7966	USCg-Taylor	USCg-Taylor sp002007425	not classified	not classified	not classified	not classified	not classified	not classified	Proteobacteria	Gammaproteobacteria	UBA7966	UBA7966	USCg-Taylor	USCg-Taylor sp002007425	phenazine	42.1975216772357	856
c01600_contig_...region001	contig_3387:1.0-560711.0_pilon_pilon_pilon_pilon_pilon_pilon	bin.57	60330	False	88.15	1.535	560344	4084934	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Rhizobacter	not classified	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Rhizobacter	not classified	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	not classified	not classified	acyl_amino_acids	16.3985533886327	1359
c01473_contig_...region001	contig_54739:1.0-36047.0_pilon_pilon_pilon_pilon_pilon_pilon	NA	15396	True	NA	NA	NA	NA	Verrucomicrobiota	Verrucomicrobiae	not classified	not classified	not classified	not classified	not classified	not classified	not classified	not classified	not classified	not classified	Verrucomicrobiota	Verrucomicrobiae	not classified	not classified	not classified	not classified	terpene	7.95313839940247	566
c00668_contig_...region001	contig_46487:1.0-60064.0_pilon_pilon_pilon_pilon_pilon_pilon	NA	23355	False	NA	NA	NA	NA	Acidobacteriota	not classified	not classified	not classified	not classified	not classified	not classified	not classified	not classified	not classified	not classified	not classified	Acidobacteriota	not classified	not classified	not classified	not classified	not classified	lassopeptide	8.06843037522141	1339
c00806_contig_...region001	contig_10863:1.0-245980.0_pilon_pilon_pilon_pilon_pilon_pilon	bin.100	20669	False	61.64	2.432	247494	2615904	Actinobacteriota	Actinobacteria	Frankiales	Frankiaceae	not classified	not classified	Actinobacteriota	Actinobacteria	Frankiales	Frankiaceae	not classified	not classified	Actinobacteriota	Actinobacteria	not classified	not classified	not classified	not classified	terpene	16.1299239160475	1344
c01144_contig_...region001_1	contig_11226:1.0-297018.0_pilon_pilon_pilon_pilon_pilon_pilon	NA	41383	False	NA	NA	NA	NA	Acidobacteriota	Vicinamibacteria	Vicinamibacterales	not classified	not classified	not classified	not classified	not classified	not classified	not classified	not classified	not classified	Acidobacteriota	Vicinamibacteria	Vicinamibacterales	not classified	not classified	not classified	T1PKS	9.84724473937722	1376
c00725_contig_...region001	contig_4896:1.0-103556.0_pilon_pilon_pilon_pilon_pilon_pilon	NA	40831	False	NA	NA	NA	NA	Actinobacteriota	Acidimicrobiia	not classified	not classified	not classified	not classified	not classified	not classified	not classified	not classified	not classified	not classified	Actinobacteriota	Acidimicrobiia	not classified	not classified	not classified	not classified	other	38.2165178142706	1262
c00077_contig_...region001	contig_2713:1.0-488446.0_pilon_pilon_pilon_pilon_pilon_pilon	bin.62	45764	False	77.17	3.738	489550	3803287	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Herminiimonas	not classified	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Herminiimonas	not classified	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	not classified	not classified	other_hybrid	7.55866407925646	1600
c00672_contig_...region001	contig_18725:1.0-173267.0_pilon_pilon_pilon_pilon_pilon_pilon	bin.40	70616	False	89.03	1.724	1031226	4287441	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	Palsa-955	not classified	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	Palsa-955	not classified	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	not classified	not classified	NRPS	16.6920061566487	1875
c00075_contig_...region001	contig_59548:1997.0-18164.0_pilon_pilon_pilon_pilon_pilon_pilon	NA	16289	True	NA	NA	NA	NA	not classified	not classified	not classified	not classified	not classified	not classified	not classified	not classified	not classified	not classified	not classified	not classified	not classified	not classified	not classified	not classified	not classified	not classified	NRPS	14.509239363988	379
c01752_contig_...region001	contig_806:1.0-70676.0_pilon_pilon_pilon_pilon_pilon_pilon	NA	18705	True	NA	NA	NA	NA	Proteobacteria	Gammaproteobacteria	not classified	not classified	not classified	not classified	not classified	not classified	not classified	not classified	not classified	not classified	Proteobacteria	Gammaproteobacteria	not classified	not classified	not classified	not classified	terpene	48.2824523526973	985
c00958_contig_...region001	contig_3979:1.0-75693.0_pilon_pilon_pilon_pilon_pilon_pilon	NA	12495	True	NA	NA	NA	NA	Chloroflexota	Anaerolineae	Anaerolineales	envOPS12	not classified	not classified	not classified	not classified	not classified	not classified	not classified	not classified	Chloroflexota	Anaerolineae	Anaerolineales	envOPS12	not classified	not classified	terpene	5.76030636643107	775
c00335_contig_...region001	contig_24819:1.0-388364.0_pilon_pilon_pilon_pilon_pilon_pilon	NA	42571	False	NA	NA	NA	NA	Actinobacteriota	Thermoleophilia	Solirubrobacterales	not classified	not classified	not classified	not classified	not classified	not classified	not classified	not classified	not classified	Actinobacteriota	Thermoleophilia	Solirubrobacterales	not classified	not classified	not classified	NRPS-like	9.43577391183702	1579
c01696_contig_...region001	contig_5023:1.0-135533.0_pilon_pilon_pilon_pilon_pilon_pilon	NA	31867	True	NA	NA	NA	NA	Actinobacteriota	Actinobacteria	Propionibacteriales	Nocardioidaceae	Nocardioides	not classified	not classified	not classified	not classified	not classified	not classified	not classified	Actinobacteriota	Actinobacteria	Propionibacteriales	Nocardioidaceae	Nocardioides	not classified	T3PKS	5.65716156948165	1163
c01723_contig_...region001	contig_4070:1.0-84731.0_pilon_pilon_pilon_pilon_pilon_pilon	NA	10399	False	NA	NA	NA	NA	Proteobacteria	Gammaproteobacteria	Burkholderiales	not classified	not classified	not classified	not classified	not classified	not classified	not classified	not classified	not classified	Proteobacteria	Gammaproteobacteria	Burkholderiales	not classified	not classified	not classified	bacteriocin	11.8474606181104	837
c00713_contig_...region001_2	contig_53768:1.0-171789.0_pilon_pilon_pilon_pilon_pilon_pilon	bin.61	41077	False	53.36	1.724	170617	3151660	Actinobacteriota	Actinobacteria	Actinomycetales	not classified	not classified	not classified	Actinobacteriota	Actinobacteria	Actinomycetales	not classified	not classified	not classified	Actinobacteriota	Actinobacteria	not classified	not classified	not classified	not classified	T3PKS	11.6621595709446	1457
c00986_contig_...region001	contig_35297:1.0-528792.0_pilon_pilon_pilon_pilon_pilon_pilon	bin.96	20936	False	95.5	2.197	689720	2933794	Gemmatimonadota	Gemmatimonadetes	Gemmatimonadales	GWC2-71-9	Palsa-1233	not classified	Gemmatimonadota	Gemmatimonadetes	Gemmatimonadales	GWC2-71-9	Palsa-1233	not classified	Gemmatimonadota	Gemmatimonadetes	Gemmatimonadales	GWC2-71-9	Palsa-1233	Palsa-1233 sp003169895	terpene	30.8192740079831	1203
c00297_contig_...region001_1	contig_12323:1.0-42334.0_pilon_pilon_pilon_pilon_pilon_pilon	NA	34308	True	NA	NA	NA	NA	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	ErythrobacterA	ErythrobacterA sp001678665	not classified	not classified	not classified	not classified	not classified	not classified	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	ErythrobacterA	ErythrobacterA sp001678665	T3PKS	11.4677763951823	1240
c01458_contig_...region001	contig_9729:1.0-77830.0_pilon_pilon_pilon_pilon_pilon_pilon	NA	12270	True	NA	NA	NA	NA	Chloroflexota	Anaerolineae	Anaerolineales	envOPS12	UBA12294	not classified	not classified	not classified	not classified	not classified	not classified	not classified	Chloroflexota	Anaerolineae	Anaerolineales	envOPS12	UBA12294	not classified	terpene	7.84870418529574	814
c01151_contig_...region001	contig_3334:1.0-388883.0_pilon_pilon_pilon_pilon_pilon_pilon	NA	52660	False	NA	NA	NA	NA	Proteobacteria	Gammaproteobacteria	not classified	not classified	not classified	not classified	not classified	not classified	not classified	not classified	not classified	not classified	Proteobacteria	Gammaproteobacteria	not classified	not classified	not classified	not classified	NRPS	10.8419145421719	1447
c00663_contig_...region001	contig_55911:1.0-35533.0_pilon_pilon_pilon_pilon_pilon_pilon	NA	27210	True	NA	NA	NA	NA	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	not classified	not classified	not classified	not classified	not classified	not classified	not classified	not classified	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	not classified	not classified	arylpolyene	6.68860560453754	1242
c01405_contig_...region001_1	contig_49844:1.0-37845.0_pilon_pilon_pilon_pilon_pilon_pilon	NA	38385	True	NA	NA	NA	NA	not classified	not classified	not classified	not classified	not classified	not classified	not classified	not classified	not classified	not classified	not classified	not classified	not classified	not classified	not classified	not classified	not classified	not classified	acyl_amino_acids	3.87278884981112	927
c00319_contig_...region001_2	contig_12346:1.0-33982.0_pilon_pilon_pilon_pilon_pilon_pilon	NA	23314	True	NA	NA	NA	NA	not classified	not classified	not classified	not classified	not classified	not classified	not classified	not classified	not classified	not classified	not classified	not classified	not classified	not classified	not classified	not classified	not classified	not classified	other	15.7312617481203	566
c01603_contig_...region001	contig_9898:1.0-120250.0_pilon_pilon_pilon_pilon_pilon_pilon	NA	44655	False	NA	NA	NA	NA	Verrucomicrobiota	Verrucomicrobiae	Pedosphaerales	not classified	not classified	not classified	not classified	not classified	not classified	not classified	not classified	not classified	Verrucomicrobiota	Verrucomicrobiae	Pedosphaerales	not classified	not classified	not classified	NRPS	5.76084706112501	1056
c00075_contig_...region001_1	contig_29790:1.0-40873.0_pilon_pilon_pilon_pilon_pilon_pilon	NA	12419	True	NA	NA	NA	NA	Cyanobacteria	Cyanobacteriia	Cyanobacteriales	Nostocaceae	Nostoc	not classified	not classified	not classified	not classified	not classified	not classified	not classified	Cyanobacteria	Cyanobacteriia	Cyanobacteriales	Nostocaceae	Nostoc	not classified	terpene	8.69841533031717	805
c01358_contig_...region001	contig_44952:1.0-60972.0_pilon_pilon_pilon_pilon_pilon_pilon	NA	42076	False	NA	NA	NA	NA	Actinobacteriota	Actinobacteria	Mycobacteriales	Pseudonocardiaceae	not classified	not classified	not classified	not classified	not classified	not classified	not classified	not classified	Actinobacteriota	Actinobacteria	Mycobacteriales	Pseudonocardiaceae	not classified	not classified	arylpolyene	9.89710276731194	1763
c01477_contig_...region004	contig_15536:1.0-1440034.0_pilon_pilon_pilon_pilon_pilon_pilon	bin.34	53011	False	95.54	1.143	990805	6904799	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas_E	Pseudomonas_E sp001705835	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas_E	Pseudomonas_E sp001705835	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas_E	not classified	NRPS	21.6712547517967	1041
c00689_contig_...region001	contig_32769:1.0-59315.0_pilon_pilon_pilon_pilon_pilon_pilon	bin.29	27563	False	60.52	0	59661	4994111	Acidobacteriota	Acidobacteriae	Bryobacterales	Bryobacteraceae	not classified	not classified	Acidobacteriota	Acidobacteriae	Bryobacterales	Bryobacteraceae	not classified	not classified	Acidobacteriota	Acidobacteriae	Bryobacterales	Bryobacteraceae	not classified	not classified	terpene	7.79874624964382	1338
c00501_contig_...region001	contig_2506:1.0-600923.0_pilon_pilon_pilon_pilon_pilon_pilon	bin.33	21793	False	94.95	1.163	384155	2738865	Gemmatimonadota	Gemmatimonadetes	not classified	not classified	not classified	not classified	Gemmatimonadota	Gemmatimonadetes	not classified	not classified	not classified	not classified	not classified	not classified	not classified	not classified	not classified	not classified	terpene	46.1910096105883	1079
c01096_contig_...region001	contig_11170:13.0-122477.0_pilon_pilon_pilon_pilon_pilon_pilon	NA	14345	True	NA	NA	NA	NA	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	not classified	not classified	not classified	not classified	not classified	not classified	not classified	not classified	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	not classified	not classified	terpene	9.4561150492952	588
c01183_contig_...region001	contig_58706:1.0-46288.0_pilon_pilon_pilon_pilon_pilon_pilon	NA	32452	True	NA	NA	NA	NA	Myxococcota	Polyangia	not classified	not classified	not classified	not classified	not classified	not classified	not classified	not classified	not classified	not classified	Myxococcota	Polyangia	not classified	not classified	not classified	not classified	arylpolyene	13.2613520840393	1090
c00339_contig_...region001	contig_43650:1.0-25088.0_pilon_pilon_pilon_pilon_pilon_pilon	NA	10159	False	NA	NA	NA	NA	Chloroflexota_A	Ellin6529	QHBO01	QHBO01	QHBO01	QHBO01 sp003243965	not classified	not classified	not classified	not classified	not classified	not classified	Chloroflexota_A	Ellin6529	QHBO01	QHBO01	QHBO01	QHBO01 sp003243965	ectoine	11.2401800165805	881
c01011_contig_...region001_1	contig_17043:1.0-103867.0_pilon_pilon_pilon_pilon_pilon_pilon	NA	36804	True	NA	NA	NA	NA	Actinobacteriota	not classified	not classified	not classified	not classified	not classified	not classified	not classified	not classified	not classified	not classified	not classified	Actinobacteriota	not classified	not classified	not classified	not classified	not classified	NRPS	9.15719747915306	1463
c01175_contig_...region001	contig_4006:1.0-40733.0_pilon_pilon_pilon_pilon_pilon_pilon	NA	22834	True	NA	NA	NA	NA	not classified	not classified	not classified	not classified	not classified	not classified	not classified	not classified	not classified	not classified	not classified	not classified	not classified	not classified	not classified	not classified	not classified	not classified	NRPS-like	3.84308721923975	590
c00996_contig_...region001	contig_25852:1.0-239670.0_pilon_pilon_pilon_pilon_pilon_pilon	NA	54398	False	NA	NA	NA	NA	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	not classified	not classified	not classified	not classified	not classified	not classified	not classified	not classified	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	not classified	not classified	NRPS	7.17863357545403	1230
c01469_contig_...region001	contig_56897:1.0-60060.0_pilon_pilon_pilon_pilon_pilon_pilon	NA	34091	True	NA	NA	NA	NA	Actinobacteriota	Actinobacteria	Propionibacteriales	Nocardioidaceae	Nocardioides	not classified	not classified	not classified	not classified	not classified	not classified	not classified	Actinobacteriota	Actinobacteria	Propionibacteriales	Nocardioidaceae	Nocardioides	not classified	T3PKS	7.77473691232635	1326
c00458_contig_...region001_1	contig_3468:1.0-122857.0_pilon_pilon_pilon_pilon_pilon_pilon	bin.64	10384	False	76.67	8.95	118653	1957623	Chloroflexota_A	Ellin6529	QHBO01	QHBO01	not classified	not classified	Chloroflexota_A	Ellin6529	QHBO01	QHBO01	not classified	not classified	Chloroflexota_A	Ellin6529	QHBO01	QHBO01	QHBO01	QHBO01 sp003243965	ectoine	21.818867802056	691
c01806_contig_...region001	contig_15892:1.0-359217.0_pilon_pilon_pilon_pilon_pilon_pilon	bin.102	22672	False	66.47	2.611	227260	10791384	Acidobacteriota	Acidobacteriae	20CM-2-55-15	not classified	not classified	not classified	Acidobacteriota	Acidobacteriae	20CM-2-55-15	not classified	not classified	not classified	Acidobacteriota	not classified	not classified	not classified	not classified	not classified	lassopeptide	8.77215154759857	1429
c00177_contig_...region001_1	contig_10185:1.0-53892.0_pilon_pilon_pilon_pilon_pilon_pilon	NA	12831	True	NA	NA	NA	NA	Actinobacteriota	Actinobacteria	not classified	not classified	not classified	not classified	not classified	not classified	not classified	not classified	not classified	not classified	Actinobacteriota	Actinobacteria	not classified	not classified	not classified	not classified	terpene	11.1798617161288	725
c00107_contig_...region001	contig_2446:1.0-259537.0_pilon_pilon_pilon_pilon_pilon_pilon	bin.21	41083	False	87.8	0.492	256823	3353834	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	Flavisolibacter_B	not classified	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	Flavisolibacter_B	not classified	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	not classified	not classified	T3PKS	19.9056479145305	1046
c00529_contig_...region001	contig_43901:1.0-23210.0_pilon_pilon_pilon_pilon_pilon_pilon	NA	23501	True	NA	NA	NA	NA	Actinobacteriota	Actinobacteria	not classified	not classified	not classified	not classified	not classified	not classified	not classified	not classified	not classified	not classified	Actinobacteriota	Actinobacteria	not classified	not classified	not classified	not classified	NRPS	8.45500191481214	1370
c01310_contig_...region004	contig_2148:1.0-2658156.0_pilon_pilon_pilon_pilon_pilon_pilon	bin.71	63452	False	85.17	4.109	1218759	8778864	Verrucomicrobiota	Verrucomicrobiae	Opitutales	Opitutaceae	Opitutus	not classified	Verrucomicrobiota	Verrucomicrobiae	Opitutales	Opitutaceae	Opitutus	not classified	Verrucomicrobiota	Verrucomicrobiae	Opitutales	Opitutaceae	not classified	not classified	NRPS	11.365884961835	1436
c00083_contig_...region001	contig_2015:1.0-306697.0_pilon_pilon_pilon_pilon_pilon_pilon	NA	71829	False	NA	NA	NA	NA	Actinobacteriota	Thermoleophilia	not classified	not classified	not classified	not classified	not classified	not classified	not classified	not classified	not classified	not classified	Actinobacteriota	Thermoleophilia	not classified	not classified	not classified	not classified	T2PKS	20.1370816163656	2448
c01138_contig_...region001	contig_40015:1.0-72102.0_pilon_pilon_pilon_pilon_pilon_pilon	bin.51	10405	False	85.24	0.963	145839	6557706	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Achromobacter	Achromobacter sp001299435	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Achromobacter	Achromobacter sp001299435	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Achromobacter	not classified	ectoine	20.6879053848914	847
c01162_contig_...region001	contig_47127:1.0-15510.0_pilon_pilon_pilon_pilon_pilon_pilon	bin.48	15513	True	60.62	1.086	37579	3727139	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Ochrobactrum_A	Ochrobactrum_A pituitosum	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Ochrobactrum_A	Ochrobactrum_A pituitosum	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Ochrobactrum_A	not classified	acyl_amino_acids	20.4023077418939	928
c00800_contig_...region001_2	contig_25564:1.0-89549.0_pilon_pilon_pilon_pilon_pilon_pilon	NA	10246	False	NA	NA	NA	NA	Proteobacteria	Gammaproteobacteria	Burkholderiales	not classified	not classified	not classified	not classified	not classified	not classified	not classified	not classified	not classified	Proteobacteria	Gammaproteobacteria	Burkholderiales	not classified	not classified	not classified	bacteriocin	4.72006447481728	443
c00039_contig_...region001_1	contig_12031:1.0-12830.0_pilon_pilon_pilon_pilon_pilon_pilon	NA	12967	True	NA	NA	NA	NA	not classified	not classified	not classified	not classified	not classified	not classified	not classified	not classified	not classified	not classified	not classified	not classified	not classified	not classified	not classified	not classified	not classified	not classified	terpene	4.41983496568212	890
c01857_contig_...region001	contig_617:1.0-269406.0_pilon_pilon_pilon_pilon_pilon_pilon	NA	26785	False	NA	NA	NA	NA	Actinobacteriota	Thermoleophilia	Solirubrobacterales	not classified	not classified	not classified	not classified	not classified	not classified	not classified	not classified	not classified	Actinobacteriota	Thermoleophilia	Solirubrobacterales	not classified	not classified	not classified	betalactone	9.52305856183744	1173
c00559_contig_...region001	contig_8771:1.0-52124.0_pilon_pilon_pilon_pilon_pilon_pilon	NA	22910	False	NA	NA	NA	NA	Acidobacteriota	Blastocatellia	Pyrinomonadales	Pyrinomonadaceae	not classified	not classified	not classified	not classified	not classified	not classified	not classified	not classified	Acidobacteriota	Blastocatellia	Pyrinomonadales	Pyrinomonadaceae	not classified	not classified	lassopeptide	10.7603551969231	1232
c01309_contig_...region001	contig_56702:1.0-417051.0_pilon_pilon_pilon_pilon_pilon_pilon	NA	40360	False	NA	NA	NA	NA	BdellovibrionotaB	UBA2361	not classified	not classified	not classified	not classified	not classified	not classified	not classified	not classified	not classified	not classified	BdellovibrionotaB	UBA2361	not classified	not classified	not classified	not classified	T3PKS	5.02198224887413	1192
c01501_contig_...region001	contig_7787:1.0-277093.0_pilon_pilon_pilon_pilon_pilon_pilon	NA	46931	True	NA	NA	NA	NA	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Serratia	not classified	not classified	not classified	not classified	not classified	not classified	not classified	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Serratia	not classified	NRPS	15.1134347822954	1054
c00950_contig_...region001	contig_25788:1.0-17496.0_pilon_pilon_pilon_pilon_pilon_pilon	NA	13857	True	NA	NA	NA	NA	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	not classified	not classified	not classified	not classified	not classified	not classified	not classified	not classified	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	not classified	not classified	terpene	6.31367384333486	828
