Mag ID,Completeness,Contamination,GUNC Quality,MIMAG,Drep_95,Sample,Nr contigs,Quality,N50,L50
cpsnj01_SemiBin_24,71.77,0.89,Medium quality,F,T,cpsnj01,17,Medium quality,402668,4
cpsnj01_SemiBin_25,65.46,7.97,Medium quality,F,T,cpsnj01,47,Medium quality,203848,9
cpsnj01_SemiBin_26,71.59,0.38,Medium quality,F,T,cpsnj01,17,Medium quality,339338,4
cpsnj01_SemiBin_275,69.87,6.61,Medium quality,F,T,cpsnj01,59,Medium quality,78001,13
cpsnj01_SemiBin_286,55.6,3.63,Medium quality,F,F,cpsnj01,15,Medium quality,353066,5
cpsnj01_SemiBin_28,57.65,0.25,Medium quality,F,F,cpsnj01,29,Medium quality,127166,8
cpsnj01_SemiBin_29,58.72,2.31,Medium quality,F,T,cpsnj01,7,Medium quality,320747,3
cpsnj01_SemiBin_2,98.62,0.39,High quality,T,F,cpsnj01,13,HQ-MIMAG,476223,3
cpsnj01_SemiBin_30,58.79,8.38,Medium quality,F,T,cpsnj01,149,Medium quality,102213,27
cpsnj01_SemiBin_32,68.8,2.74,Medium quality,F,F,cpsnj01,8,Medium quality,799656,3
cpsnj01_SemiBin_34,59.51,2.19,Medium quality,F,T,cpsnj01,19,Medium quality,274981,4
cpsnj01_SemiBin_35,71.22,8.34,Medium quality,F,F,cpsnj01,31,Medium quality,184834,7
cpsnj01_SemiBin_37,61.13,1,Medium quality,F,T,cpsnj01,37,Medium quality,141928,11
cpsnj01_SemiBin_38,64.73,3.36,Medium quality,F,T,cpsnj01,112,Medium quality,82085,28
cpsnj01_SemiBin_399,58.61,5.19,Medium quality,F,T,cpsnj01,18,Medium quality,345344,4
cpsnj01_SemiBin_39,76.94,0.03,Medium quality,F,F,cpsnj01,26,Medium quality,192939,8
cpsnj01_SemiBin_409,58.69,9.97,Medium quality,F,T,cpsnj01,70,Medium quality,60416,21
cpsnj01_SemiBin_40,62.44,1.29,Medium quality,F,T,cpsnj01,24,Medium quality,206514,7
cpsnj01_SemiBin_42,53.84,0.48,Medium quality,F,T,cpsnj01,9,Medium quality,176096,3
cpsnj01_SemiBin_43,68.93,4.24,Medium quality,F,T,cpsnj01,46,Medium quality,162981,10
cpsnj01_SemiBin_45,78.43,4.7,Medium quality,F,T,cpsnj01,18,Medium quality,620322,3
cpsnj01_SemiBin_47,89.74,4.39,Medium quality,F,F,cpsnj01,9,Medium quality,328370,3
cpsnj01_SemiBin_48,57.48,0.46,Medium quality,F,T,cpsnj01,8,Medium quality,300256,3
cpsnj01_SemiBin_49,89.06,7.69,Medium quality,F,T,cpsnj01,83,Medium quality,241045,12
cpsnj01_SemiBin_4,98.12,4.33,High quality,T,F,cpsnj01,18,HQ-MIMAG,442376,4
cpsnj01_SemiBin_51,54.09,2.18,Medium quality,F,T,cpsnj01,21,Medium quality,230985,5
cpsnj01_SemiBin_52,54.73,4.6,Medium quality,F,T,cpsnj01,81,Medium quality,68750,23
cpsnj01_SemiBin_54,50.86,1.1,Medium quality,F,F,cpsnj01,14,Medium quality,236489,5
cpsnj01_SemiBin_56,56.55,0.1,Medium quality,F,F,cpsnj01,7,Medium quality,317218,3
cpsnj01_SemiBin_57,63.11,1.59,Medium quality,F,F,cpsnj01,15,Medium quality,284710,4
cpsnj01_SemiBin_59,50.41,2.8,Medium quality,F,T,cpsnj01,14,Medium quality,404597,4
cpsnj01_SemiBin_5,98.2,1.23,High quality,T,F,cpsnj01,12,HQ-MIMAG,545964,3
cpsnj01_SemiBin_61,51.34,0.2,Medium quality,F,T,cpsnj01,11,Medium quality,261022,4
cpsnj01_SemiBin_62,71.83,7.09,Medium quality,F,T,cpsnj01,23,Medium quality,246045,5
cpsnj01_SemiBin_63,63.58,3.05,Medium quality,F,F,cpsnj01,20,Medium quality,135387,6
cpsnj01_SemiBin_64,75.44,1.51,Medium quality,F,T,cpsnj01,15,Medium quality,240215,5
cpsnj01_SemiBin_65,62.82,0.33,Medium quality,F,T,cpsnj01,14,Medium quality,295489,5
cpsnj01_SemiBin_66,53.89,4.04,Medium quality,F,T,cpsnj01,56,Medium quality,130202,13
cpsnj01_SemiBin_6,98.88,6.63,Medium quality,F,T,cpsnj01,21,Medium quality,946944,3
cpsnj01_SemiBin_71,66.92,2.26,Medium quality,F,T,cpsnj01,17,Medium quality,528352,4
cpsnj01_SemiBin_73,71.83,8.77,Medium quality,F,T,cpsnj01,147,Medium quality,92568,28
cpsnj01_SemiBin_77,69.87,1.28,Medium quality,F,T,cpsnj01,9,Medium quality,527866,3
cpsnj01_SemiBin_7,85.69,0.03,Medium quality,F,T,cpsnj01,4,Medium quality,658379,2
cpsnj01_SemiBin_82,57.29,1.44,Medium quality,F,F,cpsnj01,33,Medium quality,97391,11
cpsnj01_SemiBin_83,70.71,4.31,Medium quality,F,T,cpsnj01,12,Medium quality,327819,4
cpsnj01_SemiBin_85,62.04,5.1,Medium quality,F,T,cpsnj01,35,Medium quality,178978,10
cpsnj01_SemiBin_87,52.41,1.52,Medium quality,F,T,cpsnj01,28,Medium quality,166130,7
cpsnj01_SemiBin_8,92.72,0.53,High quality,T,T,cpsnj01,12,HQ-MIMAG,458144,4
cpsnj01_SemiBin_90,60.92,2.33,Medium quality,F,T,cpsnj01,31,Medium quality,182996,10
cpsnj01_SemiBin_92,71.62,3.02,Medium quality,F,F,cpsnj01,16,Medium quality,252749,4
cpsnj01_SemiBin_95,63.7,4.4,Medium quality,F,T,cpsnj01,35,Medium quality,158880,11
cpsnj01_SemiBin_9,88.07,6.23,Medium quality,F,F,cpsnj01,14,Medium quality,342541,4
cpsnj02_SemiBin_0,99.19,0.02,High quality,T,T,cpsnj02,4,HQ-MIMAG,1412566,1
cpsnj02_SemiBin_102,56.22,2.73,Medium quality,F,T,cpsnj02,27,Medium quality,126168,7
cpsnj02_SemiBin_104,63.07,3.43,Medium quality,F,F,cpsnj02,7,Medium quality,611136,2
cpsnj02_SemiBin_106,59.21,0.03,Medium quality,F,F,cpsnj02,7,Medium quality,299927,3
cpsnj02_SemiBin_107,72.68,0.53,Medium quality,F,F,cpsnj02,16,Medium quality,405769,4
cpsnj02_SemiBin_109,67.44,2.65,Medium quality,F,T,cpsnj02,5,Medium quality,486513,2
cpsnj02_SemiBin_10,90.26,0.43,High quality,T,T,cpsnj02,1,HQ-MIMAG,3677792,1
cpsnj02_SemiBin_111,84.96,1.13,Medium quality,F,F,cpsnj02,23,Medium quality,192154,6
cpsnj02_SemiBin_112,60.79,0.25,Medium quality,F,F,cpsnj02,22,Medium quality,157238,7
cpsnj02_SemiBin_11,98.99,4.24,High quality,T,F,cpsnj02,35,HQ-MIMAG,312528,8
cpsnj02_SemiBin_126,52.48,1.64,Medium quality,F,F,cpsnj02,29,Medium quality,136892,9
cpsnj02_SemiBin_12,89.68,2.63,Medium quality,F,T,cpsnj02,14,Medium quality,198171,4
cpsnj02_SemiBin_132,53.31,2.24,Medium quality,F,T,cpsnj02,57,Medium quality,100303,15
cpsnj02_SemiBin_135,54.19,0.21,Medium quality,F,F,cpsnj02,16,Medium quality,127726,6
cpsnj02_SemiBin_137,64.42,1.71,Medium quality,F,F,cpsnj02,26,Medium quality,186767,9
cpsnj02_SemiBin_138,53.69,1.97,Medium quality,F,T,cpsnj02,13,Medium quality,258152,4
cpsnj02_SemiBin_13,92.32,0.12,High quality,T,F,cpsnj02,2,HQ-MIMAG,1271220,1
cpsnj02_SemiBin_146,50.3,1.84,Medium quality,F,F,cpsnj02,22,Medium quality,172897,7
cpsnj02_SemiBin_14,84.43,4.32,Medium quality,F,F,cpsnj02,5,Medium quality,1895663,1
cpsnj02_SemiBin_159,50.7,2.02,Medium quality,F,T,cpsnj02,17,Medium quality,211441,5
cpsnj02_SemiBin_15,97.96,7.47,Medium quality,F,F,cpsnj02,55,Medium quality,246224,10
cpsnj02_SemiBin_1617,52.67,8.92,Medium quality,F,T,cpsnj02,97,Medium quality,47019,27
cpsnj02_SemiBin_1629,54.41,8.92,Medium quality,F,T,cpsnj02,186,Medium quality,45507,51
cpsnj02_SemiBin_165,60.33,8.02,Medium quality,F,T,cpsnj02,48,Medium quality,157533,12
cpsnj02_SemiBin_1670,54.74,5.48,Medium quality,F,T,cpsnj02,91,Medium quality,90736,28
cpsnj02_SemiBin_16,94.43,2.92,High quality,T,F,cpsnj02,15,HQ-MIMAG,538639,4
cpsnj02_SemiBin_1731,50.44,8.63,Medium quality,F,T,cpsnj02,151,Medium quality,61361,33
cpsnj02_SemiBin_17,88.19,0.2,Medium quality,F,T,cpsnj02,10,Medium quality,797726,3
cpsnj02_SemiBin_18,96.41,6.83,Medium quality,F,F,cpsnj02,11,Medium quality,1136238,3
cpsnj02_SemiBin_1,96.55,0.21,High quality,T,T,cpsnj02,7,HQ-MIMAG,2295779,1
cpsnj02_SemiBin_206,87.7,4.89,Medium quality,F,F,cpsnj02,8,Medium quality,376867,2
cpsnj02_SemiBin_20,91.53,1.48,High quality,T,F,cpsnj02,11,HQ-MIMAG,556049,4
cpsnj02_SemiBin_213,50.18,2.45,Medium quality,F,T,cpsnj02,146,Medium quality,40513,42
cpsnj02_SemiBin_21,84.64,4.15,Medium quality,F,T,cpsnj02,3,Medium quality,1382822,1
cpsnj02_SemiBin_22,86.48,0.45,Medium quality,F,F,cpsnj02,9,Medium quality,547010,3
cpsnj02_SemiBin_23,90.19,3.45,High quality,T,F,cpsnj02,9,HQ-MIMAG,1230673,3
cpsnj02_SemiBin_24,74.56,1.08,Medium quality,F,T,cpsnj02,25,Medium quality,204427,6
cpsnj02_SemiBin_256,81.26,1.3,Medium quality,F,F,cpsnj02,13,Medium quality,651267,4
cpsnj02_SemiBin_25,78.47,2.52,Medium quality,F,F,cpsnj02,26,Medium quality,471920,6
cpsnj02_SemiBin_26,73.89,0.47,Medium quality,F,F,cpsnj02,5,Medium quality,917387,2
cpsnj02_SemiBin_27,69.86,0.36,Medium quality,F,F,cpsnj02,20,Medium quality,378779,5
cpsnj02_SemiBin_28,88.54,2.06,Medium quality,F,T,cpsnj02,26,Medium quality,226126,5
cpsnj02_SemiBin_29,80.25,2.89,Medium quality,F,F,cpsnj02,17,Medium quality,465888,4
cpsnj02_SemiBin_2,88.06,1.16,Medium quality,F,F,cpsnj02,6,Medium quality,705592,2
cpsnj02_SemiBin_30,74.85,2.66,Medium quality,F,F,cpsnj02,13,Medium quality,547685,5
cpsnj02_SemiBin_31,66.28,2.44,Medium quality,F,T,cpsnj02,36,Medium quality,260552,9
cpsnj02_SemiBin_33,74.38,6.75,Medium quality,F,T,cpsnj02,30,Medium quality,125689,9
cpsnj02_SemiBin_34,76.61,1.08,Medium quality,F,F,cpsnj02,28,Medium quality,506011,7
cpsnj02_SemiBin_35,68.77,0.32,Medium quality,F,T,cpsnj02,7,Medium quality,424336,3
cpsnj02_SemiBin_36,68,1.42,Medium quality,F,T,cpsnj02,26,Medium quality,171693,9
cpsnj02_SemiBin_37,76.96,6.4,Medium quality,F,F,cpsnj02,24,Medium quality,202061,7
cpsnj02_SemiBin_38,66.77,5.83,Medium quality,F,T,cpsnj02,30,Medium quality,163142,8
cpsnj02_SemiBin_39,68.44,2.21,Medium quality,F,T,cpsnj02,18,Medium quality,303417,6
cpsnj02_SemiBin_3,99.59,0.23,High quality,T,T,cpsnj02,2,HQ-MIMAG,2132814,1
cpsnj02_SemiBin_40,67.22,4.57,Medium quality,F,F,cpsnj02,53,Medium quality,196114,12
cpsnj02_SemiBin_42,58.73,1.48,Medium quality,F,F,cpsnj02,17,Medium quality,343385,5
cpsnj02_SemiBin_43,60.03,2.19,Medium quality,F,F,cpsnj02,8,Medium quality,670698,3
cpsnj02_SemiBin_44,52.52,2.91,Medium quality,F,T,cpsnj02,15,Medium quality,143306,5
cpsnj02_SemiBin_45,68.82,0.78,Medium quality,F,F,cpsnj02,13,Medium quality,464834,4
cpsnj02_SemiBin_46,75.18,0.13,Medium quality,F,T,cpsnj02,7,Medium quality,342171,3
cpsnj02_SemiBin_47,63.24,4.68,Medium quality,F,T,cpsnj02,50,Medium quality,146559,12
cpsnj02_SemiBin_4,93.89,0.12,High quality,T,F,cpsnj02,2,HQ-MIMAG,2685309,1
cpsnj02_SemiBin_54,53.46,3.55,Medium quality,F,T,cpsnj02,18,Medium quality,113013,5
cpsnj02_SemiBin_55,50.35,4.03,Medium quality,F,T,cpsnj02,29,Medium quality,86601,9
cpsnj02_SemiBin_56,51.94,6.83,Medium quality,F,T,cpsnj02,40,Medium quality,179986,8
cpsnj02_SemiBin_59,61.31,2.62,Medium quality,F,T,cpsnj02,40,Medium quality,154929,13
cpsnj02_SemiBin_5,93.89,1.65,High quality,T,T,cpsnj02,10,HQ-MIMAG,665961,3
cpsnj02_SemiBin_60,71.68,4.38,Medium quality,F,T,cpsnj02,11,Medium quality,265073,4
cpsnj02_SemiBin_61,51.46,0.31,Medium quality,F,T,cpsnj02,14,Medium quality,226145,5
cpsnj02_SemiBin_638,53.87,6.87,Medium quality,F,T,cpsnj02,30,Medium quality,216612,9
cpsnj02_SemiBin_63,56.55,1.3,Medium quality,F,F,cpsnj02,25,Medium quality,227452,7
cpsnj02_SemiBin_64,64.35,2.56,Medium quality,F,F,cpsnj02,32,Medium quality,159372,8
cpsnj02_SemiBin_66,56.78,3.53,Medium quality,F,T,cpsnj02,46,Medium quality,124589,12
cpsnj02_SemiBin_68,57.2,3.08,Medium quality,F,F,cpsnj02,58,Medium quality,162199,14
cpsnj02_SemiBin_69,53.48,5.44,Medium quality,F,T,cpsnj02,59,Medium quality,103277,16
cpsnj02_SemiBin_71,63.18,1.2,Medium quality,F,F,cpsnj02,43,Medium quality,147526,13
cpsnj02_SemiBin_74,76.86,6.39,Medium quality,F,T,cpsnj02,14,Medium quality,274411,4
cpsnj02_SemiBin_76,53.68,3.74,Medium quality,F,T,cpsnj02,70,Medium quality,75761,21
cpsnj02_SemiBin_78,63.35,0.35,Medium quality,F,T,cpsnj02,3,Medium quality,1080340,1
cpsnj02_SemiBin_7,97.03,5.37,Medium quality,F,T,cpsnj02,8,Medium quality,2114421,2
cpsnj02_SemiBin_80,51.19,0.96,Medium quality,F,F,cpsnj02,25,Medium quality,142137,8
cpsnj02_SemiBin_81,55.81,1.93,Medium quality,F,T,cpsnj02,31,Medium quality,147212,8
cpsnj02_SemiBin_88,66.3,4.11,Medium quality,F,T,cpsnj02,24,Medium quality,189528,7
cpsnj02_SemiBin_8,89.58,0.55,Medium quality,F,F,cpsnj02,7,Medium quality,1407165,2
cpsnj02_SemiBin_94,64.69,3.99,Medium quality,F,T,cpsnj02,19,Medium quality,142084,5
cpsnj02_SemiBin_97,53.86,1.62,Medium quality,F,F,cpsnj02,10,Medium quality,284373,4
cpsnj02_SemiBin_99,79.34,2.58,Medium quality,F,T,cpsnj02,14,Medium quality,502453,3
cpsnj02_SemiBin_9,79.74,1.79,Medium quality,F,F,cpsnj02,4,Medium quality,744232,2
cpsnj03_SemiBin_0,96.68,2.87,High quality,T,F,cpsnj03,10,HQ-MIMAG,1074881,3
cpsnj03_SemiBin_100,59.47,0.82,Medium quality,F,F,cpsnj03,16,Medium quality,309059,4
cpsnj03_SemiBin_101,64.75,4.37,Medium quality,F,T,cpsnj03,32,Medium quality,197058,11
cpsnj03_SemiBin_103,57.82,0.61,Medium quality,F,F,cpsnj03,25,Medium quality,168404,8
cpsnj03_SemiBin_104,63.05,1.41,Medium quality,F,F,cpsnj03,15,Medium quality,286993,5
cpsnj03_SemiBin_105,59.24,0,Medium quality,F,F,cpsnj03,5,Medium quality,2270114,1
cpsnj03_SemiBin_106,70.61,1.34,Medium quality,F,F,cpsnj03,24,Medium quality,332171,6
cpsnj03_SemiBin_107,63.78,5.65,Medium quality,F,T,cpsnj03,23,Medium quality,295669,6
cpsnj03_SemiBin_108,69.97,1.53,Medium quality,F,T,cpsnj03,14,Medium quality,391771,4
cpsnj03_SemiBin_10,98.67,1.94,High quality,T,F,cpsnj03,7,HQ-MIMAG,1434353,2
cpsnj03_SemiBin_110,76.61,1.92,Medium quality,F,T,cpsnj03,16,Medium quality,298897,5
cpsnj03_SemiBin_111,58.8,2.48,Medium quality,F,F,cpsnj03,39,Medium quality,185792,10
cpsnj03_SemiBin_113,80.12,0.18,Medium quality,F,F,cpsnj03,5,Medium quality,1407518,2
cpsnj03_SemiBin_114,56.22,3.11,Medium quality,F,T,cpsnj03,45,Medium quality,123117,10
cpsnj03_SemiBin_116,86.1,0.55,Medium quality,F,F,cpsnj03,6,Medium quality,1160551,2
cpsnj03_SemiBin_118,50.62,3.24,Medium quality,F,F,cpsnj03,27,Medium quality,208614,8
cpsnj03_SemiBin_11,99.25,8.68,Medium quality,F,F,cpsnj03,8,Medium quality,2392272,2
cpsnj03_SemiBin_125,67.86,0.99,Medium quality,F,F,cpsnj03,12,Medium quality,392962,3
cpsnj03_SemiBin_127,50.82,7.9,Medium quality,F,T,cpsnj03,80,Medium quality,73388,20
cpsnj03_SemiBin_12,97.23,0.03,High quality,T,F,cpsnj03,10,HQ-MIMAG,837322,3
cpsnj03_SemiBin_132,70.13,0.57,Medium quality,F,T,cpsnj03,9,Medium quality,423712,3
cpsnj03_SemiBin_135,63.01,0.06,Medium quality,F,T,cpsnj03,17,Medium quality,235976,5
cpsnj03_SemiBin_13,93.01,2.04,High quality,T,T,cpsnj03,7,HQ-MIMAG,816785,3
cpsnj03_SemiBin_142,54.77,1.52,Medium quality,F,T,cpsnj03,30,Medium quality,221478,7
cpsnj03_SemiBin_144,60.41,1.99,Medium quality,F,F,cpsnj03,47,Medium quality,192330,13
cpsnj03_SemiBin_1482,54.93,3.63,Medium quality,F,T,cpsnj03,54,Medium quality,113204,17
cpsnj03_SemiBin_1483,59.04,9.65,Medium quality,F,T,cpsnj03,40,Medium quality,150971,13
cpsnj03_SemiBin_1486,50.56,5.93,Medium quality,F,T,cpsnj03,34,Medium quality,193388,9
cpsnj03_SemiBin_1491,50.55,9.91,Medium quality,F,T,cpsnj03,33,Medium quality,109505,9
cpsnj03_SemiBin_1493,53.11,7.68,Medium quality,F,T,cpsnj03,37,Medium quality,121578,11
cpsnj03_SemiBin_14,86.86,0.5,Medium quality,F,T,cpsnj03,6,Medium quality,708254,2
cpsnj03_SemiBin_153,65.79,1.87,Medium quality,F,F,cpsnj03,27,Medium quality,249631,9
cpsnj03_SemiBin_154,74.23,2.01,Medium quality,F,F,cpsnj03,6,Medium quality,909025,3
cpsnj03_SemiBin_15,83.86,0.02,Medium quality,F,F,cpsnj03,16,Medium quality,289042,4
cpsnj03_SemiBin_165,52.29,1.22,Medium quality,F,T,cpsnj03,14,Medium quality,392655,4
cpsnj03_SemiBin_166,52.84,5.35,Medium quality,F,T,cpsnj03,19,Medium quality,337230,5
cpsnj03_SemiBin_16,94.38,9.03,Medium quality,F,F,cpsnj03,36,Medium quality,260929,9
cpsnj03_SemiBin_17,95.38,5.09,Medium quality,F,T,cpsnj03,14,Medium quality,659766,4
cpsnj03_SemiBin_180,54.18,2.3,Medium quality,F,F,cpsnj03,29,Medium quality,130123,10
cpsnj03_SemiBin_189,59.83,4.19,Medium quality,F,T,cpsnj03,50,Medium quality,175511,15
cpsnj03_SemiBin_18,86.77,2.49,Medium quality,F,F,cpsnj03,13,Medium quality,523944,4
cpsnj03_SemiBin_191,55.25,2.99,Medium quality,F,F,cpsnj03,21,Medium quality,239072,7
cpsnj03_SemiBin_192,51.07,9.99,Medium quality,F,T,cpsnj03,148,Medium quality,52309,38
cpsnj03_SemiBin_19,83.63,3.71,Medium quality,F,F,cpsnj03,13,Medium quality,981497,3
cpsnj03_SemiBin_1,96.85,1.02,High quality,T,T,cpsnj03,1,HQ-MIMAG,5249295,1
cpsnj03_SemiBin_200,58.52,2.83,Medium quality,F,T,cpsnj03,13,Medium quality,248069,5
cpsnj03_SemiBin_201,65.31,0.08,Medium quality,F,F,cpsnj03,4,Medium quality,943475,1
cpsnj03_SemiBin_205,59.07,2.42,Medium quality,F,T,cpsnj03,59,Medium quality,156267,15
cpsnj03_SemiBin_20,93.81,0.52,High quality,T,T,cpsnj03,13,HQ-MIMAG,738979,5
cpsnj03_SemiBin_210,66.9,0.35,Medium quality,F,T,cpsnj03,11,Medium quality,328403,2
cpsnj03_SemiBin_216,52.7,2.35,Medium quality,F,T,cpsnj03,11,Medium quality,370495,3
cpsnj03_SemiBin_217,61.51,1.24,Medium quality,F,F,cpsnj03,20,Medium quality,178971,6
cpsnj03_SemiBin_21,85.05,1.48,Medium quality,F,F,cpsnj03,11,Medium quality,622194,5
cpsnj03_SemiBin_22,94.42,6.03,Medium quality,F,T,cpsnj03,26,Medium quality,680260,5
cpsnj03_SemiBin_237,52.62,1.39,Medium quality,F,T,cpsnj03,29,Medium quality,120072,8
cpsnj03_SemiBin_23,87.23,8.4,Medium quality,F,F,cpsnj03,36,Medium quality,264258,9
cpsnj03_SemiBin_25,88.82,1.92,Medium quality,F,F,cpsnj03,13,Medium quality,660545,4
cpsnj03_SemiBin_264,88.27,0.52,Medium quality,F,F,cpsnj03,6,Medium quality,268063,3
cpsnj03_SemiBin_26,87.71,0.11,Medium quality,F,T,cpsnj03,13,Medium quality,483483,4
cpsnj03_SemiBin_27,86.79,4.82,Medium quality,F,T,cpsnj03,9,Medium quality,1826300,2
cpsnj03_SemiBin_283,52.49,9.92,Medium quality,F,T,cpsnj03,87,Medium quality,58233,25
cpsnj03_SemiBin_28,75.17,0.81,Medium quality,F,F,cpsnj03,10,Medium quality,267729,4
cpsnj03_SemiBin_29,82.88,1.03,Medium quality,F,F,cpsnj03,13,Medium quality,290066,4
cpsnj03_SemiBin_2,93.08,0.07,High quality,T,T,cpsnj03,6,HQ-MIMAG,672219,2
cpsnj03_SemiBin_30,81.19,4.21,Medium quality,F,F,cpsnj03,9,Medium quality,439401,4
cpsnj03_SemiBin_31,85.89,3.22,Medium quality,F,F,cpsnj03,17,Medium quality,358285,4
cpsnj03_SemiBin_32,73.38,1.97,Medium quality,F,F,cpsnj03,28,Medium quality,209389,6
cpsnj03_SemiBin_33,82.42,6.32,Medium quality,F,T,cpsnj03,32,Medium quality,540197,8
cpsnj03_SemiBin_34,87.06,1.87,Medium quality,F,F,cpsnj03,18,Medium quality,345824,5
cpsnj03_SemiBin_35,92.4,2.3,High quality,T,T,cpsnj03,13,HQ-MIMAG,323982,3
cpsnj03_SemiBin_36,79.37,0.65,Medium quality,F,T,cpsnj03,19,Medium quality,241614,7
cpsnj03_SemiBin_37,79.34,8.68,Medium quality,F,F,cpsnj03,26,Medium quality,341342,6
cpsnj03_SemiBin_38,89.2,3.51,Medium quality,F,F,cpsnj03,13,Medium quality,477137,3
cpsnj03_SemiBin_39,88.77,3.51,Medium quality,F,F,cpsnj03,14,Medium quality,319137,3
cpsnj03_SemiBin_3,99.33,0.64,High quality,T,F,cpsnj03,8,HQ-MIMAG,1510893,2
cpsnj03_SemiBin_40,84.45,1.81,Medium quality,F,F,cpsnj03,13,Medium quality,411876,3
cpsnj03_SemiBin_41,85.25,3.52,Medium quality,F,F,cpsnj03,19,Medium quality,746421,4
cpsnj03_SemiBin_42,84.86,7.36,Medium quality,F,F,cpsnj03,11,Medium quality,717655,3
cpsnj03_SemiBin_43,85.89,5.1,Medium quality,F,F,cpsnj03,27,Medium quality,291285,9
cpsnj03_SemiBin_44,77.94,3.58,Medium quality,F,F,cpsnj03,23,Medium quality,480646,4
cpsnj03_SemiBin_45,82.6,6.53,Medium quality,F,F,cpsnj03,7,Medium quality,881756,2
cpsnj03_SemiBin_46,67.36,0.33,Medium quality,F,T,cpsnj03,16,Medium quality,228489,3
cpsnj03_SemiBin_47,74.72,2.91,Medium quality,F,T,cpsnj03,13,Medium quality,656856,4
cpsnj03_SemiBin_48,67.37,0.66,Medium quality,F,T,cpsnj03,21,Medium quality,219814,6
cpsnj03_SemiBin_49,81.57,3.15,Medium quality,F,T,cpsnj03,44,Medium quality,165888,12
cpsnj03_SemiBin_4,98.7,0.37,High quality,T,T,cpsnj03,5,HQ-MIMAG,1720750,2
cpsnj03_SemiBin_50,73.32,3,Medium quality,F,T,cpsnj03,10,Medium quality,778268,3
cpsnj03_SemiBin_51,68.77,7.15,Medium quality,F,T,cpsnj03,53,Medium quality,258108,12
cpsnj03_SemiBin_52,63.84,5.52,Medium quality,F,T,cpsnj03,32,Medium quality,167363,9
cpsnj03_SemiBin_53,76.5,5.42,Medium quality,F,F,cpsnj03,29,Medium quality,350547,6
cpsnj03_SemiBin_54,74.65,3.34,Medium quality,F,F,cpsnj03,11,Medium quality,631124,3
cpsnj03_SemiBin_55,78.47,4.05,Medium quality,F,F,cpsnj03,24,Medium quality,340103,5
