BGC_region,Class,Category,Start,End,Length,MAG,Taxonomy,CC,Family
CSMAG_5930_contig_6398_polypolish.region001,RRE-containing,RiPP,16888,31236,14349,CSMAG_5930,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Ferrovibrionales;f__Ferrovibrionaceae;g__Desertibaculum;s__,1,FAM_03770
CSMAG_6849_contig_23174_polypolish.region002,terpene,terpene,97268,117882,20615,CSMAG_6849,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__JAEUMW01;g__JAEUMW01;s__,37,FAM_00025
CSMAG_1728_contig_18331_polypolish.region001,NRPS-like,NRPS,476928,514364,37437,CSMAG_1728,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__SG8-39;g__DATEDA01;s__,138,FAM_00075
CSMAG_3928_contig_90520_polypolish.region001,T3PKS,PKS,127156,168256,41101,CSMAG_3928,d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__Anaerolineales;f__Villigracilaceae;g__Defluviilinea;s__,142,FAM_00077
CSMAG_1950_contig_29069_polypolish.region001,RiPP-like,RiPP,250361,263387,13027,CSMAG_1950,d__Bacteria;p__Acidobacteriota;c__Blastocatellia;o__Pyrinomonadales;f__Pyrinomonadaceae;g__PSRF01;s__,146,FAM_00078
CSMAG_6092_contig_20219_polypolish.region001,ladderane,other,1,36305,36305,CSMAG_6092,d__Bacteria;p__Planctomycetota;c__Planctomycetia;o__Gemmatales;f__Gemmataceae;g__DASXAN01;s__,150,FAM_03784
CSMAG_5557_contig_65989_polypolish.region001,LAP.thiopeptide,RiPP,319,25358,25040,CSMAG_5557,d__Bacteria;p__Acidobacteriota;c__Vicinamibacteria;o__Vicinamibacterales;f__UBA2999;g__JACCSI01;s__,154,FAM_00079
CSMAG_1057_contig_33069_polypolish.region001,terpene,terpene,409068,429928,20861,CSMAG_1057,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Dongiales;f__JAREAF01;g__JAREAF01;s__JAREAF01 sp035456545,158,FAM_00080
CSMAG_4037_contig_56321_polypolish.region001,lassopeptide,RiPP,7830,31543,23714,CSMAG_4037,d__Bacteria;p__Acidobacteriota;c__Vicinamibacteria;o__Vicinamibacterales;f__UBA2999;g__JAMQPK01;s__,162,FAM_03785
CSMAG_2731_contig_52723_polypolish.region001,terpene,terpene,1,25824,25824,CSMAG_2731,d__Bacteria;p__Methylomirabilota;c__Methylomirabilia;o__Rokubacteriales;f__CSP1-6;g__AR5;s__,166,FAM_00083
CSMAG_3809_contig_3288_polypolish.region001,RiPP-like,RiPP,606351,618321,11971,CSMAG_3809,d__Bacteria;p__Acidobacteriota;c__Vicinamibacteria;o__Vicinamibacterales;f__UBA2999;g__Gp6-AA45;s__,170,FAM_03786
CSMAG_1608_contig_25450_polypolish.region001,arylpolyene.resorcinol,other,97760,143881,46122,CSMAG_1608,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Cytophagales;f__Cyclobacteriaceae;g__Chryseolinea;s__,174,FAM_00097
CSMAG_5294_contig_57509_polypolish.region001,crocagin,RiPP,362787,388070,25284,CSMAG_5294,d__Bacteria;p__Acidobacteriota;c__Vicinamibacteria;o__Vicinamibacterales;f__JACPPN01;g__;s__,186,FAM_03787
CSMAG_4616_contig_78144_polypolish.region001,NRPS-like,NRPS,9028,39699,30672,CSMAG_4616,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__;s__,190,FAM_03788
CSMAG_2967_contig_3279_polypolish.region001,terpene,terpene,57676,78542,20867,CSMAG_2967,d__Bacteria;p__Nitrospirota;c__Nitrospiria;o__Nitrospirales;f__Nitrospiraceae;g__Nitrospira_C;s__Nitrospira_C sp036376045,194,FAM_00100
CSMAG_6308_contig_10772_polypolish.region001,NRPS-like,NRPS,1,27762,27762,CSMAG_6308,d__Bacteria;p__Acidobacteriota;c__Vicinamibacteria;o__Vicinamibacterales;f__SCN-69-37;g__JANOGJ01;s__,198,FAM_00110
CSMAG_7415_contig_38540_polypolish.region001,ladderane,other,110758,151744,40987,CSMAG_7415,d__Bacteria;p__Acidobacteriota;c__Polarisedimenticolia;o__QHYA01;f__;g__;s__,202,FAM_03789
CSMAG_4064_contig_4024_polypolish.region001,acyl_amino_acids,other,1,33683,33683,CSMAG_4064,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__;s__,206,FAM_03790
CSMAG_2233_contig_81546_polypolish.region001,ranthipeptide,RiPP,17318,38623,21306,CSMAG_2233,d__Bacteria;p__Desulfobacterota;c__Desulfuromonadia;o__Desulfuromonadales;f__DASPGW01;g__DASPGW01;s__,210,FAM_00112
CSMAG_1580_contig_881_polypolish.region001,NRPS-like,NRPS,1,37979,37979,CSMAG_1580,d__Bacteria;p__Acidobacteriota;c__Vicinamibacteria;o__Vicinamibacterales;f__UBA2999;g__JAMQPK01;s__,214,FAM_00113
CSMAG_7616_contig_100250_polypolish.region001,thioamitides,RiPP,22667,44612,21946,CSMAG_7616,d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrososphaeraceae;g__Nitrososphaera;s__Nitrososphaera sp035281285,218,FAM_03791
CSMAG_0289_contig_8779_polypolish.region001,NRPS,NRPS,1143077,1187231,44155,CSMAG_0289,d__Bacteria;p__Acidobacteriota;c__Vicinamibacteria;o__Vicinamibacterales;f__UBA2999;g__Gp6-AA40;s__,222,FAM_03792
CSMAG_6348_contig_28508_polypolish.region001,RRE-containing.lassopeptide,RiPP,106041,128640,22600,CSMAG_6348,d__Bacteria;p__Acidobacteriota;c__Vicinamibacteria;o__Vicinamibacterales;f__2-12-FULL-66-21;g__DATBJJ01;s__,226,FAM_00117
CSMAG_6423_contig_3804_polypolish.region001,resorcinol,other,53164,95053,41890,CSMAG_6423,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Steroidobacterales;f__Steroidobacteraceae;g__;s__,230,FAM_00118
CSMAG_4217_contig_781_polypolish.region001,betalactone,other,319573,347130,27558,CSMAG_4217,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__SG8-39;g__SCGC-AG-212-J23;s__SCGC-AG-212-J23 sp025929745,234,FAM_00120
CSMAG_1468_contig_14805_polypolish.region003,phosphonate,other,795869,811696,15828,CSMAG_1468,d__Bacteria;p__Nitrospirota;c__Nitrospiria;o__Nitrospirales;f__Nitrospiraceae;g__Nitrospira_C;s__Nitrospira_C sp025935475,238,FAM_00122
CSMAG_7887_contig_6128_polypolish.region002,NRPS-like,NRPS,704968,745670,40703,CSMAG_7887,d__Bacteria;p__Desulfobacterota_B;c__Binatia;o__UBA9968;f__UBA9968;g__DP-20;s__,242,FAM_03793
CSMAG_1374_contig_15502_polypolish.region001,T3PKS,PKS,883664,924725,41062,CSMAG_1374,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__CACIAM-22H2;f__CACIAM-22H2;g__DATFES01;s__DATFES01 sp035457725,246,FAM_00128
CSMAG_1587_contig_10432_polypolish.region002,RiPP-like,RiPP,778857,789663,10807,CSMAG_1587,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Steroidobacterales;f__Steroidobacteraceae;g__;s__,250,FAM_00129
CSMAG_6314_contig_3597_polypolish.region001,terpene,terpene,37086,58698,21613,CSMAG_6314,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__SG8-39;g__SCGC-AG-212-J23;s__,254,FAM_03794
CSMAG_1560_contig_14277_polypolish.region002,arylpolyene,other,380177,429621,49445,CSMAG_1560,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Cytophagales;f__Cyclobacteriaceae;g__Chryseolinea;s__,258,FAM_00133
CSMAG_0350_contig_2916_polypolish.region002,terpene,terpene,997375,1028186,30812,CSMAG_0350,d__Bacteria;p__Acidobacteriota;c__Polarisedimenticolia;o__Polarisedimenticolales;f__DASRJG01;g__;s__,262,FAM_00135
CSMAG_1634_contig_76129.region001,2dos,other,238821,259822,21002,CSMAG_1634,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Dongiales;f__JAREAF01;g__JAREAF01;s__JAREAF01 sp035456545,266,FAM_00136
CSMAG_1130_contig_2849_polypolish.region001,ranthipeptide,RiPP,523818,545260,21443,CSMAG_1130,d__Bacteria;p__Acidobacteriota;c__Vicinamibacteria;o__Vicinamibacterales;f__UBA2999;g__;s__,270,FAM_00137
CSMAG_4167_contig_23830_polypolish.region001,NRPS-like,NRPS,331498,373465,41968,CSMAG_4167,d__Bacteria;p__Gemmatimonadota;c__Gemmatimonadetes;o__Gemmatimonadales;f__GWC2-71-9;g__SZUA-320;s__,274,FAM_00147
CSMAG_1762_contig_2872_polypolish.region001,NRPS-like,NRPS,303205,344092,40888,CSMAG_1762,d__Bacteria;p__Acidobacteriota;c__Vicinamibacteria;o__Vicinamibacterales;f__Vicinamibacteraceae;g__JBDSLU01;s__,278,FAM_00148
CSMAG_0137_contig_1346_polypolish.region001,NRPS-like,NRPS,530461,572977,42517,CSMAG_0137,d__Bacteria;p__Acidobacteriota;c__Terriglobia;o__Bryobacterales;f__Bryobacteraceae;g__DATMXS01;s__,282,FAM_03795
CSMAG_0349_contig_5538_polypolish.region001,terpene,terpene,2341,23294,20954,CSMAG_0349,d__Bacteria;p__Desulfobacterota_B;c__Binatia;o__UBA9968;f__UBA9968;g__DP-20;s__,286,FAM_00150
CSMAG_1518_contig_6040_polypolish.region001,NRPS.NRPS-like.RiPP-like,NRPS.RiPP,70420,123326,52907,CSMAG_1518,d__Bacteria;p__Desulfobacterota_B;c__Binatia;o__UBA9968;f__UBA9968;g__DP-20;s__,290,FAM_00159
CSMAG_2613_contig_17174_polypolish.region001,RRE-containing,RiPP,723148,743456,20309,CSMAG_2613,d__Bacteria;p__Acidobacteriota;c__Vicinamibacteria;o__Vicinamibacterales;f__UBA2999;g__Gp6-AA40;s__,297,FAM_03796
CSMAG_6905_contig_6333_polypolish.region001,arylpolyene,other,50820,92013,41194,CSMAG_6905,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__SG8-39;g__SCGC-AG-212-J23;s__SCGC-AG-212-J23 sp035454685,301,FAM_00160
CSMAG_7031_contig_16188_polypolish.region001,arylpolyene,other,73185,114381,41197,CSMAG_7031,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__GCA-2729495;f__GCA-2729495;g__QUBU01;s__,305,FAM_03797
CSMAG_5438_contig_11421_polypolish.region001,terpene,terpene,38461,60118,21658,CSMAG_5438,d__Bacteria;p__Acidobacteriota;c__Vicinamibacteria;o__Vicinamibacterales;f__UBA2999;g__CAWULT01;s__,309,FAM_03798
CSMAG_4030_contig_28125_polypolish.region001,terpene,terpene,298638,319480,20843,CSMAG_4030,d__Bacteria;p__Acidobacteriota;c__Vicinamibacteria;o__Vicinamibacterales;f__UBA2999;g__JACCSI01;s__,313,FAM_03799
CSMAG_0695_contig_15065_polypolish.region001,terpene,terpene,111624,132475,20852,CSMAG_0695,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Xanthobacteraceae;g__Z2-YC6860;s__,317,FAM_00165
CSMAG_5695_contig_22592_polypolish.region001,RRE-containing.crocagin,RiPP,14523,75841,61319,CSMAG_5695,d__Bacteria;p__Desulfobacterota_D;c__UBA1144;o__UBA2774;f__CSP1-2;g__JACPIY01;s__,321,FAM_00168
CSMAG_4239_contig_15075_polypolish.region001,T3PKS,PKS,87434,127949,40516,CSMAG_4239,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Cytophagales;f__Cyclobacteriaceae;g__Chryseolinea;s__,338,FAM_00169
CSMAG_1977_contig_40911_polypolish.region001,hserlactone,other,283068,303709,20642,CSMAG_1977,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Afifellaceae;g__DASWJZ01;s__,342,FAM_00170
CSMAG_5181_contig_88717_polypolish.region001,terpene,terpene,176329,198063,21735,CSMAG_5181,d__Bacteria;p__Acidobacteriota;c__Vicinamibacteria;o__Vicinamibacterales;f__UBA2999;g__DASPWV01;s__,346,FAM_00171
CSMAG_2627_contig_43_polypolish.region001,redox-cofactor,RiPP,139943,162061,22119,CSMAG_2627,d__Bacteria;p__Methylomirabilota;c__Methylomirabilia;o__Rokubacteriales;f__CSP1-6;g__40CM-4-69-5;s__,350,FAM_00175
CSMAG_2011_contig_18655_polypolish.region001,NRPS-like,NRPS,1128753,1170394,41642,CSMAG_2011,d__Bacteria;p__Acidobacteriota;c__Vicinamibacteria;o__Vicinamibacterales;f__SCN-69-37;g__DASUGC01;s__,354,FAM_00176
CSMAG_3644_contig_49948_polypolish.region001,betalactone,other,334530,361771,27242,CSMAG_3644,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Steroidobacterales;f__Steroidobacteraceae;g__RPQJ01;s__,358,FAM_00177
CSMAG_1974_contig_14316_polypolish.region001,crocagin,RiPP,599998,631334,31337,CSMAG_1974,d__Bacteria;p__Acidobacteriota;c__Vicinamibacteria;o__Vicinamibacterales;f__UBA2999;g__Gp6-AA40;s__,362,FAM_00178
CSMAG_6500_contig_18212_polypolish.region006,NRPS,NRPS,934379,985786,51408,CSMAG_6500,d__Bacteria;p__Desulfobacterota_B;c__Binatia;o__UBA9968;f__UBA9968;g__DP-20;s__,366,FAM_00179
CSMAG_7259_contig_66159_polypolish.region001,RiPP-like,RiPP,11227,22458,11232,CSMAG_7259,d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrososphaeraceae;g__TA-21;s__,370,FAM_03800
CSMAG_0986_contig_2800_polypolish.region002,terpene,terpene,418222,440027,21806,CSMAG_0986,d__Bacteria;p__Acidobacteriota;c__Vicinamibacteria;o__Vicinamibacterales;f__UBA2999;g__;s__,374,FAM_00180
CSMAG_7251_contig_45480_polypolish.region001,RRE-containing,RiPP,79001,99468,20468,CSMAG_7251,d__Bacteria;p__Eisenbacteria;c__RBG-16-71-46;o__RBG-16-71-46;f__RBG-16-71-46;g__WS-11;s__,378,FAM_03801
CSMAG_6927_contig_97778_polypolish.region001,NRPS,NRPS,51491,94880,43390,CSMAG_6927,d__Bacteria;p__Myxococcota_A;c__UBA9160;o__SZUA-336;f__SZUA-336;g__;s__,382,FAM_03802
CSMAG_7364_contig_36202_polypolish.region001,NRPS,NRPS,226402,269833,43432,CSMAG_7364,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Xanthobacteraceae;g__WHTP01;s__,386,FAM_00181
CSMAG_7839_contig_19735_polypolish.region001,indole,other,1,8266,8266,CSMAG_7839,d__Bacteria;p__Acidobacteriota;c__Blastocatellia;o__Pyrinomonadales;f__Pyrinomonadaceae;g__;s__,390,FAM_03803
CSMAG_7034_contig_61483_polypolish.region001,RRE-containing,RiPP,163804,184118,20315,CSMAG_7034,d__Bacteria;p__Acidobacteriota;c__Vicinamibacteria;o__Vicinamibacterales;f__UBA2999;g__DASPWV01;s__,394,FAM_03804
CSMAG_0557_contig_6971_polypolish.region001,lassopeptide,RiPP,566104,589746,23643,CSMAG_0557,d__Bacteria;p__Acidobacteriota;c__Blastocatellia;o__Pyrinomonadales;f__Pyrinomonadaceae;g__PSRF01;s__,398,FAM_03805
CSMAG_1352_contig_43208_polypolish.region001,terpene,terpene,79145,98370,19226,CSMAG_1352,d__Bacteria;p__Desulfobacterota_B;c__Binatia;o__HRBIN30;f__CADEER01;g__;s__,402,FAM_00182
CSMAG_0805_contig_3261_polypolish.region001,terpene,terpene,1,17990,17990,CSMAG_0805,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__SG8-39;g__SCGC-AG-212-J23;s__,37,FAM_00026
CSMAG_7787_contig_26564_polypolish.region001,NRPS.NRPS-like,NRPS,44540,88554,44015,CSMAG_7787,d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiia;o__Limisphaerales;f__JAKEEH01;g__JAKEEH01;s__,410,FAM_00183
CSMAG_6611_contig_83299_polypolish.region001,RRE-containing,RiPP,27480,48490,21011,CSMAG_6611,d__Bacteria;p__Methylomirabilota;c__Methylomirabilia;o__Rokubacteriales;f__CSP1-6;g__;s__,414,FAM_03806
CSMAG_0120_contig_20935_polypolish.region001,terpene,terpene,3780,23734,19955,CSMAG_0120,d__Bacteria;p__Bacteroidota_A;c__Ignavibacteria;o__SJA-28;f__OLB5;g__;s__,418,FAM_03807
CSMAG_7309_contig_69819_polypolish.region001,terpene,terpene,58801,79745,20945,CSMAG_7309,d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__4572-78;f__J111;g__DSQQ01;s__,422,FAM_03808
CSMAG_6197_contig_39839_polypolish.region001,terpene,terpene,47105,68094,20990,CSMAG_6197,d__Bacteria;p__Nitrospirota;c__Nitrospiria;o__Nitrospirales;f__Nitrospiraceae;g__Nitrospira_C;s__Nitrospira_C sp025935475,426,FAM_00184
CSMAG_6414_contig_118659_polypolish.region001,betalactone,other,24780,54998,30219,CSMAG_6414,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__SG8-39;g__SCGC-AG-212-J23;s__SCGC-AG-212-J23 sp025929745,430,FAM_00188
CSMAG_1384_contig_13779_polypolish.region002,terpene,terpene,501455,522357,20903,CSMAG_1384,d__Bacteria;p__Gemmatimonadota;c__Gemmatimonadetes;o__Gemmatimonadales;f__GWC2-71-9;g__JAGGAG01;s__,434,FAM_00190
CSMAG_1533_contig_999_polypolish.region001,T3PKS,PKS,91775,133490,41716,CSMAG_1533,d__Bacteria;p__Methylomirabilota;c__Methylomirabilia;o__Rokubacteriales;f__CSP1-6;g__;s__,438,FAM_00191
CSMAG_7393_contig_9676.region001,NRPS.NRPS-like,NRPS,30501,75940,45440,CSMAG_7393,d__Bacteria;p__Desulfobacterota_B;c__Binatia;o__UBA9968;f__UBA9968;g__2-12-FULL-60-19;s__,442,FAM_03809
CSMAG_4093_contig_80118_polypolish.region001,T1PKS,PKS,1,32687,32687,CSMAG_4093,d__Bacteria;p__Myxococcota;c__Polyangia;o__Haliangiales;f__Haliangiaceae;g__;s__,454,FAM_00194
CSMAG_1334_contig_22991_polypolish.region001,RiPP-like,RiPP,205177,216460,11284,CSMAG_1334,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Dongiales;f__JAREAF01;g__JAREAF01;s__JAREAF01 sp035456545,458,FAM_00195
CSMAG_0100_contig_17226_polypolish.region001,lanthipeptide-class-v,RiPP,1066546,1110006,43461,CSMAG_0100,d__Bacteria;p__Acidobacteriota;c__Vicinamibacteria;o__Vicinamibacterales;f__2-12-FULL-66-21;g__DATBJJ01;s__,462,FAM_00198
CSMAG_2891_contig_21037_polypolish.region002,RRE-containing,RiPP,170669,190965,20297,CSMAG_2891,d__Bacteria;p__Gemmatimonadota;c__Gemmatimonadetes;o__JACCXV01;f__JAHWKZ01;g__JAICNR01;s__,466,FAM_00199
CSMAG_4877_contig_46903_polypolish.region001,NRPS-like,NRPS,6897,48810,41914,CSMAG_4877,d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiia;o__Verrucomicrobiales;f__DEV007;g__DATKCT01;s__,470,FAM_03810
CSMAG_5917_contig_5229_polypolish.region001,proteusin,RiPP,293910,315403,21494,CSMAG_5917,d__Bacteria;p__Acidobacteriota;c__Vicinamibacteria;o__Vicinamibacterales;f__UBA2999;g__JAMQPK01;s__,474,FAM_00202
CSMAG_4150_contig_76628_polypolish.region001,RRE-containing,RiPP,79384,96704,17321,CSMAG_4150,d__Bacteria;p__Myxococcota;c__Polyangia;o__Polyangiales;f__Polyangiaceae;g__PMG-095;s__,478,FAM_03811
CSMAG_4988_contig_5807_polypolish.region001,NRPS-like,NRPS,148661,191162,42502,CSMAG_4988,d__Bacteria;p__Chloroflexota;c__Limnocylindria;o__Limnocylindrales;f__CSP1-4;g__SPCO01;s__,482,FAM_03812
CSMAG_7355_contig_44822_polypolish.region001,terpene,terpene,143709,164119,20411,CSMAG_7355,d__Bacteria;p__Gemmatimonadota;c__Gemmatimonadetes;o__Gemmatimonadales;f__Gemmatimonadaceae;g__JABWBJ01;s__,486,FAM_03813
CSMAG_0344_contig_23112_polypolish.region003,terpene,terpene,574535,595386,20852,CSMAG_0344,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Steroidobacterales;f__Steroidobacteraceae;g__RPQJ01;s__,490,FAM_00203
CSMAG_0011_contig_1527_polypolish.region002,NRPS.T1PKS,NRPS.PKS,675682,729149,53468,CSMAG_0011,d__Bacteria;p__Acidobacteriota;c__Vicinamibacteria;o__Vicinamibacterales;f__UBA2999;g__;s__,494,FAM_00212
