,Site,Observed OTUs,chao1,shannon,simpson
SNJ15_350,Nanjing,2588,5906.237154150198,7.699780609320407,0.999435179388611
SNJ16_350,Nanjing,2996,6486.59585492228,7.7976534206530115,0.9994507665285716
SNJ19_350,Nanjing,2291,4597.247401247401,7.479136195354833,0.9991687486856677
SNJ20_350,Nanjing,3224,6849.594339622641,7.87262272117554,0.9994964897959183
D000_350,Dog,424,1686.4418604651162,3.050976576522416,0.8693310803918837
D001_350,Dog,383,1226.125,3.1991524947356353,0.9022339324521095
D002_350,Dog,238,763.7777777777778,1.9371845126915699,0.6363696517329102
D003_350,Dog,565,3333.9166666666665,3.7685885497908362,0.9303189418486602
D004_350,Dog,459,2546.34375,3.868868729520589,0.9488236762882246
D005_350,Dog,575,2830.217391304348,3.8196696381262996,0.9439389360935426
D006_350,Dog,286,1848.6470588235295,3.206025082681429,0.9187988750087589
D007_350,Dog,429,2074.4411764705883,3.050944021720407,0.8788307039055956
D008_350,Dog,518,2162.3,3.1240702577377535,0.8592578122116223
D010_350,Dog,337,1170.181818181818,3.2666916925173286,0.9034757706598482
D011_350,Dog,302,911.0,3.0263248604227364,0.8392641853603772
D012_350,Dog,256,991.3,3.094305927000193,0.8805178819951792
D013_350,Dog,300,1643.0,2.932762138459493,0.8913503591550043
D014_350,Dog,240,687.1290322580645,2.3879312342878443,0.7375237369635375
D015_350,Dog,344,1001.0277777777778,3.66200769363928,0.9277705713239985
D016_350,Dog,265,1201.05,3.3787541561755714,0.9376492797636147
D017_350,Dog,243,810.84,2.182324562067776,0.6599018955073566
D018_350,Dog,267,1312.5,2.9985852110513322,0.894483347137022
D019_350,Dog,292,1469.157894736842,3.363938790562539,0.9123022604550157
D020_350,Dog,221,947.75,3.1617307399372425,0.8784403041695165
D021_350,Dog,265,1112.8947368421054,3.5926720935229763,0.9532641865518852
D022_350,Dog,288,1234.12,3.063936421146832,0.901325362571375
D023_350,Dog,266,1400.0625,3.2078832534008415,0.8837618809953436
D024_350,Dog,76,164.4,0.47927136671989334,0.12482406750560415
D025_350,Dog,394,1535.1842105263158,3.083819607504383,0.8868725665646064
D026_350,Dog,288,880.3076923076923,3.7349571279440523,0.9482743625776328
D027_350,Dog,358,1646.9565217391305,3.8177308084540487,0.9372224445832877
D028_350,Dog,257,692.0,2.884401812003258,0.8690624680204084
D029_350,Dog,314,1847.6666666666667,3.9090855420856476,0.9610000520973458
D030_350,Dog,293,1515.1052631578948,3.422197158477198,0.942650455954488
D031_350,Dog,266,1022.1304347826087,3.1509010692124786,0.9075526030084606
D032_350,Dog,142,597.0,2.5171095151360783,0.8515743985205272
D033_350,Dog,274,1030.6,2.524492577420296,0.7642960677564431
D034_350,Dog,234,1092.6666666666665,3.088218909752125,0.8852924452245379
D035_350,Dog,335,1143.6875,3.2273321586362296,0.8825300480332302
D036_350,Dog,296,1379.5,3.3840143047177786,0.9152758484640633
D037_350,Dog,227,1200.5,2.594013219196786,0.8549307831151364
D038_350,Dog,278,981.4736842105264,4.080382407193797,0.9659510905834747
D039_350,Dog,243,981.8823529411765,3.10026700864411,0.8999702851192186
D040_350,Dog,221,1164.75,3.3599840087361574,0.9289657403361655
D041_350,Dog,397,1988.107142857143,3.276415416266351,0.9078923096790253
D042_350,Dog,244,1342.625,2.465005470975525,0.770884172100307
D043_350,Dog,389,2219.2307692307695,2.882228218159937,0.8204457572502686
D044_350,Dog,238,1313.3125,3.1764224801060235,0.9166245142741628
D045_350,Dog,255,995.4545454545455,2.8190067595759345,0.8627684128318017
D046_350,Dog,297,948.9230769230769,2.834844933980696,0.8845920045263737
D047_350,Dog,226,664.6206896551724,2.2361625564786816,0.7172890037452069
D048_350,Dog,235,1150.0555555555557,2.642535470442909,0.8708170660152986
D049_350,Dog,270,1010.4545454545455,3.052940871885216,0.8681074750210749
D050_350,Dog,352,1644.7,2.4316690871719304,0.7901042546608552
D051_350,Dog,237,1132.7894736842104,2.987303985784432,0.9074487747931151
D052_350,Dog,155,631.625,1.836962890151975,0.7139422150680488
