Mag ID	Completeness	Contamination	Polish
SemiBin_144	43.26	3.81 	flye
SemiBin_1482	34.59	3.63 	flye
SemiBin_1483	38.7	3.34 	flye
SemiBin_1486	39.81	6.39 	flye
SemiBin_1491	36.1	5.09 	flye
SemiBin_1493	38.77	3.5 	flye
SemiBin_15	70.33	1.36 	flye
SemiBin_153	39.3	1.01 	flye
SemiBin_154	62.06	2.65 	flye
SemiBin_16	82.91	9.61 	flye
SemiBin_165	29.86	1.17 	flye
SemiBin_166	41.08	3.51 	flye
SemiBin_17	84.0	3.99 	flye
SemiBin_18	62.98	3.71 	flye
SemiBin_180	40.31	2.56 	flye
SemiBin_189	35.27	3.39 	flye
SemiBin_19	38.7	0.14 	flye
SemiBin_191	38.11	1.89 	flye
SemiBin_192	45.18	6.58 	flye
SemiBin_2	71.14	0.54 	flye
SemiBin_20	80.6	0.73 	flye
SemiBin_200	36.39	0.83 	flye
SemiBin_201	52.1	1.07 	flye
SemiBin_205	34.97	1.58 	flye
SemiBin_21	85.15	2.88 	flye
SemiBin_210	53.23	0.34 	flye
SemiBin_216	45.19	1.53 	flye
SemiBin_217	54.03	0.81 	flye
SemiBin_22	85.31	5.45 	flye
SemiBin_23	63.55	3.9 	flye
SemiBin_237	24.36	0.48 	flye
SemiBin_25	74.8	0.31 	flye
SemiBin_26	78.8	1.55 	flye
SemiBin_264	74.77	1.84 	flye
SemiBin_27	71.59	2.02 	flye
SemiBin_28	72.51	0.83 	flye
SemiBin_283	46.14	10.34 	flye
SemiBin_29	53.94	0.6 	flye
SemiBin_3	90.1	1.34 	flye
SemiBin_30	55.7	0.72 	flye
SemiBin_31	68.28	1.28 	flye
SemiBin_32	53.67	0.17 	flye
SemiBin_33	50.31	3.39 	flye
SemiBin_34	53.27	0.81 	flye
SemiBin_35	66.15	2.13 	flye
SemiBin_36	41.06	0.76 	flye
SemiBin_37	71.91	7.41 	flye
SemiBin_38	80.07	3.74 	flye
SemiBin_39	62.28	1.28 	flye
SemiBin_4	81.32	1.52 	flye
SemiBin_40	72.84	1.69 	flye
SemiBin_41	63.61	0.94 	flye
SemiBin_42	80.23	6.28 	flye
SemiBin_43	71.38	4.92 	flye
SemiBin_44	72.73	3.89 	flye
SemiBin_45	78.25	3.38 	flye
SemiBin_46	45.03	0.44 	flye
SemiBin_47	37.33	0.29 	flye
SemiBin_48	41.04	0.78 	flye
SemiBin_49	67.25	0.43 	flye
SemiBin_5	95.42	0.95 	flye
SemiBin_50	65.19	3.1 	flye
SemiBin_51	42.07	1.76 	flye
SemiBin_52	37.74	5.04 	flye
SemiBin_53	54.5	4.11 	flye
SemiBin_54	70.28	2.68 	flye
SemiBin_55	62.91	3.45 	flye
SemiBin_56	46.53	0.08 	flye
SemiBin_57	49.03	0.48 	flye
SemiBin_58	43.31	3.46 	flye
SemiBin_59	20.22	4.04 	flye
SemiBin_6	100.0	3.19 	flye
SemiBin_60	58.42	0.7 	flye
SemiBin_61	50.5	0.47 	flye
SemiBin_62	44.47	0.36 	flye
SemiBin_63	31.36	0.73 	flye
SemiBin_64	61.57	1.36 	flye
SemiBin_641	46.31	3.92 	flye
SemiBin_65	34.25	1.0 	flye
SemiBin_66	64.51	0.46 	flye
SemiBin_67	61.03	1.86 	flye
SemiBin_68	48.2	3.34 	flye
SemiBin_69	51.77	3.12 	flye
SemiBin_7	99.7	2.06 	flye
SemiBin_70	44.86	2.87 	flye
SemiBin_71	45.79	2.35 	flye
SemiBin_72	49.33	8.61 	flye
SemiBin_74	33.0	0.23 	flye
SemiBin_75	50.6	5.94 	flye
SemiBin_77	41.44	0.92 	flye
SemiBin_778	43.6	6.67 	flye
SemiBin_78	66.58	1.8 	flye
SemiBin_79	48.08	1.81 	flye
SemiBin_792	44.12	4.99 	flye
SemiBin_8	86.67	1.65 	flye
SemiBin_80	33.24	1.77 	flye
SemiBin_81	71.08	4.97 	flye
SemiBin_82	43.18	1.5 	flye
SemiBin_83	43.98	2.3 	flye
SemiBin_84	42.59	0.39 	flye
SemiBin_85	33.03	0.7 	flye
SemiBin_88	34.29	0.12 	flye
SemiBin_9	70.9	0.01 	flye
SemiBin_91	46.38	3.04 	flye
SemiBin_93	72.85	6.95 	flye
SemiBin_94	56.4	3.58 	flye
SemiBin_99	50.35	1.07 	flye
SemiBin_0	91.87	0.14 	flye
SemiBin_1	96.89	3.83 	flye
SemiBin_10	93.82	5.36 	flye
SemiBin_100	47.05	0.41 	flye
SemiBin_101	76.91	1.76 	flye
SemiBin_102	52.8	2.07 	flye
SemiBin_104	48.11	1.0 	flye
SemiBin_105	44.12	4.01 	flye
SemiBin_106	50.36	1.16 	flye
SemiBin_108	39.52	1.57 	flye
SemiBin_1080	49.62	4.8 	flye
SemiBin_11	81.46	1.21 	flye
SemiBin_110	56.19	3.94 	flye
SemiBin_111	43.82	1.49 	flye
SemiBin_112	86.88	2.73 	flye
SemiBin_113	43.1	4.77 	flye
SemiBin_118	34.43	4.02 	flye
SemiBin_119	53.45	1.98 	flye
SemiBin_12	86.09	0.85 	flye
SemiBin_121	70.63	1.43 	flye
SemiBin_122	63.0	3.82 	flye
SemiBin_125	62.76	0.36 	flye
SemiBin_126	47.96	1.64 	flye
SemiBin_128	59.7	1.35 	flye
SemiBin_129	73.89	0.6 	flye
SemiBin_13	67.54	4.38 	flye
SemiBin_131	45.27	3.22 	flye
SemiBin_135	70.49	0.14 	flye
SemiBin_136	76.3	1.53 	flye
SemiBin_137	41.11	1.74 	flye
SemiBin_138	39.61	0.75 	flye
SemiBin_139	34.17	2.58 	flye
SemiBin_14	88.28	6.7 	flye
SemiBin_141	51.81	1.6 	flye
SemiBin_143	40.73	0.56 	flye
SemiBin_144	65.32	3.27 	flye
SemiBin_145	54.39	2.87 	flye
SemiBin_149	36.05	1.16 	flye
SemiBin_15	67.63	0.54 	flye
SemiBin_150	31.29	2.54 	flye
SemiBin_158	74.51	6.17 	flye
SemiBin_16	66.76	2.72 	flye
SemiBin_163	37.83	1.33 	flye
SemiBin_164	47.73	0.31 	flye
SemiBin_168	51.73	0.44 	flye
SemiBin_17	77.82	2.61 	flye
SemiBin_170	49.0	0.97 	flye
SemiBin_175	68.68	0.23 	flye
SemiBin_177	53.6	1.74 	flye
SemiBin_18	61.87	3.45 	flye
SemiBin_189	50.89	1.29 	flye
SemiBin_19	75.48	3.34 	flye
SemiBin_2	93.49	0.5 	flye
SemiBin_20	73.14	2.62 	flye
SemiBin_200	72.69	0.92 	flye
SemiBin_21	91.16	0.23 	flye
SemiBin_210	55.93	3.28 	flye
SemiBin_22	76.65	5.93 	flye
SemiBin_222	53.96	3.54 	flye
SemiBin_2241	35.3	3.8 	flye
SemiBin_228	45.22	1.04 	flye
SemiBin_2289	39.32	4.12 	flye
SemiBin_23	89.3	4.26 	flye
SemiBin_24	83.8	1.42 	flye
SemiBin_25	89.67	4.3 	flye
SemiBin_250	42.77	1.56 	flye
SemiBin_26	81.19	0.92 	flye
SemiBin_260	41.9	0.33 	flye
SemiBin_27	66.15	1.58 	flye
SemiBin_278	46.0	0.16 	flye
SemiBin_28	66.8	1.22 	flye
SemiBin_29	77.38	0.92 	flye
SemiBin_3	92.41	3.01 	flye
SemiBin_30	60.79	2.1 	flye
SemiBin_31	71.76	3.4 	flye
SemiBin_32	77.64	3.53 	flye
SemiBin_33	71.73	3.21 	flye
SemiBin_34	74.88	1.07 	flye
SemiBin_35	64.83	0.53 	flye
SemiBin_36	82.27	4.3 	flye
SemiBin_37	67.72	1.22 	flye
SemiBin_371	61.82	8.54 	flye
SemiBin_38	53.23	2.65 	flye
SemiBin_39	84.18	1.01 	flye
SemiBin_4	89.8	0.04 	flye
SemiBin_40	86.41	1.5 	flye
SemiBin_41	41.95	1.36 	flye
SemiBin_42	61.75	3.21 	flye
SemiBin_43	54.96	0.18 	flye
SemiBin_439	44.9	0.36 	flye
SemiBin_44	75.76	1.69 	flye
SemiBin_443	35.27	1.39 	flye
SemiBin_45	35.12	2.42 	flye
SemiBin_46	62.62	0.18 	flye
SemiBin_47	39.24	0.98 	flye
SemiBin_48	57.38	4.25 	flye
SemiBin_481	53.54	4.04 	flye
SemiBin_49	54.4	2.0 	flye
SemiBin_5	76.19	0.2 	flye
SemiBin_50	77.58	2.96 	flye
SemiBin_51	42.37	1.03 	flye
SemiBin_52	67.69	2.25 	flye
SemiBin_53	74.33	4.45 	flye
SemiBin_54	46.14	0.28 	flye
SemiBin_55	90.58	5.53 	flye
SemiBin_56	53.2	0.1 	flye
SemiBin_57	59.12	2.3 	flye
SemiBin_58	61.41	1.03 	flye
SemiBin_59	45.75	2.62 	flye
SemiBin_6	86.7	0.89 	flye
SemiBin_60	55.66	1.52 	flye
SemiBin_62	75.76	2.28 	flye
SemiBin_625	36.57	3.49 	flye
SemiBin_63	51.75	0.38 	flye
SemiBin_64	79.78	5.22 	flye
SemiBin_65	42.54	0.65 	flye
SemiBin_66	61.14	1.99 	flye
SemiBin_67	53.26	0.88 	flye
SemiBin_68	59.26	7.08 	flye
SemiBin_69	41.58	2.9 	flye
SemiBin_7	86.63	1.37 	flye
SemiBin_70	42.73	0.13 	flye
SemiBin_71	56.93	0.97 	flye
SemiBin_72	41.84	1.22 	flye
SemiBin_73	28.73	2.74 	flye
SemiBin_74	49.24	1.04 	flye
SemiBin_75	50.21	1.05 	flye
SemiBin_750	43.1	3.79 	flye
SemiBin_76	33.39	4.94 	flye
SemiBin_78	70.81	1.79 	flye
SemiBin_79	67.86	0.52 	flye
SemiBin_8	83.17	2.1 	flye
SemiBin_80	38.86	0.93 	flye
SemiBin_82	34.53	0.25 	flye
SemiBin_83	43.3	1.41 	flye
SemiBin_84	56.01	2.43 	flye
SemiBin_87	53.61	0.43 	flye
SemiBin_88	42.73	6.06 	flye
SemiBin_89	38.28	0.45 	flye
SemiBin_9	91.49	1.11 	flye
SemiBin_91	37.39	1.42 	flye
SemiBin_92	53.16	0.89 	flye
SemiBin_93	51.94	1.17 	flye
SemiBin_94	47.79	3.26 	flye
SemiBin_95	39.73	0.81 	flye
SemiBin_953	49.44	5.94 	flye
SemiBin_96	53.48	2.38 	flye
SemiBin_99	38.38	4.3 	flye
SemiBin_0	95.79	2.02 	flye
SemiBin_1	98.72	2.46 	flye
SemiBin_10	77.39	4.05 	flye
SemiBin_100	39.01	1.41 	flye
SemiBin_101	55.23	2.53 	flye
SemiBin_102	37.68	1.98 	flye
SemiBin_103	42.51	2.41 	flye
SemiBin_104	39.59	2.29 	flye
SemiBin_106	47.5	2.35 	flye
SemiBin_11	81.75	2.95 	flye
SemiBin_110	40.44	0.6 	flye
SemiBin_112	58.41	1.62 	flye
SemiBin_116	34.66	2.09 	flye
SemiBin_117	65.81	6.26 	flye
SemiBin_12	97.27	4.71 	flye
SemiBin_120	37.52	0.26 	flye
SemiBin_1239	26.52	5.03 	flye
SemiBin_1244	65.45	8.11 	flye
SemiBin_127	57.02	3.23 	flye
SemiBin_13	67.62	2.16 	flye
SemiBin_130	41.09	1.93 	flye
SemiBin_131	57.48	4.79 	flye
SemiBin_1311	40.66	7.89 	flye
SemiBin_134	47.92	0.14 	flye
SemiBin_135	35.84	2.14 	flye
SemiBin_14	63.43	5.01 	flye
SemiBin_144	26.36	0.8 	flye
SemiBin_146	36.5	0.64 	flye
SemiBin_148	38.33	2.46 	flye
SemiBin_15	54.97	6.35 	flye
SemiBin_152	43.41	1.68 	flye
SemiBin_153	45.83	2.11 	flye
SemiBin_156	57.68	0.94 	flye
SemiBin_16	82.54	2.43 	flye
SemiBin_168	39.11	1.83 	flye
SemiBin_17	58.68	0.21 	flye
SemiBin_170	36.65	5.48 	flye
SemiBin_18	81.57	5.95 	flye
SemiBin_19	60.35	0.7 	flye
SemiBin_195	51.91	5.37 	flye
SemiBin_2	73.97	0.03 	flye
SemiBin_20	68.34	1.11 	flye
SemiBin_21	35.45	1.64 	flye
SemiBin_211	37.14	7.54 	flye
SemiBin_212	82.76	0.74 	flye
SemiBin_22	56.89	0.88 	flye
SemiBin_229	48.09	0.07 	flye
SemiBin_23	38.32	1.04 	flye
SemiBin_24	19.06	3.23 	flye
SemiBin_25	64.47	3.88 	flye
SemiBin_26	62.31	3.74 	flye
SemiBin_27	40.67	1.18 	flye
SemiBin_28	76.13	5.31 	flye
SemiBin_29	32.95	4.34 	flye
SemiBin_3	93.79	3.26 	flye
SemiBin_30	60.91	3.25 	flye
SemiBin_31	40.79	0.93 	flye
SemiBin_32	51.37	1.72 	flye
SemiBin_33	59.44	1.35 	flye
SemiBin_34	63.79	0.75 	flye
SemiBin_342	39.12	4.75 	flye
SemiBin_35	67.07	0.29 	flye
SemiBin_36	46.66	0.46 	flye
SemiBin_366	35.38	2.4 	flye
SemiBin_37	65.15	2.75 	flye
SemiBin_38	62.26	0.42 	flye
SemiBin_39	49.23	0.39 	flye
SemiBin_4	94.97	0.71 	flye
SemiBin_40	42.1	1.41 	flye
SemiBin_41	56.28	3.69 	flye
SemiBin_42	61.39	1.72 	flye
SemiBin_43	73.02	0.93 	flye
SemiBin_44	47.63	3.44 	flye
SemiBin_45	53.0	2.31 	flye
SemiBin_46	59.81	1.27 	flye
SemiBin_47	40.16	10.73 	flye
SemiBin_48	50.05	1.58 	flye
SemiBin_49	67.65	2.97 	flye
SemiBin_5	89.54	5.18 	flye
SemiBin_50	46.06	0.64 	flye
SemiBin_51	48.42	2.88 	flye
SemiBin_514	20.28	1.57 	flye
SemiBin_52	37.07	0.26 	flye
SemiBin_53	64.11	1.01 	flye
SemiBin_54	69.68	0.55 	flye
SemiBin_56	50.62	0.81 	flye
SemiBin_561	48.55	2.59 	flye
SemiBin_57	43.68	1.26 	flye
SemiBin_58	36.89	1.15 	flye
SemiBin_59	82.41	5.67 	flye
SemiBin_6	78.74	1.42 	flye
SemiBin_60	35.4	3.91 	flye
SemiBin_61	72.54	1.8 	flye
SemiBin_62	49.25	1.94 	flye
SemiBin_63	70.04	0.04 	flye
SemiBin_64	49.39	0.57 	flye
SemiBin_65	45.71	1.37 	flye
SemiBin_67	37.71	2.84 	flye
SemiBin_68	58.91	0.98 	flye
SemiBin_69	42.91	2.07 	flye
SemiBin_7	86.32	7.01 	flye
SemiBin_70	81.15	1.19 	flye
SemiBin_71	32.85	3.89 	flye
SemiBin_72	50.56	3.24 	flye
SemiBin_73	30.26	1.73 	flye
SemiBin_74	67.44	4.69 	flye
SemiBin_75	36.93	2.19 	flye
SemiBin_76	66.03	1.93 	flye
SemiBin_77	34.49	3.3 	flye
SemiBin_78	33.1	1.24 	flye
SemiBin_79	51.66	2.91 	flye
SemiBin_8	78.51	1.41 	flye
SemiBin_80	70.21	2.08 	flye
SemiBin_81	31.7	1.47 	flye
SemiBin_82	40.01	2.22 	flye
SemiBin_84	30.17	0.64 	flye
SemiBin_85	34.71	0.9 	flye
SemiBin_89	42.42	1.84 	flye
SemiBin_9	88.66	4.96 	flye
SemiBin_91	29.2	1.23 	flye
SemiBin_92	49.01	4.22 	flye
SemiBin_93	34.33	1.16 	flye
SemiBin_94	34.5	4.43 	flye
SemiBin_95	41.17	0.78 	flye
SemiBin_96	69.58	2.77 	flye
SemiBin_97	46.2	0.39 	flye
SemiBin_99	63.25	0.38 	flye
SemiBin_0	97.06	0.61 	flye
SemiBin_1	98.32	2.48 	flye
SemiBin_10	95.42	4.14 	flye
SemiBin_100	65.49	0.85 	flye
SemiBin_102	43.61	1.7 	flye
SemiBin_103	35.95	3.93 	flye
SemiBin_104	53.88	1.53 	flye
SemiBin_105	41.74	0.23 	flye
SemiBin_107	54.51	3.88 	flye
SemiBin_108	47.11	2.13 	flye
SemiBin_109	55.24	2.82 	flye
SemiBin_11	57.08	0.33 	flye
SemiBin_110	52.71	1.8 	flye
SemiBin_111	47.01	4.17 	flye
SemiBin_112	40.73	0.33 	flye
SemiBin_113	66.43	1.1 	flye
SemiBin_114	37.3	1.22 	flye
SemiBin_115	51.81	0.98 	flye
SemiBin_116	46.44	2.65 	flye
SemiBin_117	41.33	2.85 	flye
SemiBin_118	57.32	1.67 	flye
SemiBin_119	41.58	1.02 	flye
SemiBin_12	83.56	0.78 	flye
SemiBin_120	33.05	1.88 	flye
SemiBin_122	72.57	0.93 	flye
SemiBin_123	39.71	0.97 	flye
SemiBin_124	36.12	3.96 	flye
SemiBin_125	72.15	8.27 	flye
SemiBin_126	65.31	1.18 	flye
SemiBin_127	44.1	3.03 	flye
SemiBin_128	47.86	3.01 	flye
SemiBin_129	41.92	2.25 	flye
SemiBin_13	86.54	2.05 	flye
SemiBin_131	58.46	2.5 	flye
SemiBin_132	40.32	0.72 	flye
SemiBin_133	53.07	1.18 	flye
SemiBin_135	43.04	0.37 	flye
SemiBin_136	68.43	2.08 	flye
SemiBin_137	44.22	3.92 	flye
SemiBin_138	47.36	0.3 	flye
SemiBin_139	44.43	1.59 	flye
SemiBin_14	95.25	2.75 	flye
SemiBin_140	30.14	1.08 	flye
SemiBin_141	39.41	2.19 	flye
SemiBin_142	38.38	0.62 	flye
SemiBin_143	50.77	0.74 	flye
SemiBin_144	41.72	2.24 	flye
SemiBin_147	48.62	4.93 	flye
SemiBin_148	53.27	0.3 	flye
SemiBin_149	41.58	0.55 	flye
SemiBin_15	91.37	2.21 	flye
SemiBin_150	38.47	1.12 	flye
SemiBin_151	44.01	1.57 	flye
SemiBin_1515	43.5	7.55 	flye
SemiBin_158	40.63	13.65 	flye
SemiBin_159	76.89	2.66 	flye
SemiBin_16	85.09	2.15 	flye
SemiBin_160	60.95	2.19 	flye
SemiBin_161	47.9	0.46 	flye
SemiBin_165	51.68	2.87 	flye
SemiBin_167	54.28	1.51 	flye
SemiBin_169	39.35	1.54 	flye
SemiBin_17	91.85	0.54 	flye
SemiBin_172	36.16	1.8 	flye
SemiBin_173	44.0	3.66 	flye
SemiBin_174	66.42	1.37 	flye
SemiBin_18	99.3	2.9 	flye
SemiBin_19	72.64	3.02 	flye
SemiBin_192	57.16	2.43 	flye
SemiBin_1949	49.04	4.34 	flye
SemiBin_197	67.84	1.24 	flye
SemiBin_198	58.12	2.43 	flye
SemiBin_2	86.57	0.5 	flye
SemiBin_20	97.96	6.88 	flye
SemiBin_207	71.14	3.15 	flye
SemiBin_21	94.21	4.24 	flye
SemiBin_212	69.05	2.26 	flye
SemiBin_216	47.94	1.12 	flye
SemiBin_217	63.57	2.09 	flye
SemiBin_2176	44.58	5.0 	flye
SemiBin_22	91.06	5.36 	flye
SemiBin_221	46.54	0.12 	flye
SemiBin_223	44.49	1.0 	flye
SemiBin_23	80.56	0.17 	flye
SemiBin_24	72.04	0.18 	flye
SemiBin_242	70.23	4.97 	flye
SemiBin_243	58.59	5.59 	flye
SemiBin_244	50.81	1.7 	flye
SemiBin_246	60.93	0.3 	flye
SemiBin_25	91.37	6.8 	flye
SemiBin_257	40.43	1.68 	flye
SemiBin_26	79.23	1.09 	flye
SemiBin_264	40.7	2.5 	flye
SemiBin_27	89.06	1.02 	flye
SemiBin_275	35.9	0.23 	flye
SemiBin_279	42.1	2.65 	flye
SemiBin_28	77.56	0.94 	flye
SemiBin_287	69.04	5.27 	flye
SemiBin_29	86.06	3.38 	flye
SemiBin_292	38.21	0.52 	flye
SemiBin_298	38.22	0.24 	flye
SemiBin_3	94.54	0.23 	flye
SemiBin_30	73.67	2.28 	flye
SemiBin_302	51.69	2.43 	flye
SemiBin_31	89.72	4.78 	flye
SemiBin_315	41.96	2.06 	flye
SemiBin_319	50.18	0.25 	flye
SemiBin_32	89.91	4.06 	flye
SemiBin_320	53.88	5.3 	flye
SemiBin_321	45.78	4.32 	flye
SemiBin_33	59.38	1.98 	flye
SemiBin_336	40.47	1.64 	flye
SemiBin_34	75.29	0.31 	flye
SemiBin_344	39.41	1.87 	flye
SemiBin_346	46.99	1.13 	flye
SemiBin_35	82.47	2.53 	flye
SemiBin_351	37.61	4.45 	flye
SemiBin_36	76.05	1.57 	flye
SemiBin_369	43.12	1.98 	flye
SemiBin_37	88.17	2.18 	flye
