#seq_name,length,cov.,circ.,repeat,mult.,alt_group,graph_path,MAG
cpsnj04_contig_35187,98266,9,Y,N,2,*,35187,
cpsnj04_contig_59574,92907,23,Y,N,5,*,59574,
cpsnj04_contig_86946,77604,4,Y,N,1,*,86946,
cpsnj04_contig_59983,68923,6,Y,N,1,*,59983,
cpsnj04_contig_88510,66621,14,Y,N,3,*,88510,
cpsnj04_contig_90442,54332,6,Y,N,1,*,90442,
cpsnj04_contig_87998,50902,3,Y,N,1,*,87998,
cpsnj04_contig_88700,48145,60,Y,N,15,*,88700,
cpsnj04_contig_90543,45691,5,Y,N,1,*,90543,
cpsnj04_contig_16734,45657,3,Y,Y,1,96,16734,
cpsnj04_contig_24607,43166,3,Y,Y,1,132,24607,
cpsnj04_contig_90067,42469,21,Y,N,4,*,90067,
cpsnj04_contig_90576,42155,16,Y,N,4,*,90576,
cpsnj04_contig_90167,40191,5,Y,N,1,*,90167,
cpsnj04_contig_87579,40185,7,Y,N,2,*,87579,
cpsnj04_contig_89947,39502,6,Y,N,1,*,89947,
cpsnj04_contig_71789,36982,5,Y,N,1,*,71789,
cpsnj04_contig_85654,36777,4,Y,N,1,*,85654,
cpsnj04_contig_90428,36253,20,Y,N,5,*,90428,
cpsnj04_contig_89631,35241,7,Y,N,1,*,89631,
cpsnj04_contig_87967,33652,5,Y,Y,1,278,87967,
cpsnj04_contig_89299,33506,4,Y,N,1,*,89299,
cpsnj04_contig_12271,32359,6,Y,Y,1,66,12271,
cpsnj04_contig_13068,31648,6,Y,Y,1,74,13068,
cpsnj04_contig_67637,31394,19,Y,N,3,*,67637,
cpsnj04_contig_13211,30195,4,Y,Y,1,76,13211,
cpsnj04_contig_86895,25370,4,Y,Y,1,*,86895,
cpsnj04_contig_51836,24475,5,Y,Y,1,206,51836,
cpsnj04_contig_39171,24292,4,Y,Y,1,172,39171,
cpsnj04_contig_400,23217,6,Y,Y,1,6,400,
cpsnj04_contig_47040,22965,5,Y,Y,1,192,47040,
cpsnj04_contig_11201,22590,3,Y,Y,1,4832,11201,
cpsnj04_contig_90478,22319,5,Y,N,1,*,90478,
cpsnj04_contig_90532,21328,3,Y,N,1,*,90532,
cpsnj04_contig_15965,20598,3,Y,Y,1,90,15965,
cpsnj04_contig_88619,20459,6,Y,N,1,*,88619,
cpsnj04_contig_88236,19995,5,Y,Y,1,282,88236,
cpsnj04_contig_89870,17054,12,Y,N,3,*,89870,
cpsnj04_contig_32418,16444,14,Y,Y,3,4362,32418,
cpsnj04_contig_24057,16037,11,Y,Y,2,5894,24057,
cpsnj04_contig_86525,15047,11,Y,Y,2,4696,86525,
cpsnj04_contig_76064,14825,4,Y,N,1,*,76064,
cpsnj04_contig_42786,14743,7,Y,Y,1,182,42786,
cpsnj04_contig_87686,14696,11,Y,Y,2,5282,87686,
cpsnj04_contig_48900,14276,7,Y,Y,2,198,48900,
cpsnj04_contig_43160,13723,12,Y,Y,3,*,43160,
cpsnj04_contig_23865,13495,6,Y,Y,1,128,23865,
cpsnj04_contig_55151,13267,6,Y,Y,1,5870,55151,
cpsnj04_contig_57996,13170,3,Y,Y,1,5888,57996,
cpsnj04_contig_90155,12955,4,Y,N,1,*,90155,
cpsnj04_contig_24552,12480,4,Y,Y,1,6154,24552,
cpsnj04_contig_77369,12052,3,Y,Y,1,4328,77369,
cpsnj04_contig_21083,11595,5,Y,Y,1,5144,21083,
cpsnj04_contig_29810,11208,12,Y,Y,4,144,29810,
cpsnj04_contig_27467,10923,6,Y,Y,2,4200,27467,
cpsnj04_contig_22089,10642,5,Y,Y,1,118,22089,
cpsnj04_contig_808,10417,5,Y,Y,1,10,808,
cpsnj04_contig_4552,9917,18,Y,Y,3,4454,4552,
cpsnj04_contig_24011,9648,5,Y,Y,1,4668,24011,
cpsnj04_contig_23101,9429,6,Y,Y,1,122,23101,
cpsnj04_contig_7230,9155,6,Y,Y,1,4822,7230,
cpsnj04_contig_14610,9102,4,Y,Y,1,84,14610,
cpsnj04_contig_89962,9016,6,Y,N,1,*,89962,
cpsnj04_contig_29024,8886,3,Y,Y,1,5520,29024,
cpsnj04_contig_39690,8856,3,Y,Y,1,5516,39690,
cpsnj04_contig_88522,8715,11,Y,N,3,*,88522,
cpsnj04_contig_61302,8572,12,Y,N,2,*,61302,
cpsnj04_contig_8602,8370,9,Y,N,2,*,8602,
cpsnj04_contig_90508,7634,6,Y,N,1,*,90508,
cpsnj04_contig_67268,6859,4,Y,N,1,*,67268,
cpsnj04_contig_52857,6635,6,Y,N,1,*,52857,
cpsnj04_contig_56970,6163,5,Y,N,1,*,56970,
cpsnj04_contig_90577,5967,4,Y,N,1,*,90577,
cpsnj04_contig_32706,5964,7,Y,N,1,*,32706,
cpsnj04_contig_55091,5927,12,Y,N,2,*,55091,
cpsnj04_contig_37219,5858,3,Y,Y,1,4360,37219,
cpsnj04_contig_19489,5850,20,Y,N,5,*,19489,
cpsnj04_contig_72290,5727,12,Y,N,3,*,72290,
cpsnj04_contig_11748,5533,10,Y,N,2,*,11748,
cpsnj04_contig_90578,5533,11,Y,N,2,*,90578,
cpsnj04_contig_79264,5520,15,Y,N,3,*,79264,
cpsnj04_contig_61981,5508,3,Y,Y,1,230,61981,
cpsnj04_contig_55476,5281,5,Y,Y,1,*,55476,
cpsnj04_contig_56818,5110,12,Y,Y,3,*,56818,
cpsnj04_contig_63426,5013,16,Y,Y,3,*,63426,
cpsnj04_contig_46133,4731,11,Y,Y,2,*,46133,
cpsnj04_contig_86922,4238,6,Y,Y,1,6244,86922,
cpsnj04_contig_38639,3886,8,Y,Y,1,6218,38639,
cpsnj04_contig_59345,3043,3,Y,Y,1,5890,59345,
cpsnj04_contig_14726,2056,3,Y,Y,1,6102,14726,
cpsnj04_contig_88995,1814,6,Y,Y,1,4248,88995,
cpsnj04_contig_22429,801,54,Y,Y,13,*,22429,
cpsnj04_contig_18692,544,4,Y,Y,1,4400,18692,
cpsnj04_contig_15437,334,3,Y,Y,1,4332,15437,
cpsnj08_contig_95490,130983,8,Y,N,2,*,95490,
cpsnj08_contig_99175,111905,14,Y,N,2,*,99175,
cpsnj08_contig_96231,108061,48,Y,N,8,*,96231,
cpsnj08_contig_98829,104103,6,Y,N,1,*,98829,
cpsnj08_contig_98635,85743,8,Y,N,1,*,98635,
cpsnj08_contig_8442,74378,6,Y,N,1,*,8442,
cpsnj08_contig_96702,73434,4,Y,N,1,*,96702,
cpsnj08_contig_18522,72994,17,Y,N,3,*,18522,
cpsnj08_contig_97163,72970,17,Y,N,3,*,97163,
cpsnj08_contig_97723,69620,4,Y,N,1,*,97723,
cpsnj08_contig_96796,69252,32,Y,N,5,*,96796,
cpsnj08_contig_98952,63681,15,Y,N,3,*,98952,
cpsnj08_contig_99025,61015,7,Y,N,1,*,99025,
cpsnj08_contig_98300,56542,9,Y,N,1,*,98300,
cpsnj08_contig_98423,55311,9,Y,N,1,*,98423,
cpsnj08_contig_1040,54775,38,Y,N,7,*,1040,
cpsnj08_contig_98505,54298,8,Y,N,2,*,98505,
cpsnj08_contig_98307,52744,35,Y,N,6,*,98307,
cpsnj08_contig_96412,52043,24,Y,N,4,*,96412,
cpsnj08_contig_98857,50398,17,Y,N,3,*,98857,
cpsnj08_contig_99259,49694,3,Y,Y,1,*,99259,
cpsnj08_contig_96405,49330,10,Y,N,2,*,96405,
cpsnj08_contig_98790,49053,5,Y,N,1,*,98790,
cpsnj08_contig_94736,48882,6,Y,N,1,*,94736,
cpsnj08_contig_99068,48670,15,Y,N,2,*,99068,
cpsnj08_contig_65284,48566,19,Y,N,3,*,65284,
cpsnj08_contig_97746,48235,10,Y,N,2,*,97746,
cpsnj08_contig_95852,47944,5,Y,N,1,*,95852,
cpsnj08_contig_95191,47766,7,Y,N,1,*,95191,
cpsnj08_contig_99220,47180,8,Y,N,1,*,99220,
cpsnj08_contig_99253,47117,12,Y,N,2,*,99253,
cpsnj08_contig_98512,45907,60,Y,N,11,*,98512,
cpsnj08_contig_98418,45652,9,Y,N,1,*,98418,
cpsnj08_contig_98985,44591,19,Y,N,3,*,98985,
cpsnj08_contig_96509,44444,7,Y,N,1,*,96509,
cpsnj08_contig_16671,43174,9,Y,N,1,*,16671,
cpsnj08_contig_21193,41746,9,Y,N,2,*,21193,
cpsnj08_contig_99244,41731,4,Y,N,1,*,99244,
cpsnj08_contig_99139,41146,5,Y,N,1,*,99139,
cpsnj08_contig_93954,40841,5,Y,N,1,*,93954,
cpsnj08_contig_96083,40503,17,Y,N,3,*,96083,
cpsnj08_contig_99138,40489,9,Y,N,1,*,99138,
cpsnj08_contig_97336,40445,16,Y,N,3,*,97336,
cpsnj08_contig_39790,40397,10,Y,N,1,*,39790,
cpsnj08_contig_95164,40161,12,Y,N,2,*,95164,
cpsnj08_contig_42074,40152,17,Y,N,3,*,42074,
cpsnj08_contig_80361,40123,12,Y,N,2,*,80361,
cpsnj08_contig_41109,40025,17,Y,N,2,*,41109,
cpsnj08_contig_98933,39877,6,Y,N,1,*,98933,
cpsnj08_contig_16338,39788,5,Y,N,1,*,16338,
cpsnj08_contig_98303,39736,11,Y,N,2,*,98303,
cpsnj08_contig_38703,39675,39,Y,N,7,*,38703,
cpsnj08_contig_98854,39671,12,Y,N,2,*,98854,
cpsnj08_contig_74625,39614,25,Y,N,4,*,74625,
cpsnj08_contig_99028,39439,35,Y,N,6,*,99028,
cpsnj08_contig_97345,38817,4,Y,Y,1,*,97345,
cpsnj08_contig_97892,38690,15,Y,N,2,*,97892,
