Sample	Mag ID	nbps	Nr contigs	N50	L50	Completeness	Contamination	Quality	Drep_95	Drep_99	S16	S23	S5	Total tRNA	Unique tRNA	GTDB	MIMAG	SGB	ARO	Drug Class	Resistance Mechanism	AMR Gene Family
cpsnj01	cpsnj01_SemiBin_1	6091514	3	2442979	2	100.0	0.54	High quality	T	T	2	2	2	44	20	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Steroidobacterales;f__Steroidobacteraceae;g__RPQJ01;s__	T	56_1	3002972	glycopeptide antibiotic	antibiotic target alteration	glycopeptide resistance gene cluster; vanT
cpsnj01	cpsnj01_SemiBin_208	3894771	14	322034	4	70.26	2.11	Medium quality	T	T	0	0	0	65	19		F	344_0	3002972;3002965;3000777	fluoroquinolone antibiotic; tetracycline antibiotic,glycopeptide antibiotic	antibiotic target alteration,antibiotic efflux	vanW; glycopeptide resistance gene cluster,glycopeptide resistance gene cluster; vanT,resistance-nodulation-cell division (RND) antibiotic efflux pump
cpsnj01	cpsnj01_SemiBin_20	3011911	29	140133	8	63.55	1.32	Medium quality	F	T	0	0	0	30	14	d__Bacteria;p__Acidobacteriota;c__Vicinamibacteria;o__Vicinamibacterales;f__UBA2999;g__2-02-FULL-65-29;s__	F	2511_1	NA	NA	NA	NA
cpsnj01	cpsnj01_SemiBin_21	7825529	40	402831	8	77.48	8.68	Medium quality	F	T	0	1	1	45	19	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingomicrobium;s__	F	1003_2	3000777	fluoroquinolone antibiotic; tetracycline antibiotic	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump
cpsnj01	cpsnj01_SemiBin_22	8203294	42	290603	11	72.48	4.22	Medium quality	T	T	2	2	3	53	20	d__Bacteria;p__Acidobacteriota;c__Vicinamibacteria;o__Vicinamibacterales;f__UBA2999;g__JACCSI01;s__	F	1675_0	3002972;3003724	glycopeptide antibiotic	antibiotic target alteration	vanW; glycopeptide resistance gene cluster,glycopeptide resistance gene cluster; vanT
cpsnj01	cpsnj01_SemiBin_23	2958614	19	194580	4	71.94	4.99	Medium quality	T	T	0	0	0	41	18	d__Bacteria;p__Acidobacteriota;c__Vicinamibacteria;o__Vicinamibacterales;f__UBA2999;g__JACCSI01;s__	F	695_3	3002972	glycopeptide antibiotic	antibiotic target alteration	glycopeptide resistance gene cluster; vanT
cpsnj01	cpsnj01_SemiBin_24	3872517	17	402668	4	71.77	0.89	Medium quality	T	T	0	0	0	31	18	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Weeksellaceae;g__Chryseobacterium;s__Chryseobacterium geocarposphaerae	F	2482_9	3000777	fluoroquinolone antibiotic; tetracycline antibiotic	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump
cpsnj01	cpsnj01_SemiBin_25	4441972	47	203848	9	65.46	7.97	Medium quality	T	T	1	1	1	32	16	d__Bacteria;p__Acidobacteriota;c__Vicinamibacteria;o__Vicinamibacterales;f__2-12-FULL-66-21;g__JACCXG01;s__	F	2243_1	NA	NA	NA	NA
cpsnj01	cpsnj01_SemiBin_26	3739644	17	339338	4	71.59	0.38	Medium quality	T	T	1	1	1	35	18	d__Bacteria;p__Acidobacteriota;c__Vicinamibacteria;o__Vicinamibacterales;f__UBA2999;g__VFZN01;s__	F	2164_9	3000777	fluoroquinolone antibiotic; tetracycline antibiotic	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump
cpsnj01	cpsnj01_SemiBin_275	2979738	59	78001	13	69.87	6.61	Medium quality	T	T	2	2	2	42	12		F	16_3	NA	NA	NA	NA
cpsnj01	cpsnj01_SemiBin_286	4428130	15	353066	5	55.6	3.63	Medium quality	F	T	1	1	1	34	17		F	1200_1	NA	NA	NA	NA
cpsnj01	cpsnj01_SemiBin_28	3148876	29	127166	8	57.65	0.25	Medium quality	F	T	0	0	0	26	17	d__Bacteria;p__Acidobacteriota;c__Blastocatellia;o__Pyrinomonadales;f__Pyrinomonadaceae;g__PSRF01;s__	F	2506_11	3000777	fluoroquinolone antibiotic; tetracycline antibiotic	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump
cpsnj01	cpsnj01_SemiBin_29	2313353	7	320747	3	58.72	2.31	Medium quality	T	T	0	0	0	44	20	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__SG8-39;g__JAGVSZ01;s__	F	2723_9	3002972	glycopeptide antibiotic	antibiotic target alteration	glycopeptide resistance gene cluster; vanT
cpsnj01	cpsnj01_SemiBin_2	3562803	13	476223	3	98.62	0.39	High quality	F	T	1	1	1	39	18	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Steroidobacterales;f__Steroidobacteraceae;g__SCUD01;s__	T	2153_1	3000777	fluoroquinolone antibiotic; tetracycline antibiotic	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump
cpsnj01	cpsnj01_SemiBin_30	10032028	149	102213	27	58.79	8.38	Medium quality	T	T	3	3	2	53	18	d__Bacteria;p__Acidobacteriota;c__Vicinamibacteria;o__Vicinamibacterales;f__UBA2999;g__JACCSI01;s__	F	2617_0	3002891;3002972;3003724	glycopeptide antibiotic,tetracycline antibiotic	antibiotic target alteration,antibiotic target protection	tetracycline-resistant ribosomal protection protein,glycopeptide resistance gene cluster; vanT,vanW; glycopeptide resistance gene cluster
cpsnj01	cpsnj01_SemiBin_32	4821778	8	799656	3	68.8	2.74	Medium quality	F	F	1	1	1	29	14		F	1369_1	NA	NA	NA	NA
cpsnj01	cpsnj01_SemiBin_34	2851284	19	274981	4	59.51	2.19	Medium quality	T	T	1	1	1	22	14	d__Bacteria;p__Acidobacteriota;c__Vicinamibacteria;o__Fen-336;f__Fen-336;g__;s__	F	2785_3	3002956;3007370;3002972	glycopeptide antibiotic,phosphonic acid antibiotic	antibiotic target alteration,antibiotic inactivation	fosfomycin thiol transferase,vanY; glycopeptide resistance gene cluster,glycopeptide resistance gene cluster; vanT
cpsnj01	cpsnj01_SemiBin_35	3757007	31	184834	7	71.22	8.34	Medium quality	F	T	0	0	0	47	18	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Steroidobacterales;f__Steroidobacteraceae;g__;s__	F	352_1	3002965	glycopeptide antibiotic	antibiotic target alteration	vanW; glycopeptide resistance gene cluster
cpsnj01	cpsnj01_SemiBin_37	3920459	37	141928	11	61.13	1.0	Medium quality	T	T	1	1	1	33	18	d__Bacteria;p__Desulfobacterota_B;c__Binatia;o__UBA9968;f__UBA9968;g__WHTF01;s__	F	1265_3	NA	NA	NA	NA
cpsnj01	cpsnj01_SemiBin_38	7351370	112	82085	28	64.73	3.36	Medium quality	T	T	1	1	1	77	20	d__Bacteria;p__Actinomycetota;c__UBA4738;o__UBA4738;f__HRBIN12;g__;s__	F	1490_0	3003724	glycopeptide antibiotic	antibiotic target alteration	vanW; glycopeptide resistance gene cluster
cpsnj01	cpsnj01_SemiBin_399	3066724	18	345344	4	58.61	5.19	Medium quality	T	T	1	1	1	30	15		F	113_2	NA	NA	NA	NA
cpsnj01	cpsnj01_SemiBin_39	4200224	26	192939	8	76.94	0.03	Medium quality	F	T	1	1	1	49	18	d__Bacteria;p__Acidobacteriota;c__Vicinamibacteria;o__Vicinamibacterales;f__2-12-FULL-66-21;g__;s__	F	2808_1	3002956;3002891;3003724	glycopeptide antibiotic,tetracycline antibiotic	antibiotic target alteration,antibiotic target protection	vanY; glycopeptide resistance gene cluster,tetracycline-resistant ribosomal protection protein,vanW; glycopeptide resistance gene cluster
cpsnj01	cpsnj01_SemiBin_409	3359799	70	60416	21	58.69	9.97	Medium quality	T	T	1	1	1	44	19		F	762_2	3002972;3000777	fluoroquinolone antibiotic; tetracycline antibiotic,glycopeptide antibiotic	antibiotic target alteration,antibiotic efflux	glycopeptide resistance gene cluster; vanT,resistance-nodulation-cell division (RND) antibiotic efflux pump
cpsnj01	cpsnj01_SemiBin_40	3959531	24	206514	7	62.44	1.29	Medium quality	T	T	1	1	1	35	13	d__Bacteria;p__Gemmatimonadota;c__Gemmatimonadetes;o__Gemmatimonadales;f__Gemmatimonadaceae;g__JAJKIV01;s__	F	2543_0	3007015	disinfecting agents and antiseptics	antibiotic efflux	small multidrug resistance (SMR) antibiotic efflux pump
cpsnj01	cpsnj01_SemiBin_42	1343744	9	176096	3	53.84	0.48	Medium quality	T	T	0	0	0	27	15	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae_A;g__;s__	F	2643_0	3002972;3003724	glycopeptide antibiotic	antibiotic target alteration	vanW; glycopeptide resistance gene cluster,glycopeptide resistance gene cluster; vanT
cpsnj01	cpsnj01_SemiBin_43	4275647	46	162981	10	68.93	4.24	Medium quality	T	T	0	0	0	35	18	d__Bacteria;p__Acidobacteriota;c__Vicinamibacteria;o__Vicinamibacterales;f__UBA2999;g__JAMQPK01;s__	F	131_0	NA	NA	NA	NA
cpsnj01	cpsnj01_SemiBin_45	4225028	18	620322	3	78.43	4.7	Medium quality	T	T	3	3	0	39	17	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae;g__JAFAEM01;s__	F	2277_1	3000777	fluoroquinolone antibiotic; tetracycline antibiotic	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump
cpsnj01	cpsnj01_SemiBin_47	2818030	9	328370	3	89.74	4.39	Medium quality	F	T	1	1	1	54	18	d__Bacteria;p__Acidobacteriota;c__Blastocatellia;o__Pyrinomonadales;f__Pyrinomonadaceae;g__PSRF01;s__	F	2726_1	NA	NA	NA	NA
cpsnj01	cpsnj01_SemiBin_48	2091776	8	300256	3	57.48	0.46	Medium quality	T	T	1	1	1	33	18		F	2644_0	3002972;3003724	glycopeptide antibiotic	antibiotic target alteration	vanW; glycopeptide resistance gene cluster,glycopeptide resistance gene cluster; vanT
cpsnj01	cpsnj01_SemiBin_49	9798167	83	241045	12	89.06	7.69	Medium quality	T	T	1	1	1	50	19		F	1414_1	3002972;3000777	fluoroquinolone antibiotic; tetracycline antibiotic,glycopeptide antibiotic	antibiotic target alteration,antibiotic efflux	glycopeptide resistance gene cluster; vanT,resistance-nodulation-cell division (RND) antibiotic efflux pump
cpsnj01	cpsnj01_SemiBin_4	6212271	18	442376	4	98.12	4.33	High quality	F	T	1	1	1	42	20	d__Bacteria;p__Acidobacteriota;c__Blastocatellia;o__Pyrinomonadales;f__Pyrinomonadaceae;g__;s__	T	1440_1	3000777	fluoroquinolone antibiotic; tetracycline antibiotic	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump
cpsnj01	cpsnj01_SemiBin_51	3796811	21	230985	5	54.09	2.18	Medium quality	T	T	1	1	1	22	15		F	2755_3	3002956;3003724	glycopeptide antibiotic	antibiotic target alteration	vanW; glycopeptide resistance gene cluster,vanY; glycopeptide resistance gene cluster
cpsnj01	cpsnj01_SemiBin_52	4900096	81	68750	23	54.73	4.6	Medium quality	T	T	1	1	1	27	16		F	2815_0	NA	NA	NA	NA
cpsnj01	cpsnj01_SemiBin_54	2767954	14	236489	5	50.86	1.1	Medium quality	F	T	0	0	0	18	10	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingomicrobium;s__	F	2332_1	3000777	fluoroquinolone antibiotic; tetracycline antibiotic	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump
cpsnj01	cpsnj01_SemiBin_56	2096885	7	317218	3	56.55	0.1	Medium quality	F	T	0	0	0	14	11	d__Bacteria;p__Gemmatimonadota;c__Gemmatimonadetes;o__Gemmatimonadales;f__Gemmatimonadaceae;g__AG11;s__	F	68_1	NA	NA	NA	NA
cpsnj01	cpsnj01_SemiBin_57	2571540	15	284710	4	63.11	1.59	Medium quality	F	T	2	2	1	45	19		F	2369_1	3000777;3002961;3002972	fluoroquinolone antibiotic; tetracycline antibiotic,glycopeptide antibiotic	antibiotic target alteration,antibiotic efflux	vanY; glycopeptide resistance gene cluster,glycopeptide resistance gene cluster; vanT,resistance-nodulation-cell division (RND) antibiotic efflux pump
cpsnj01	cpsnj01_SemiBin_59	4031717	14	404597	4	50.41	2.8	Medium quality	T	T	1	1	1	25	17	d__Bacteria;p__Acidobacteriota;c__Thermoanaerobaculia;o__Gp7-AA8;f__Gp7-AA8;g__QHVT01;s__	F	1237_1	3002972	glycopeptide antibiotic	antibiotic target alteration	glycopeptide resistance gene cluster; vanT
cpsnj01	cpsnj01_SemiBin_5	5603811	12	545964	3	98.2	1.23	High quality	F	T	1	1	1	82	20	d__Bacteria;p__Gemmatimonadota;c__Gemmatimonadetes;o__Gemmatimonadales;f__Gemmatimonadaceae;g__UBA4720;s__	T	393_2	3000777;3002972	fluoroquinolone antibiotic; tetracycline antibiotic,glycopeptide antibiotic	antibiotic target alteration,antibiotic efflux	glycopeptide resistance gene cluster; vanT,resistance-nodulation-cell division (RND) antibiotic efflux pump
cpsnj01	cpsnj01_SemiBin_61	2605439	11	261022	4	51.34	0.2	Medium quality	T	T	0	0	0	19	13	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae;g__JJ008;s__	F	960_1	3000777	fluoroquinolone antibiotic; tetracycline antibiotic	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump
cpsnj01	cpsnj01_SemiBin_62	3770907	23	246045	5	71.83	7.09	Medium quality	T	T	2	2	2	97	20		F	2692_2	3003724	glycopeptide antibiotic	antibiotic target alteration	vanW; glycopeptide resistance gene cluster
cpsnj01	cpsnj01_SemiBin_63	1768575	20	135387	6	63.58	3.05	Medium quality	F	T	1	0	0	35	17	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Aestuariivirgaceae;g__Nordella;s__	F	2437_1	NA	NA	NA	NA
cpsnj01	cpsnj01_SemiBin_64	3716911	15	240215	5	75.44	1.51	Medium quality	T	T	1	1	1	50	19	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Aestuariivirgaceae;g__CABJBCQ01;s__	F	354_0	3002972	glycopeptide antibiotic	antibiotic target alteration	glycopeptide resistance gene cluster; vanT
cpsnj01	cpsnj01_SemiBin_65	3882365	14	295489	5	62.82	0.33	Medium quality	T	T	1	1	1	38	16		F	1095_1	NA	NA	NA	NA
cpsnj01	cpsnj01_SemiBin_66	4954569	56	130202	13	53.89	4.04	Medium quality	T	T	1	1	1	38	16	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Casimicrobiaceae;g__PALSA-1005;s__	F	1417_2	3000777	fluoroquinolone antibiotic; tetracycline antibiotic	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump
cpsnj01	cpsnj01_SemiBin_6	5833355	21	946944	3	98.88	6.63	Medium quality	T	T	1	1	1	51	20		F	115_1	3002972	glycopeptide antibiotic	antibiotic target alteration	glycopeptide resistance gene cluster; vanT
cpsnj01	cpsnj01_SemiBin_71	4625947	17	528352	4	66.92	2.26	Medium quality	T	T	1	1	1	30	17	d__Bacteria;p__Acidobacteriota;c__Blastocatellia;o__Pyrinomonadales;f__Pyrinomonadaceae;g__PSRF01;s__	F	1883_1	3002972	glycopeptide antibiotic	antibiotic target alteration	glycopeptide resistance gene cluster; vanT
cpsnj01	cpsnj01_SemiBin_73	9019885	147	92568	28	71.83	8.77	Medium quality	T	T	0	0	0	79	19		F	1496_0	3000777;3003724;3002972	fluoroquinolone antibiotic; tetracycline antibiotic,glycopeptide antibiotic	antibiotic target alteration,antibiotic efflux	vanW; glycopeptide resistance gene cluster,glycopeptide resistance gene cluster; vanT,resistance-nodulation-cell division (RND) antibiotic efflux pump
cpsnj01	cpsnj01_SemiBin_77	3143215	9	527866	3	69.87	1.28	Medium quality	T	T	0	0	0	32	18		F	355_0	3002972	glycopeptide antibiotic	antibiotic target alteration	glycopeptide resistance gene cluster; vanT
cpsnj01	cpsnj01_SemiBin_7	2738979	4	658379	2	85.69	0.03	Medium quality	T	T	1	1	1	43	20	d__Bacteria;p__Acidobacteriota;c__Thermoanaerobaculia;o__Gp7-AA8;f__Gp7-AA8;g__QHVT01;s__	F	2709_1	3002958	glycopeptide antibiotic	antibiotic target alteration	vanY; glycopeptide resistance gene cluster
cpsnj01	cpsnj01_SemiBin_82	2658791	33	97391	11	57.29	1.44	Medium quality	F	T	1	1	0	17	11		F	132_3	NA	NA	NA	NA
cpsnj01	cpsnj01_SemiBin_83	2501610	12	327819	4	70.71	4.31	Medium quality	T	T	1	1	1	65	19		F	2693_1	3002891;3003724;3002956	glycopeptide antibiotic,tetracycline antibiotic	antibiotic target alteration,antibiotic target protection	vanY; glycopeptide resistance gene cluster,vanW; glycopeptide resistance gene cluster,tetracycline-resistant ribosomal protection protein
cpsnj01	cpsnj01_SemiBin_85	4432315	35	178978	10	62.04	5.1	Medium quality	T	T	2	2	1	37	15		F	636_5	3000777	fluoroquinolone antibiotic; tetracycline antibiotic	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump
cpsnj01	cpsnj01_SemiBin_87	2988202	28	166130	7	52.41	1.52	Medium quality	T	T	0	0	0	36	18		F	353_1	3002972	glycopeptide antibiotic	antibiotic target alteration	glycopeptide resistance gene cluster; vanT
cpsnj01	cpsnj01_SemiBin_8	3289086	12	458144	4	92.72	0.53	High quality	T	T	1	1	1	47	19	d__Bacteria;p__Acidobacteriota;c__Vicinamibacteria;o__Vicinamibacterales;f__UBA2999;g__;s__	T	979_1	3000777	fluoroquinolone antibiotic; tetracycline antibiotic	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump
cpsnj01	cpsnj01_SemiBin_90	4935651	31	182996	10	60.92	2.33	Medium quality	T	T	0	0	0	27	16		F	1234_0	3000777	fluoroquinolone antibiotic; tetracycline antibiotic	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump
cpsnj01	cpsnj01_SemiBin_92	2831967	16	252749	4	71.62	3.02	Medium quality	F	T	0	0	0	22	14		F	396_1	3002956;3000777	fluoroquinolone antibiotic; tetracycline antibiotic,glycopeptide antibiotic	antibiotic target alteration,antibiotic efflux	vanY; glycopeptide resistance gene cluster,resistance-nodulation-cell division (RND) antibiotic efflux pump
cpsnj01	cpsnj01_SemiBin_95	4429603	35	158880	11	63.7	4.4	Medium quality	T	T	1	1	1	24	14		F	47_3	3002972	glycopeptide antibiotic	antibiotic target alteration	glycopeptide resistance gene cluster; vanT
cpsnj01	cpsnj01_SemiBin_9	3382758	14	342541	4	88.07	6.23	Medium quality	F	T	2	2	2	51	20	d__Bacteria;p__Actinomycetota;c__UBA4738;o__UBA4738;f__HRBIN12;g__JAJNBA01;s__	F	2583_1	3000777	fluoroquinolone antibiotic; tetracycline antibiotic	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump
cpsnj02	cpsnj02_SemiBin_0	2208526	4	1412566	1	99.19	0.02	High quality	T	T	1	1	1	45	20	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingomicrobium;s__	T	2448_1	NA	NA	NA	NA
cpsnj02	cpsnj02_SemiBin_102	2665130	27	126168	7	56.22	2.73	Medium quality	T	T	1	1	0	39	18	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingobium;s__	F	2390_0	3002948	glycopeptide antibiotic	antibiotic target alteration	vanH; glycopeptide resistance gene cluster
cpsnj02	cpsnj02_SemiBin_104	2289398	7	611136	2	63.07	3.43	Medium quality	F	T	0	0	0	29	16	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae_A;g__JACCZX01;s__	F	2154_1	NA	NA	NA	NA
