Record	GBK	Record_Type	Record_Number	CC	Family
sample10_SemiBin_64.fa.gz_k141_3548683.region001.gbk_region_1	sample10_SemiBin_64.fa.gz_k141_3548683.region001	region	1	1	FAM_00004
sample15_SemiBin_9.fa.gz_k141_3204830.region001.gbk_region_1	sample15_SemiBin_9.fa.gz_k141_3204830.region001	region	1	1	FAM_00005
sample22_SemiBin_7.fa.gz_k141_5946538.region001.gbk_region_1	sample22_SemiBin_7.fa.gz_k141_5946538.region001	region	1	1	FAM_00005
sample1_SemiBin_110.fa.gz_k141_2538299.region001.gbk_region_1	sample1_SemiBin_110.fa.gz_k141_2538299.region001	region	1	1	FAM_00005
sample7_SemiBin_38.fa.gz_k141_1435644.region001.gbk_region_1	sample7_SemiBin_38.fa.gz_k141_1435644.region001	region	1	1	FAM_00005
cpsnj10_SemiBin_32.fa.gz_k141_3378457.region001.gbk_region_1	cpsnj10_SemiBin_32.fa.gz_k141_3378457.region001	region	1	1	FAM_00005
sample5_SemiBin_88.fa.gz_k141_1555354.region001.gbk_region_1	sample5_SemiBin_88.fa.gz_k141_1555354.region001	region	1	1	FAM_00006
sample7_SemiBin_37.fa.gz_k141_405152.region001.gbk_region_1	sample7_SemiBin_37.fa.gz_k141_405152.region001	region	1	1	FAM_00006
sample7_SemiBin_37.fa.gz_k141_4689885.region001.gbk_region_1	sample7_SemiBin_37.fa.gz_k141_4689885.region001	region	1	1	FAM_00006
sample9_SemiBin_20.fa.gz_k141_2537039.region001.gbk_region_1	sample9_SemiBin_20.fa.gz_k141_2537039.region001	region	1	1	FAM_00006
snj20_SemiBin_22.fa.gz_k141_786850.region001.gbk_region_1	snj20_SemiBin_22.fa.gz_k141_786850.region001	region	1	5	FAM_00007
sample7_SemiBin_29.fa.gz_k141_4058672.region001.gbk_region_1	sample7_SemiBin_29.fa.gz_k141_4058672.region001	region	1	5	FAM_00007
sample29_SemiBin_47.fa.gz_k141_3505506.region001.gbk_region_1	sample29_SemiBin_47.fa.gz_k141_3505506.region001	region	1	5	FAM_00007
snj20_SemiBin_22.fa.gz_k141_1952308.region001.gbk_region_1	snj20_SemiBin_22.fa.gz_k141_1952308.region001	region	1	5	FAM_00008
cpsnj01_SemiBin_25.fa.gz_k141_3063699.region001.gbk_region_1	cpsnj01_SemiBin_25.fa.gz_k141_3063699.region001	region	1	5	FAM_00008
snj10_SemiBin_31.fa.gz_k141_1515859.region001.gbk_region_1	snj10_SemiBin_31.fa.gz_k141_1515859.region001	region	1	5	FAM_00008
snj20_SemiBin_40.fa.gz_k141_1042970.region001.gbk_region_1	snj20_SemiBin_40.fa.gz_k141_1042970.region001	region	1	5	FAM_00008
snj01_SemiBin_39.fa.gz_k141_164556.region001.gbk_region_1	snj01_SemiBin_39.fa.gz_k141_164556.region001	region	1	5	FAM_00008
snj19_SemiBin_13.fa.gz_k141_738879.region001.gbk_region_1	snj19_SemiBin_13.fa.gz_k141_738879.region001	region	1	5	FAM_00008
snj09_SemiBin_112.fa.gz_k141_2182819.region001.gbk_region_1	snj09_SemiBin_112.fa.gz_k141_2182819.region001	region	1	5	FAM_00008
cpsnj19_SemiBin_13.fa.gz_k141_76611.region001.gbk_region_1	cpsnj19_SemiBin_13.fa.gz_k141_76611.region001	region	1	5	FAM_00008
sample19_SemiBin_66.fa.gz_k141_1759691.region001.gbk_region_1	sample19_SemiBin_66.fa.gz_k141_1759691.region001	region	1	5	FAM_00009
sample16_SemiBin_65.fa.gz_k141_1982234.region001.gbk_region_1	sample16_SemiBin_65.fa.gz_k141_1982234.region001	region	1	5	FAM_00009
sample8_SemiBin_40.fa.gz_k141_829619.region001.gbk_region_1	sample8_SemiBin_40.fa.gz_k141_829619.region001	region	1	5	FAM_00009
sample17_SemiBin_54.fa.gz_k141_1852968.region001.gbk_region_1	sample17_SemiBin_54.fa.gz_k141_1852968.region001	region	1	5	FAM_00009
sample13_SemiBin_64.fa.gz_k141_2295260.region001.gbk_region_1	sample13_SemiBin_64.fa.gz_k141_2295260.region001	region	1	5	FAM_00009
cpsnj03_SemiBin_131.fa.gz_k141_3078158.region001.gbk_region_1	cpsnj03_SemiBin_131.fa.gz_k141_3078158.region001	region	1	5	FAM_00009
sample20_SemiBin_91.fa.gz_k141_3828233.region001.gbk_region_1	sample20_SemiBin_91.fa.gz_k141_3828233.region001	region	1	5	FAM_00009
sample22_SemiBin_47.fa.gz_k141_996592.region001.gbk_region_1	sample22_SemiBin_47.fa.gz_k141_996592.region001	region	1	5	FAM_00009
cpsnj08_SemiBin_10.fa.gz_k141_708388.region001.gbk_region_1	cpsnj08_SemiBin_10.fa.gz_k141_708388.region001	region	1	5	FAM_00009
sample19_SemiBin_128.fa.gz_k141_5110513.region001.gbk_region_1	sample19_SemiBin_128.fa.gz_k141_5110513.region001	region	1	5	FAM_00009
snj03_SemiBin_60.fa.gz_k141_1387504.region001.gbk_region_1	snj03_SemiBin_60.fa.gz_k141_1387504.region001	region	1	5	FAM_00009
sample22_SemiBin_120.fa.gz_k141_4018375.region001.gbk_region_1	sample22_SemiBin_120.fa.gz_k141_4018375.region001	region	1	5	FAM_00009
sample11_SemiBin_50.fa.gz_k141_4376485.region001.gbk_region_1	sample11_SemiBin_50.fa.gz_k141_4376485.region001	region	1	5	FAM_00009
sample27_SemiBin_44.fa.gz_k141_5133541.region001.gbk_region_1	sample27_SemiBin_44.fa.gz_k141_5133541.region001	region	1	5	FAM_00009
cpsnj04_SemiBin_10.fa.gz_k141_708388.region001.gbk_region_1	cpsnj04_SemiBin_10.fa.gz_k141_708388.region001	region	1	5	FAM_00009
sample1_SemiBin_95.fa.gz_k141_835004.region001.gbk_region_1	sample1_SemiBin_95.fa.gz_k141_835004.region001	region	1	5	FAM_00009
sample24_SemiBin_14.fa.gz_k141_1334413.region001.gbk_region_1	sample24_SemiBin_14.fa.gz_k141_1334413.region001	region	1	5	FAM_00009
cpsnj19_SemiBin_44.fa.gz_k141_661290.region001.gbk_region_1	cpsnj19_SemiBin_44.fa.gz_k141_661290.region001	region	1	5	FAM_00009
cpsnj03_SemiBin_60.fa.gz_k141_1592493.region001.gbk_region_1	cpsnj03_SemiBin_60.fa.gz_k141_1592493.region001	region	1	5	FAM_00009
sample3_SemiBin_72.fa.gz_k141_33241.region001.gbk_region_1	sample3_SemiBin_72.fa.gz_k141_33241.region001	region	1	5	FAM_00010
sample24_SemiBin_14.fa.gz_k141_3233709.region001.gbk_region_1	sample24_SemiBin_14.fa.gz_k141_3233709.region001	region	1	5	FAM_00010
sample29_SemiBin_37.fa.gz_k141_3591436.region001.gbk_region_1	sample29_SemiBin_37.fa.gz_k141_3591436.region001	region	1	5	FAM_00010
sample18_SemiBin_11.fa.gz_k141_4579320.region001.gbk_region_1	sample18_SemiBin_11.fa.gz_k141_4579320.region001	region	1	5	FAM_00010
sample13_SemiBin_31.fa.gz_k141_3087267.region001.gbk_region_1	sample13_SemiBin_31.fa.gz_k141_3087267.region001	region	1	5	FAM_00010
sample20_SemiBin_91.fa.gz_k141_259653.region001.gbk_region_1	sample20_SemiBin_91.fa.gz_k141_259653.region001	region	1	5	FAM_00010
sample7_SemiBin_6.fa.gz_k141_1391893.region001.gbk_region_1	sample7_SemiBin_6.fa.gz_k141_1391893.region001	region	1	5	FAM_00010
sample6_SemiBin_30.fa.gz_k141_4882945.region001.gbk_region_1	sample6_SemiBin_30.fa.gz_k141_4882945.region001	region	1	5	FAM_00010
sample21_SemiBin_83.fa.gz_k141_3819389.region001.gbk_region_1	sample21_SemiBin_83.fa.gz_k141_3819389.region001	region	1	5	FAM_00010
sample8_SemiBin_40.fa.gz_k141_1683740.region001.gbk_region_1	sample8_SemiBin_40.fa.gz_k141_1683740.region001	region	1	5	FAM_00010
sample4_SemiBin_21.fa.gz_k141_2097460.region001.gbk_region_1	sample4_SemiBin_21.fa.gz_k141_2097460.region001	region	1	5	FAM_00010
sample12_SemiBin_12.fa.gz_k141_1762779.region001.gbk_region_1	sample12_SemiBin_12.fa.gz_k141_1762779.region001	region	1	5	FAM_00010
sample10_SemiBin_43.fa.gz_k141_5712812.region001.gbk_region_1	sample10_SemiBin_43.fa.gz_k141_5712812.region001	region	1	5	FAM_00010
sample29_SemiBin_54.fa.gz_k141_3629867.region001.gbk_region_1	sample29_SemiBin_54.fa.gz_k141_3629867.region001	region	1	5	FAM_00011
sample7_SemiBin_35.fa.gz_k141_1573713.region001.gbk_region_1	sample7_SemiBin_35.fa.gz_k141_1573713.region001	region	1	5	FAM_00011
sample6_SemiBin_96.fa.gz_k141_1031631.region001.gbk_region_1	sample6_SemiBin_96.fa.gz_k141_1031631.region001	region	1	5	FAM_00011
sample24_SemiBin_76.fa.gz_k141_3525646.region001.gbk_region_1	sample24_SemiBin_76.fa.gz_k141_3525646.region001	region	1	5	FAM_00011
sample9_SemiBin_14.fa.gz_k141_336191.region001.gbk_region_1	sample9_SemiBin_14.fa.gz_k141_336191.region001	region	1	5	FAM_00011
sample9_SemiBin_14.fa.gz_k141_1611214.region001.gbk_region_1	sample9_SemiBin_14.fa.gz_k141_1611214.region001	region	1	5	FAM_00011
cpsnj16_SemiBin_60.fa.gz_k141_1196425.region001.gbk_region_1	cpsnj16_SemiBin_60.fa.gz_k141_1196425.region001	region	1	5	FAM_00011
cpsnj01_SemiBin_76.fa.gz_k141_3228147.region001.gbk_region_1	cpsnj01_SemiBin_76.fa.gz_k141_3228147.region001	region	1	5	FAM_00011
sample16_SemiBin_11.fa.gz_k141_2452906.region001.gbk_region_1	sample16_SemiBin_11.fa.gz_k141_2452906.region001	region	1	5	FAM_00011
sample20_SemiBin_35.fa.gz_k141_3607685.region001.gbk_region_1	sample20_SemiBin_35.fa.gz_k141_3607685.region001	region	1	5	FAM_00011
snj08_SemiBin_35.fa.gz_k141_2919078.region001.gbk_region_1	snj08_SemiBin_35.fa.gz_k141_2919078.region001	region	1	5	FAM_00011
snj13_SemiBin_36.fa.gz_k141_1979455.region001.gbk_region_1	snj13_SemiBin_36.fa.gz_k141_1979455.region001	region	1	5	FAM_00011
sample27_SemiBin_15.fa.gz_k141_5383841.region001.gbk_region_1	sample27_SemiBin_15.fa.gz_k141_5383841.region001	region	1	5	FAM_00011
sample5_SemiBin_1.fa.gz_k141_2666863.region001.gbk_region_1	sample5_SemiBin_1.fa.gz_k141_2666863.region001	region	1	5	FAM_00011
cpsnj19_SemiBin_34.fa.gz_k141_1663535.region001.gbk_region_1	cpsnj19_SemiBin_34.fa.gz_k141_1663535.region001	region	1	5	FAM_00011
cpsnj04_SemiBin_10.fa.gz_k141_2191268.region001.gbk_region_1	cpsnj04_SemiBin_10.fa.gz_k141_2191268.region001	region	1	5	FAM_00011
cpsnj01_SemiBin_76.fa.gz_k141_1944242.region001.gbk_region_1	cpsnj01_SemiBin_76.fa.gz_k141_1944242.region001	region	1	5	FAM_00011
sample15_SemiBin_141.fa.gz_k141_4950610.region001.gbk_region_1	sample15_SemiBin_141.fa.gz_k141_4950610.region001	region	1	5	FAM_00011
sample21_SemiBin_55.fa.gz_k141_1340949.region001.gbk_region_1	sample21_SemiBin_55.fa.gz_k141_1340949.region001	region	1	5	FAM_00011
sample30_SemiBin_35.fa.gz_k141_1484058.region001.gbk_region_1	sample30_SemiBin_35.fa.gz_k141_1484058.region001	region	1	5	FAM_00011
cpsnj03_SemiBin_24.fa.gz_k141_1651541.region001.gbk_region_1	cpsnj03_SemiBin_24.fa.gz_k141_1651541.region001	region	1	5	FAM_00011
snj19_SemiBin_49.fa.gz_k141_736205.region001.gbk_region_1	snj19_SemiBin_49.fa.gz_k141_736205.region001	region	1	5	FAM_00011
cpsnj08_SemiBin_10.fa.gz_k141_2191268.region001.gbk_region_1	cpsnj08_SemiBin_10.fa.gz_k141_2191268.region001	region	1	5	FAM_00011
snj16_SemiBin_41.fa.gz_k141_1218778.region001.gbk_region_1	snj16_SemiBin_41.fa.gz_k141_1218778.region001	region	1	5	FAM_00011
sample22_SemiBin_2.fa.gz_k141_542267.region001.gbk_region_1	sample22_SemiBin_2.fa.gz_k141_542267.region001	region	1	5	FAM_00011
snj03_SemiBin_8.fa.gz_k141_2920952.region001.gbk_region_1	snj03_SemiBin_8.fa.gz_k141_2920952.region001	region	1	5	FAM_00011
sample13_SemiBin_192.fa.gz_k141_429373.region001.gbk_region_1	sample13_SemiBin_192.fa.gz_k141_429373.region001	region	1	5	FAM_00012
sample5_SemiBin_24.fa.gz_k141_1041963.region001.gbk_region_1	sample5_SemiBin_24.fa.gz_k141_1041963.region001	region	1	5	FAM_00012
sample13_SemiBin_13.fa.gz_k141_3083221.region001.gbk_region_1	sample13_SemiBin_13.fa.gz_k141_3083221.region001	region	1	5	FAM_00012
sample19_SemiBin_4.fa.gz_k141_5134126.region001.gbk_region_1	sample19_SemiBin_4.fa.gz_k141_5134126.region001	region	1	5	FAM_00012
sample1_SemiBin_22.fa.gz_k141_1142435.region001.gbk_region_1	sample1_SemiBin_22.fa.gz_k141_1142435.region001	region	1	5	FAM_00012
sample15_SemiBin_20.fa.gz_k141_2929540.region001.gbk_region_1	sample15_SemiBin_20.fa.gz_k141_2929540.region001	region	1	5	FAM_00012
sample12_SemiBin_3.fa.gz_k141_2383514.region001.gbk_region_1	sample12_SemiBin_3.fa.gz_k141_2383514.region001	region	1	5	FAM_00012
sample11_SemiBin_14.fa.gz_k141_3946074.region001.gbk_region_1	sample11_SemiBin_14.fa.gz_k141_3946074.region001	region	1	5	FAM_00012
snj13_SemiBin_33.fa.gz_k141_1971944.region001.gbk_region_1	snj13_SemiBin_33.fa.gz_k141_1971944.region001	region	1	5	FAM_00013
sample8_SemiBin_3.fa.gz_k141_1893195.region001.gbk_region_1	sample8_SemiBin_3.fa.gz_k141_1893195.region001	region	1	5	FAM_00013
sample4_SemiBin_1.fa.gz_k141_872571.region001.gbk_region_1	sample4_SemiBin_1.fa.gz_k141_872571.region001	region	1	5	FAM_00013
sample1_SemiBin_52.fa.gz_k141_656517.region001.gbk_region_1	sample1_SemiBin_52.fa.gz_k141_656517.region001	region	1	5	FAM_00013
snj16_SemiBin_65.fa.gz_k141_2586713.region001.gbk_region_1	snj16_SemiBin_65.fa.gz_k141_2586713.region001	region	1	5	FAM_00013
sample22_SemiBin_106.fa.gz_k141_5563794.region001.gbk_region_1	sample22_SemiBin_106.fa.gz_k141_5563794.region001	region	1	5	FAM_00013
cpsnj16_SemiBin_17.fa.gz_k141_2447609.region001.gbk_region_1	cpsnj16_SemiBin_17.fa.gz_k141_2447609.region001	region	1	5	FAM_00013
snj08_SemiBin_31.fa.gz_k141_137260.region001.gbk_region_1	snj08_SemiBin_31.fa.gz_k141_137260.region001	region	1	5	FAM_00013
cpsnj11_SemiBin_38.fa.gz_k141_1383869.region001.gbk_region_1	cpsnj11_SemiBin_38.fa.gz_k141_1383869.region001	region	1	5	FAM_00013
snj03_SemiBin_107.fa.gz_k141_898753.region001.gbk_region_1	snj03_SemiBin_107.fa.gz_k141_898753.region001	region	1	5	FAM_00013
sample26_SemiBin_47.fa.gz_k141_2373746.region001.gbk_region_1	sample26_SemiBin_47.fa.gz_k141_2373746.region001	region	1	5	FAM_00013
sample15_SemiBin_82.fa.gz_k141_5594846.region001.gbk_region_1	sample15_SemiBin_82.fa.gz_k141_5594846.region001	region	1	5	FAM_00013
cpsnj03_SemiBin_77.fa.gz_k141_1343486.region001.gbk_region_1	cpsnj03_SemiBin_77.fa.gz_k141_1343486.region001	region	1	5	FAM_00013
snj11_SemiBin_32.fa.gz_k141_567104.region001.gbk_region_1	snj11_SemiBin_32.fa.gz_k141_567104.region001	region	1	5	FAM_00013
sample15_SemiBin_149.fa.gz_k141_4996534.region001.gbk_region_1	sample15_SemiBin_149.fa.gz_k141_4996534.region001	region	1	5	FAM_00013
snj15_SemiBin_13.fa.gz_k141_393644.region001.gbk_region_1	snj15_SemiBin_13.fa.gz_k141_393644.region001	region	1	5	FAM_00013
snj14_SemiBin_49.fa.gz_k141_1606644.region001.gbk_region_1	snj14_SemiBin_49.fa.gz_k141_1606644.region001	region	1	5	FAM_00014
cpsnj09_SemiBin_47.fa.gz_k141_2303696.region001.gbk_region_1	cpsnj09_SemiBin_47.fa.gz_k141_2303696.region001	region	1	5	FAM_00014
cpsnj10_SemiBin_184.fa.gz_k141_3900377.region001.gbk_region_1	cpsnj10_SemiBin_184.fa.gz_k141_3900377.region001	region	1	5	FAM_00014
snj01_SemiBin_26.fa.gz_k141_165291.region001.gbk_region_1	snj01_SemiBin_26.fa.gz_k141_165291.region001	region	1	5	FAM_00014
sample15_SemiBin_20.fa.gz_k141_3209998.region001.gbk_region_1	sample15_SemiBin_20.fa.gz_k141_3209998.region001	region	1	5	FAM_00014
cpsnj14_SemiBin_116.fa.gz_k141_2304113.region001.gbk_region_1	cpsnj14_SemiBin_116.fa.gz_k141_2304113.region001	region	1	5	FAM_00014
sample15_SemiBin_116.fa.gz_k141_1934941.region001.gbk_region_1	sample15_SemiBin_116.fa.gz_k141_1934941.region001	region	1	5	FAM_00015
cpsnj10_SemiBin_67.fa.gz_k141_2248432.region001.gbk_region_1	cpsnj10_SemiBin_67.fa.gz_k141_2248432.region001	region	1	5	FAM_00015
snj08_SemiBin_91.fa.gz_k141_1135640.region001.gbk_region_1	snj08_SemiBin_91.fa.gz_k141_1135640.region001	region	1	5	FAM_00015
sample2_SemiBin_4.fa.gz_k141_2287802.region001.gbk_region_1	sample2_SemiBin_4.fa.gz_k141_2287802.region001	region	1	5	FAM_00015
sample7_SemiBin_41.fa.gz_k141_4146937.region001.gbk_region_1	sample7_SemiBin_41.fa.gz_k141_4146937.region001	region	1	5	FAM_00015
cpsnj11_SemiBin_89.fa.gz_k141_2388130.region001.gbk_region_1	cpsnj11_SemiBin_89.fa.gz_k141_2388130.region001	region	1	5	FAM_00015
cpsnj13_SemiBin_53.fa.gz_k141_2138764.region001.gbk_region_1	cpsnj13_SemiBin_53.fa.gz_k141_2138764.region001	region	1	5	FAM_00016
snj20_SemiBin_22.fa.gz_k141_973390.region001.gbk_region_1	snj20_SemiBin_22.fa.gz_k141_973390.region001	region	1	5	FAM_00016
sample6_SemiBin_6.fa.gz_k141_382177.region001.gbk_region_1	sample6_SemiBin_6.fa.gz_k141_382177.region001	region	1	5	FAM_00016
sample27_SemiBin_64.fa.gz_k141_207110.region001.gbk_region_1	sample27_SemiBin_64.fa.gz_k141_207110.region001	region	1	5	FAM_00016
sample8_SemiBin_54.fa.gz_k141_2403346.region001.gbk_region_1	sample8_SemiBin_54.fa.gz_k141_2403346.region001	region	1	5	FAM_00016
snj14_SemiBin_3.fa.gz_k141_679392.region001.gbk_region_1	snj14_SemiBin_3.fa.gz_k141_679392.region001	region	1	5	FAM_00016
sample29_SemiBin_47.fa.gz_k141_3888643.region001.gbk_region_1	sample29_SemiBin_47.fa.gz_k141_3888643.region001	region	1	5	FAM_00016
cpsnj01_SemiBin_28.fa.gz_k141_102836.region001.gbk_region_1	cpsnj01_SemiBin_28.fa.gz_k141_102836.region001	region	1	5	FAM_00017
cpsnj13_SemiBin_20.fa.gz_k141_8060.region001.gbk_region_1	cpsnj13_SemiBin_20.fa.gz_k141_8060.region001	region	1	5	FAM_00017
snj09_SemiBin_112.fa.gz_k141_279648.region001.gbk_region_1	snj09_SemiBin_112.fa.gz_k141_279648.region001	region	1	5	FAM_00017
sample10_SemiBin_24.fa.gz_k141_2519984.region001.gbk_region_1	sample10_SemiBin_24.fa.gz_k141_2519984.region001	region	1	5	FAM_00017
sample21_SemiBin_41.fa.gz_k141_4491092.region001.gbk_region_1	sample21_SemiBin_41.fa.gz_k141_4491092.region001	region	1	5	FAM_00017
sample13_SemiBin_37.fa.gz_k141_3613521.region001.gbk_region_1	sample13_SemiBin_37.fa.gz_k141_3613521.region001	region	1	5	FAM_00017
sample3_SemiBin_20.fa.gz_k141_2636782.region001.gbk_region_1	sample3_SemiBin_20.fa.gz_k141_2636782.region001	region	1	5	FAM_00017
sample4_SemiBin_82.fa.gz_k141_2706364.region001.gbk_region_1	sample4_SemiBin_82.fa.gz_k141_2706364.region001	region	1	5	FAM_00017
cpsnj08_SemiBin_25.fa.gz_k141_1924110.region001.gbk_region_1	cpsnj08_SemiBin_25.fa.gz_k141_1924110.region001	region	1	5	FAM_00018
cpsnj04_SemiBin_25.fa.gz_k141_1924110.region001.gbk_region_1	cpsnj04_SemiBin_25.fa.gz_k141_1924110.region001	region	1	5	FAM_00018
cpsnj19_SemiBin_45.fa.gz_k141_1847817.region001.gbk_region_1	cpsnj19_SemiBin_45.fa.gz_k141_1847817.region001	region	1	5	FAM_00018
cpsnj03_SemiBin_59.fa.gz_k141_2842241.region001.gbk_region_1	cpsnj03_SemiBin_59.fa.gz_k141_2842241.region001	region	1	5	FAM_00018
snj03_SemiBin_40.fa.gz_k141_2338463.region001.gbk_region_1	snj03_SemiBin_40.fa.gz_k141_2338463.region001	region	1	5	FAM_00018
sample18_SemiBin_46.fa.gz_k141_1506036.region001.gbk_region_1	sample18_SemiBin_46.fa.gz_k141_1506036.region001	region	1	5	FAM_00018
sample19_SemiBin_2.fa.gz_k141_140540.region001.gbk_region_1	sample19_SemiBin_2.fa.gz_k141_140540.region001	region	1	5	FAM_00018
sample9_SemiBin_7.fa.gz_k141_3551109.region001.gbk_region_1	sample9_SemiBin_7.fa.gz_k141_3551109.region001	region	1	5	FAM_00019
sample17_SemiBin_52.fa.gz_k141_2957785.region001.gbk_region_1	sample17_SemiBin_52.fa.gz_k141_2957785.region001	region	1	5	FAM_00019
sample13_SemiBin_68.fa.gz_k141_3465150.region001.gbk_region_1	sample13_SemiBin_68.fa.gz_k141_3465150.region001	region	1	5	FAM_00019
sample13_SemiBin_192.fa.gz_k141_198520.region001.gbk_region_1	sample13_SemiBin_192.fa.gz_k141_198520.region001	region	1	5	FAM_00019
sample10_SemiBin_55.fa.gz_k141_3814364.region001.gbk_region_1	sample10_SemiBin_55.fa.gz_k141_3814364.region001	region	1	5	FAM_00019
cpsnj14_SemiBin_156.fa.gz_k141_1166738.region001.gbk_region_1	cpsnj14_SemiBin_156.fa.gz_k141_1166738.region001	region	1	5	FAM_00019
sample10_SemiBin_67.fa.gz_k141_3586051.region001.gbk_region_1	sample10_SemiBin_67.fa.gz_k141_3586051.region001	region	1	5	FAM_00020
cpsnj20_SemiBin_95.fa.gz_k141_891001.region001.gbk_region_1	cpsnj20_SemiBin_95.fa.gz_k141_891001.region001	region	1	5	FAM_00020
sample21_SemiBin_82.fa.gz_k141_3347506.region001.gbk_region_1	sample21_SemiBin_82.fa.gz_k141_3347506.region001	region	1	5	FAM_00020
sample13_SemiBin_105.fa.gz_k141_3549381.region001.gbk_region_1	sample13_SemiBin_105.fa.gz_k141_3549381.region001	region	1	5	FAM_00020
