,simpson,chao1,shannon,Site,Ecosystem
SRR25158418,0.997487146904396,3173.2015243175674,7.494617968097413,SMAG,Agricultural Land
SRR25158374,0.9978894725729465,2300.9883306639813,7.5636384757690385,SMAG,Agricultural Land
SRR25158187,0.994849311173077,1788.10903317692,6.983316277269657,SMAG,Agricultural Land
SRR25158239,0.9963677839556357,2911.2434517530914,7.160800456108286,SMAG,Forest
SRR25158342,0.9983178153830234,2005.8848592138463,7.861733527719466,SMAG,Wetland
SRR25158219,0.9980048111607619,3326.8754924414116,7.740445306988403,SMAG,Agricultural Land
SRR25158297,0.9941486504724031,1867.0339664038568,6.60660186640012,SMAG,Forest
SRR25158223,0.9978716174006952,3627.6945127959584,7.729346289142347,SMAG,Agricultural Land
SRR25158255,0.9974298414305387,2450.969459488722,7.305981008015014,SMAG,Agricultural Land
SRR25158263,0.9943581234514298,1440.0023008665112,6.988277851369756,SMAG,Agricultural Land
SRR25158493,0.9985554483045791,3793.645599745954,7.992108205411603,SMAG,Wetland
SRR25158366,0.9980901433816927,3333.0097744579043,7.783432390012772,SMAG,Agricultural Land
SRR25158207,0.9984005131061694,3627.5684666670545,7.92525087880726,SMAG,Agricultural Land
SRR25158356,0.9975904180535803,2909.3311547037633,7.580591998772257,SMAG,Agricultural Land
SRR25158237,0.998389231160311,3499.583567690661,7.91025411623287,SMAG,Agricultural Land
SRR25158367,0.9972662587885344,3110.0168418286435,7.295053668105959,SMAG,Grassland
SRR25158361,0.9982353419394114,3864.959253282987,7.8416450457453974,SMAG,Agricultural Land
SRR25158273,0.9974011856859085,2771.612594645668,7.398668078202814,SMAG,Agricultural Land
SRR25158194,0.9966588925509463,2042.8371634960388,7.240986583089532,SMAG,Grassland
SRR25158328,0.9984729541866856,2430.8526239812027,8.014402655047848,SMAG,Grassland
SRR25158217,0.9941655544163449,1628.4684368728308,6.825088939435726,SMAG,Agricultural Land
SRR25158199,0.9975392704177721,2491.082869214443,7.50363501147555,SMAG,Agricultural Land
SRR25158525,0.996878193579386,3044.6850594134726,7.422579407937518,SMAG,Forest
SRR25158211,0.9981480771651031,3720.6242386983586,7.840141428425049,SMAG,Agricultural Land
SRR25158506,0.9981944962153562,3215.898206890773,7.781287206440733,SMAG,Wetland
SRR25158281,0.997908604506677,4064.3881268365176,7.711705111225795,SMAG,Agricultural Land
SRR25158301,0.9979413676284081,2738.1662853892694,7.658063283269521,SMAG,Forest
SRR25158414,0.9983339652823238,3146.142027324953,7.8950721529757315,SMAG,Agricultural Land
SRR25158410,0.9956040796282885,2350.1604536888744,7.050534807954344,SMAG,Forest
SRR25158295,0.9983228660534955,2608.1093075253743,7.8327959373998635,SMAG,Agricultural Land
SRR25158197,0.9955290883704269,1726.9086383310569,6.879311718082328,SMAG,Agricultural Land
SRR25158368,0.9960709426472182,2200.632146545837,7.119711840182076,SMAG,Agricultural Land
SRR25158326,0.9986954843023873,3146.794299727047,8.024169423169562,SMAG,Agricultural Land
SRR25158521,0.9981424934151379,2698.548293347109,7.703676801839868,SMAG,Agricultural Land
SRR25158305,0.9976800625795579,1951.533363016143,7.501724263318512,SMAG,Bare Land
SRR25158529,0.9974946443633287,2623.52743351361,7.448571935393583,SMAG,Grassland
SRR25158507,0.998317389820608,2193.4179488622444,7.779641975478979,SMAG,Agricultural Land
SRR25158485,0.9975680170065456,3023.148741652663,7.504523966195757,SMAG,Forest
SRR25158431,0.9980571270035618,2302.6167140972343,7.551096439936055,SMAG,Agricultural Land
SRR25158488,0.99811652155886,3111.252977512126,7.668023060446648,SMAG,Forest
SRR25158267,0.9975991892541736,1743.006080280207,7.624092921644599,SMAG,Bare Land
SRR25158501,0.9984447163601418,2331.077436265547,7.865227720774477,SMAG,Agricultural Land
SRR25158256,0.9967869040501485,2450.742345150789,7.284067685709764,SMAG,Agricultural Land
SRR25158515,0.9973777702926627,2245.0535396524547,7.329518784224485,SMAG,Agricultural Land
SRR25158246,0.9975034073777174,2331.995068902566,7.436552371176601,SMAG,Forest
SRR25158372,0.996150322897609,1457.8064921120979,6.9076417150606195,SMAG,Agricultural Land
SRR25158318,0.998664024050455,2429.5361419181127,7.924963783851301,SMAG,Agricultural Land
SRR25158358,0.9956780067015031,1349.9171314755552,6.883687509024121,SMAG,Wetland
SRR25158357,0.9925589896987886,1249.2533329663825,6.899889604487163,SMAG,Wetland
SRR25158498,0.9960650117269862,2016.9221158142207,7.166867995455145,SMAG,Grassland
SRR25158341,0.9982602804785391,1511.9736360271625,7.681649130130503,SMAG,Wetland
SRR25158350,0.9974705960377619,1842.4367889589835,7.842771124767303,SMAG,Wetland
SRR25158430,0.997198698936554,2437.0631792299278,7.350676672270468,SMAG,Agricultural Land
SRR25158235,0.9981772498286897,3805.653919754255,7.881649022549814,SMAG,Agricultural Land
SRR25158257,0.9966320748465688,2434.24719706605,7.242541376302518,SMAG,Agricultural Land
SRR25158338,0.9983420159862579,2950.5848359263223,7.921251717657743,SMAG,Wetland
SRR25158397,0.9979147122747445,2637.455424914453,7.680579448451541,SMAG,Wetland
SRR25158535,0.9978761052884989,2235.2346346181607,7.770296980715472,SMAG,Wetland
SRR25158340,0.9981659434164725,1705.3711734669025,7.7136896984627334,SMAG,Grassland
SRR25158401,0.9982191121808128,3316.7360040468798,7.955260932687171,SMAG,Forest
SRR25158526,0.9953638476920185,3184.73277335778,7.4867038731720905,SMAG,Wetland
SRR25158428,0.9975333432327571,3423.142660808133,7.49589162056256,SMAG,Forest
SRR25158236,0.9982087394228891,3441.6771044836405,7.810253653950999,SMAG,Agricultural Land
SRR25158222,0.9982473911441568,4107.156480423285,7.833848260188413,SMAG,Agricultural Land
SRR25158375,0.9978681688541714,2926.2338083285877,7.506129892040105,SMAG,Grassland
SRR25158347,0.9957020783435829,1935.0143119556046,7.276180822536483,SMAG,Wetland
SRR25158378,0.9977808923636624,2429.867229135407,7.639761272477051,SMAG,Agricultural Land
SRR25158389,0.9981835255697521,3182.4236220057974,7.801946232217007,SMAG,Agricultural Land
SRR25158531,0.9948895612880368,2588.3677627545167,7.198309090218092,SMAG,Agricultural Land
SRR25158205,0.9956711483643905,1980.4119758879626,6.828688697020823,SMAG,Agricultural Land
SRR25158409,0.9975941999925861,2806.4849358769247,7.4810082357650565,SMAG,Forest
SRR25158210,0.998140200048103,3901.7392135864443,7.878129412028238,SMAG,Agricultural Land
SRR25158398,0.997265473775766,2336.1244200184988,7.307848893220738,SMAG,Agricultural Land
SRR25158289,0.9964791229876933,2058.2520400451126,7.159114704908395,SMAG,Forest
SRR25158298,0.9902850786547546,576.2575553110928,6.084579741078334,SMAG,Forest
SRR25158387,0.9969917411977552,3262.681092088813,7.409233166276003,SMAG,Agricultural Land
SRR25158483,0.996960541482371,2956.8037254117507,7.305331717292881,SMAG,Agricultural Land
SRR25158512,0.9944469892533027,2378.7109024132187,7.127899022038788,SMAG,Wetland
SRR25158391,0.9975940450803333,2590.1162580781565,7.468949392157803,SMAG,Agricultural Land
SRR25158352,0.9980694595934987,1745.265362388826,7.8648016511471806,SMAG,Wetland
SRR25158346,0.997386304028514,1390.2711286978022,7.526948005108106,SMAG,Wetland
SRR25158220,0.9979599412697434,3473.1806445717475,7.697435268708241,SMAG,Agricultural Land
SRR25158282,0.9985072210602607,3765.0286188761643,7.982849466684618,SMAG,Agricultural Land
SRR25158465,0.9977364888442771,3153.463147326729,7.793722017471314,SMAG,Agricultural Land
SRR25158296,0.9942893338998934,1534.7413371980508,6.599556451641461,SMAG,Forest
SRR25158523,0.9977258725864512,3223.891298257521,7.5167924232988925,SMAG,Forest
SRR25158482,0.9968620822645899,2390.3424579856787,7.4610226980616785,SMAG,Wetland
SRR25158522,0.9980359825857245,2528.6429447717683,7.734169954472408,SMAG,Forest
SRR25158314,0.9982691838530953,2343.7415563339778,7.790851649047806,SMAG,Agricultural Land
SRR25158245,0.9957579924852435,2796.8919162058082,7.0432107738680205,SMAG,Forest
SRR25158427,0.9979980755507637,2873.1930274888045,7.685621628793173,SMAG,Wetland
SRR25158399,0.9961126328875192,2437.700400677255,7.113056734304729,SMAG,Grassland
SRR25158484,0.9978592785968123,2999.4535967450624,7.58966052990798,SMAG,Agricultural Land
SRR25158269,0.9985324385158727,1351.5894664755185,7.771183835900346,SMAG,Bare Land
SRR25158487,0.9967607841002197,2264.2330227370717,7.352446023911026,SMAG,Agricultural Land
SRR25158181,0.9967440133358132,2351.354738367579,7.174915158992672,SMAG,Agricultural Land
SRR25158288,0.9979976998066099,3301.279023876023,7.8366819829116965,SMAG,Agricultural Land
SRR25158225,0.9983917853756512,3411.8840858739636,7.8921762035918315,SMAG,Agricultural Land
SRR25158310,0.9976833272829538,1540.113486138436,7.601882972790744,SMAG,Wetland
SRR25158495,0.9975632389791245,2306.4408130032957,7.50793359604609,SMAG,Agricultural Land
SRR25158178,0.9978725511007016,2510.1555587126954,7.559402951197835,SMAG,Agricultural Land
SRR25158227,0.9983810362320961,2917.5873948281137,7.879111490066041,SMAG,Agricultural Land
SRR25158406,0.9979082114305814,2945.646365689329,7.532172665045671,SMAG,Forest
SRR25158459,0.995561456421929,2162.432392027528,7.1282689705748705,SMAG,Agricultural Land
SRR25158382,0.9983910273338941,3139.0712259503953,7.85925171334489,SMAG,Agricultural Land
SRR25158411,0.9978926698593756,2061.6152046877496,7.600651381279126,SMAG,Agricultural Land
SRR25158221,0.9976964410025104,3946.221321660432,7.761204715227127,SMAG,Agricultural Land
SRR25158467,0.9975509896149639,2680.337001146389,7.560821995646706,SMAG,Agricultural Land
SRR25158439,0.9971469732740439,2001.3026503452952,7.454605594636688,SMAG,Grassland
SRR25158276,0.9982323524199029,3466.4265529656,7.735906608488518,SMAG,Agricultural Land
SRR25158188,0.9972650314180914,1921.5342568407464,7.2853410830759,SMAG,Wetland
SRR25158437,0.9986357925594712,1775.8133295172336,7.905935020159584,SMAG,Wetland
SRR25158299,0.9923596577983184,796.5299821121231,6.212289394125639,SMAG,Forest
SRR25158364,0.9973574998146126,3777.6923364522095,7.5564156175102015,SMAG,Agricultural Land
SRR25158504,0.9950609085821411,2699.132398118857,6.8631862798149355,SMAG,Grassland
SRR25158466,0.996978673363537,1993.7429897074203,7.184792616979483,SMAG,Agricultural Land
SRR25158451,0.9979989408865307,2618.1873820450833,7.5757717029110125,SMAG,Agricultural Land
SRR25158480,0.9975418770248091,2333.4495422582604,7.55301524800833,SMAG,Agricultural Land
SRR25158422,0.9920265963927438,2262.5253822467585,6.557495830929518,SMAG,Forest
SRR25158463,0.9965883684307415,2024.7004759948882,7.249442733074085,SMAG,Wetland
SRR25158376,0.9978572082206203,3116.17302171452,7.601568099439676,SMAG,Agricultural Land
SRR25158355,0.9968898892236373,1542.5164304553002,7.402371860170113,SMAG,Bare Land
SRR25158333,0.998396075259726,3025.4076287008097,7.869758052057194,SMAG,Agricultural Land
SRR25158412,0.991744778813628,1679.2252980448015,6.502573051249922,SMAG,Agricultural Land
SRR25158320,0.9987927538117503,3189.95170335802,8.080971019762293,SMAG,Agricultural Land
SRR25158520,0.9980911150779804,3508.1183022769515,7.870929988981311,SMAG,Agricultural Land
SRR25158329,0.9983997351504111,2378.577948496379,7.8328187954210255,SMAG,Agricultural Land
SRR25158293,0.9963041060307455,1716.7429804864612,7.038701046354026,SMAG,Forest
SRR25158472,0.9973602784231026,2548.7599169234777,7.503331349608275,SMAG,Agricultural Land
SRR25158243,0.9958283806445863,3035.142344718676,7.074583385164309,SMAG,Forest
SRR25158365,0.9982892221253707,3234.6746252480934,7.861706302710327,SMAG,Agricultural Land
SRR25158527,0.9982866881910711,2900.4914374356927,7.948696468508881,SMAG,Wetland
SRR25158234,0.9979054776959356,3705.3127760124535,7.744499184796753,SMAG,Agricultural Land
SRR25158464,0.9970090767451311,2304.0581246449497,7.304452524725925,SMAG,Agricultural Land
SRR25158413,0.9974972149324572,2763.160582297303,7.4268426410081485,SMAG,Forest
SRR25158287,0.9980636015099018,3711.9325567268293,7.762851637027049,SMAG,Agricultural Land
SRR25158403,0.9972292092289998,1821.1662236678092,7.221490940282379,SMAG,Agricultural Land
SRR25158259,0.9971160728991862,2476.830481567582,7.244075332267545,SMAG,Agricultural Land
SRR25158294,0.9958110222958466,2027.6429912588997,7.01486719801297,SMAG,Forest
SRR25158330,0.9980922951992276,2728.4173948700727,7.751724203359924,SMAG,Agricultural Land
SRR25158176,0.9960873940795948,1797.4657007045837,7.070993139642689,SMAG,Agricultural Land
SRR25158345,0.9982561923520638,2838.7764056408637,7.833243831889414,SMAG,Agricultural Land
SRR25158185,0.99778973672435,1914.5083442253829,7.519548539221983,SMAG,Agricultural Land
SRR25158434,0.9973968816176608,2709.15972689715,7.453931532787219,SMAG,Forest
SRR25158440,0.996878641886416,2850.122571159439,7.28317397610632,SMAG,Forest
SRR25158242,0.996428263674819,2959.0147976244057,7.126609637766374,SMAG,Forest
SRR25158404,0.9984456778527723,3324.416957376549,7.934567744173783,SMAG,Wetland
SRR25158471,0.9920032434487083,1423.8547482512759,6.72517522002358,SMAG,Agricultural Land
SRR25158426,0.9959514097309848,2241.4664230571807,7.132671107860347,SMAG,Grassland
SRR25158469,0.9986175989366626,2741.6822195801524,8.023554609189894,SMAG,Wetland
SRR25158435,0.9977112804471795,1882.218709573243,7.497297757925354,SMAG,Agricultural Land
SRR25158275,0.9981594271215506,3375.879538081252,7.773802737928132,SMAG,Agricultural Land
SRR25158224,0.9980569779178409,3616.7856407604368,7.810424990179099,SMAG,Agricultural Land
SRR25158386,0.9935280480145167,1876.9980420813697,6.581453233231568,SMAG,Forest
SRR25158182,0.996828738797927,2609.039274904902,7.281356674507525,SMAG,Grassland
SRR25158475,0.9975893351930157,2807.0448547572164,7.582600414492653,SMAG,Agricultural Land
SRR25158390,0.9970651873969609,1954.887958617328,7.2213642740013,SMAG,Wetland
SRR25158180,0.997719344273884,2893.028228282059,7.570178904086856,SMAG,Agricultural Land
SRR25158421,0.9972139024730824,2720.6373681451078,7.3009959537655815,SMAG,Agricultural Land
SRR25158325,0.9983463001938402,2547.8688766722244,7.748773694169063,SMAG,Agricultural Land
SRR25158208,0.9980291118722688,3902.412332495505,7.840491550429993,SMAG,Agricultural Land
SRR25158228,0.9968997021841227,2963.0601274958253,7.3858918999285015,SMAG,Agricultural Land
SRR25158393,0.9975947576809802,3037.625358374786,7.571762273335299,SMAG,Agricultural Land
SRR25158251,0.9968322627392948,2528.7182351994206,7.404192370290269,SMAG,Agricultural Land
SRR25158327,0.9987213045817565,2926.417560389141,8.016400852605107,SMAG,Agricultural Land
SRR25158441,0.9981361526335514,1418.2928080277854,7.837661277489127,SMAG,Wetland
SRR25158278,0.9980285620073246,3171.7160621986254,7.707497016118024,SMAG,Agricultural Land
SRR25158419,0.9974897546670279,3010.5907858968267,7.380413642987479,SMAG,Agricultural Land
SRR25158468,0.9970998448062497,3079.9409013978197,7.467170024526241,SMAG,Agricultural Land
SRR25158192,0.9961752253069618,2105.006383427543,7.371503464462209,SMAG,Agricultural Land
SRR25158519,0.9982717287806165,3074.1736623276665,7.791371821611245,SMAG,Agricultural Land
SRR25158516,0.9981051542721625,3106.9707180096043,7.7093225976047375,SMAG,Grassland
SRR25158429,0.9966615454455204,2475.467965145655,7.162687069851421,SMAG,Forest
SRR25158509,0.9965230751203584,2051.1793301683183,7.230027495862485,SMAG,Forest
SRR25158232,0.9986512770627249,3592.9941782799124,8.05310632329226,SMAG,Agricultural Land
SRR25158277,0.9987049885478718,4050.80980768139,8.082522047185533,SMAG,Agricultural Land
SRR25158438,0.9975502534261722,1622.0331048273347,7.5623454854478815,SMAG,Wetland
SRR25158363,0.9978708959222581,4011.423453995828,7.704135351113382,SMAG,Agricultural Land
SRR25158216,0.9976103052102271,3587.1520102675318,7.6366588230109205,SMAG,Agricultural Land
SRR25158407,0.9976651269206394,2825.7885587643295,7.498165273192105,SMAG,Forest
SRR25158353,0.9980261836233093,1553.3715503008577,7.585737362063021,SMAG,Wetland
SRR25158359,0.996536313319976,1416.9705143972217,7.218784377630756,SMAG,Bare Land
SRR25158455,0.9972211334205584,2864.9372531110293,7.395863419436577,SMAG,Agricultural Land
SRR25158265,0.9979740715531005,1530.8304768790517,7.587762148058271,SMAG,Wetland
SRR25158448,0.9977520204599669,2569.823564162822,7.531877021533348,SMAG,Agricultural Land
SRR25158449,0.9978759897637884,2351.578111508062,7.608831627248405,SMAG,Forest
SRR25158479,0.9977312740952646,3068.1831774705224,7.583069203702384,SMAG,Agricultural Land
SRR25158253,0.9967747132018302,3100.524319591846,7.38762981057498,SMAG,Agricultural Land
SRR25158230,0.9984230721623765,3506.196998467203,7.8848014069924695,SMAG,Agricultural Land
SRR25158497,0.9981920865115539,2582.2540715291666,7.66832231455018,SMAG,Agricultural Land
SRR25158499,0.9967306584071846,1764.3855199080476,7.119176442350343,SMAG,Grassland
SRR25158279,0.9979102959767088,3672.7057577351793,7.765235725108228,SMAG,Agricultural Land
SRR25158532,0.9980659332295917,3445.6501223966275,7.69639616175121,SMAG,Agricultural Land
SRR25158252,0.9972390559696112,2228.3301726378704,7.423568323422005,SMAG,Agricultural Land
SRR25158388,0.9973411978753497,3105.5941107478916,7.4510931977549495,SMAG,Agricultural Land
SRR25158191,0.9972704332964568,2501.5474997949805,7.475475483386796,SMAG,Agricultural Land
SRR25158303,0.9971583955840104,2459.639919873818,7.229605370588004,SMAG,Forest
SRR25158184,0.9977352241145231,2396.5394522815704,7.604797652066935,SMAG,Agricultural Land
SRR25158324,0.9972136271768685,2490.4683009390087,7.488573548117816,SMAG,Agricultural Land
SRR25158262,0.9977699738546566,1475.4182082149525,7.583720119068168,SMAG,Wetland
SRR25158271,0.9980817575789905,1628.7692705141737,7.7798451792576735,SMAG,Bare Land
SRR25158335,0.9980669323025364,2688.974430051689,7.833119261747598,SMAG,Agricultural Land
SRR25158321,0.9984472719298035,2730.9945471883225,7.896139792554369,SMAG,Agricultural Land
SRR25158336,0.9982636123170913,1626.251441690792,7.707016262993707,SMAG,Wetland
SRR25158202,0.9969700671551284,2348.749178512491,7.0844032562092005,SMAG,Agricultural Land
SRR25158474,0.9972422984854937,2798.738608254056,7.4969852557612455,SMAG,Agricultural Land
SRR25158177,0.9967497951392283,2653.113920714463,7.243661258222968,SMAG,Forest
SRR25158370,0.9944126955165313,2772.562327357398,7.184227381614113,SMAG,Grassland
SRR25158193,0.9962146201047808,2085.0638584713774,7.364535205529523,SMAG,Agricultural Land
SRR25158454,0.9974814227191545,2395.70943374672,7.3351919914397214,SMAG,Forest
SRR25158360,0.9950032653172378,1130.3110838853113,6.9150780982800075,SMAG,Bare Land
SRR25158214,0.9981887903815255,3242.5543996629144,7.810328159546784,SMAG,Agricultural Land
SRR25158416,0.996107726893359,2631.427569711695,7.138985444421706,SMAG,Wetland
SRR25158380,0.9976514500740714,2655.239203379877,7.488544330014948,SMAG,Wetland
SRR25158248,0.9979329406925138,2794.2429504255265,7.579372356349647,SMAG,Forest
SRR25158241,0.9936442308785788,1845.2837881848632,7.073120773495905,SMAG,Agricultural Land
SRR25158503,0.9974181515687691,3258.4185487079753,7.533839885915923,SMAG,Grassland
SRR25158284,0.9975821194083708,2755.057829701407,7.426006566359053,SMAG,Agricultural Land
SRR25158492,0.9970598472806436,2362.309276231558,7.413768172238221,SMAG,Agricultural Land
SRR25158183,0.9967917103277713,3061.9975734752297,7.3063279194974,SMAG,Forest
SRR25158458,0.9975266702542014,2605.0111447142544,7.481538061798821,SMAG,Wetland
SRR25158379,0.9952091334828209,1781.6457290286198,6.880614646952984,SMAG,Forest
SRR25158505,0.9983058021891191,3451.9328338764644,7.766578378326969,SMAG,Grassland
SRR25158476,0.9984146133036376,2689.9571657484817,7.809845706187676,SMAG,Agricultural Land
SRR25158307,0.9982916345157644,2030.7452328974928,7.738811860071536,SMAG,Bare Land
SRR25158502,0.9971002051493009,2307.062994179691,7.309177363455657,SMAG,Agricultural Land
SRR25158206,0.9974590322288118,2806.3510742736844,7.444454717882702,SMAG,Forest
SRR25158343,0.9960723790291767,1228.899471109041,7.09776764960485,SMAG,Wetland
SRR25158385,0.9966306740104891,1540.595635501357,7.192292886082336,SMAG,Grassland
SRR25158285,0.9975031329932306,3389.1883160488765,7.621411369627653,SMAG,Agricultural Land
SRR25158383,0.9960986972365445,2847.85028881422,7.279683362056442,SMAG,Agricultural Land
SRR25158423,0.9974963617078937,2458.081861752037,7.388825104341086,SMAG,Agricultural Land
SRR25158536,0.996845104061269,2483.074923768355,7.1367556543498285,SMAG,Forest
SRR25158351,0.9982722721462323,1581.2207962763223,7.673239969338508,SMAG,Wetland
SRR25158332,0.9983370587569413,2514.631842615583,7.763452905884318,SMAG,Agricultural Land
SRR25158362,0.9979252443414117,3913.042381521669,7.716914836217615,SMAG,Agricultural Land
SRR25158315,0.9983355342902452,2596.398992153456,7.894082557092025,SMAG,Agricultural Land
SRR25158198,0.9973846313818865,2341.1154641560906,7.375221084959999,SMAG,Forest
SRR25158179,0.996255551156987,2408.5194034927667,7.159364950466809,SMAG,Grassland
SRR25158302,0.9953049683329723,2541.2844315973034,6.9248696919289365,SMAG,Forest
SRR25158500,0.9976774425397911,3490.6742643827065,7.558017270587468,SMAG,Grassland
SRR25158348,0.9979510824178993,1895.1191290032398,7.559325248313816,SMAG,Wetland
SRR25158489,0.9981121903253446,2951.921039012434,7.753440273841987,SMAG,Agricultural Land
SRR25158334,0.9983969414419772,2694.774421606269,7.884993260840195,SMAG,Agricultural Land
SRR25158456,0.998224255925143,2437.4072068180226,7.939045187180515,SMAG,Wetland
SRR25158195,0.9977426305236672,2279.438801455916,7.586401073803131,SMAG,Wetland
SRR25158254,0.9968012841049992,2735.764642156981,7.411256725595293,SMAG,Agricultural Land
SRR25158424,0.9977085021344473,2095.895814287209,7.803164687255718,SMAG,Agricultural Land
SRR25158444,0.9969404578554487,3019.3339979550165,7.363727357430426,SMAG,Agricultural Land
SRR25158244,0.9962681933318325,2060.6134471899795,7.032055449189085,SMAG,Forest
SRR25158290,0.9953378961387488,2748.662874563187,7.102994414710058,SMAG,Forest
SRR25158420,0.9976424082650258,2039.2798723624412,7.411010331636486,SMAG,Agricultural Land
SRR25158309,0.9977327667381545,1342.1376257804234,7.592115374149335,SMAG,Wetland
SRR25158486,0.9972450385390045,2198.567781045482,7.486227920224062,SMAG,Agricultural Land
SRR25158204,0.9966817099010586,1423.0284782623178,7.041405672513609,SMAG,Forest
SRR25158249,0.9978861477361392,2532.9303691603664,7.5728546667242815,SMAG,Wetland
SRR25158323,0.997668479474772,2522.5666743141637,7.554158453741336,SMAG,Agricultural Land
SRR25158373,0.9968288966391944,2645.62544963349,7.378818605543197,SMAG,Agricultural Land
SRR25158491,0.9978633731331209,2747.507507849354,7.591780104988851,SMAG,Agricultural Land
SRR25158317,0.9971419271559971,2076.9661268343802,7.2765716098999125,SMAG,Forest
SRR25158306,0.9969122618945657,2772.5974206015144,7.465017599495772,SMAG,Agricultural Land
SRR25158311,0.9984403968917591,1667.9429830038218,7.7941401462405375,SMAG,Wetland
SRR25158478,0.9957248516019133,2248.4635623751806,7.292776145524914,SMAG,Grassland
SRR25158186,0.9976614880177973,2231.4261782248414,7.492874285833423,SMAG,Agricultural Land
SRR25158270,0.9981792585660328,1711.5985048148061,7.665478875122013,SMAG,Bare Land
SRR25158319,0.9987691905077869,3368.6784506042413,8.053316844657266,SMAG,Agricultural Land
SRR25158354,0.9988032429976501,1357.0203513003169,7.947960892751518,SMAG,Wetland
SRR25158443,0.9976893079204552,2954.755694254372,7.545523081884213,SMAG,Agricultural Land
SRR25158196,0.9982230385551671,3254.6389176618677,7.682731899777484,SMAG,Agricultural Land
SRR25158238,0.9981223966084972,3836.606618330117,7.781611060366651,SMAG,Agricultural Land
SRR25158400,0.9977210933839658,3365.0305965012794,7.835430131518315,SMAG,Wetland
SRR25158240,0.9966660087675805,2523.8493011910386,7.134859876200728,SMAG,Forest
SRR25158445,0.9970951074667472,2161.085301685787,7.396499808347549,SMAG,Agricultural Land
SRR25158395,0.997162180281976,2266.6681311422903,7.396030723810758,SMAG,Agricultural Land
SRR25158461,0.9973960698132289,2090.685837981604,7.323182667469277,SMAG,Forest
SRR25158425,0.9976999924498057,2605.514255467901,7.459231854786007,SMAG,Agricultural Land
SRR25158280,0.9982574625588743,3343.1826078190234,7.821132422165028,SMAG,Agricultural Land
SRR25158511,0.9971861912235047,2641.9680510236312,7.3477621240850715,SMAG,Agricultural Land
SRR25158300,0.994944968783087,2379.9245487143007,6.789662920078114,SMAG,Forest
SRR25158462,0.9972485326889966,2113.1983258795767,7.4100310397814555,SMAG,Wetland
SRR25158473,0.997372501576369,2630.6341759435513,7.361017508334241,SMAG,Forest
SRR25158513,0.9934594055832426,1468.8782015951906,6.622023475090279,SMAG,Forest
SRR25158432,0.9980259080849022,2446.158748662958,7.560298931521977,SMAG,Agricultural Land
SRR25158231,0.998420854535222,2440.8147682106837,7.815759279081108,SMAG,Agricultural Land
SRR25158460,0.9972448722880517,2769.8208209458703,7.401851863289597,SMAG,Grassland
SRR25158384,0.9970527804479804,2894.5064824571527,7.557337576141946,SMAG,Agricultural Land
SRR25158331,0.9978898272202936,2765.0937071900353,7.641117094665412,SMAG,Agricultural Land
