genome,secondary_cluster,threshold,cluster_method,comparison_algorithm,primary_cluster
cpsnj02_SemiBin_206.fa,29_1,0.050000000000000044,average,fastANI,29
cpsnj03_SemiBin_264.fa,29_1,0.050000000000000044,average,fastANI,29
cpsnj04_SemiBin_371.fa,29_1,0.050000000000000044,average,fastANI,29
cpsnj08_SemiBin_212.fa,29_1,0.050000000000000044,average,fastANI,29
cpsnj09_SemiBin_394.fa,29_1,0.050000000000000044,average,fastANI,29
cpsnj11_SemiBin_329.fa,29_1,0.050000000000000044,average,fastANI,29
cpsnj14_SemiBin_338.fa,29_1,0.050000000000000044,average,fastANI,29
cpsnj15_SemiBin_517.fa,29_1,0.050000000000000044,average,fastANI,29
cpsnj16_SemiBin_274.fa,29_1,0.050000000000000044,average,fastANI,29
cpsnj19_SemiBin_363.fa,29_1,0.050000000000000044,average,fastANI,29
cpsnj20_SemiBin_301.fa,29_1,0.050000000000000044,average,fastANI,29
sample10_SemiBin_286.fa,29_1,0.050000000000000044,average,fastANI,29
sample11_SemiBin_196.fa,29_1,0.050000000000000044,average,fastANI,29
sample12_SemiBin_156.fa,29_1,0.050000000000000044,average,fastANI,29
sample13_SemiBin_316.fa,29_1,0.050000000000000044,average,fastANI,29
sample14_SemiBin_184.fa,29_1,0.050000000000000044,average,fastANI,29
sample15_SemiBin_331.fa,29_1,0.050000000000000044,average,fastANI,29
sample16_SemiBin_326.fa,29_1,0.050000000000000044,average,fastANI,29
sample17_SemiBin_341.fa,29_1,0.050000000000000044,average,fastANI,29
sample18_SemiBin_476.fa,29_1,0.050000000000000044,average,fastANI,29
sample19_SemiBin_458.fa,29_1,0.050000000000000044,average,fastANI,29
sample1_SemiBin_357.fa,29_1,0.050000000000000044,average,fastANI,29
sample20_SemiBin_431.fa,29_1,0.050000000000000044,average,fastANI,29
sample22_SemiBin_338.fa,29_1,0.050000000000000044,average,fastANI,29
sample23_SemiBin_317.fa,29_1,0.050000000000000044,average,fastANI,29
sample24_SemiBin_174.fa,29_1,0.050000000000000044,average,fastANI,29
sample25_SemiBin_290.fa,29_1,0.050000000000000044,average,fastANI,29
sample26_SemiBin_226.fa,29_1,0.050000000000000044,average,fastANI,29
sample27_SemiBin_252.fa,29_1,0.050000000000000044,average,fastANI,29
sample28_SemiBin_219.fa,29_1,0.050000000000000044,average,fastANI,29
sample29_SemiBin_535.fa,29_1,0.050000000000000044,average,fastANI,29
sample2_SemiBin_181.fa,29_1,0.050000000000000044,average,fastANI,29
sample30_SemiBin_234.fa,29_1,0.050000000000000044,average,fastANI,29
sample3_SemiBin_217.fa,29_1,0.050000000000000044,average,fastANI,29
sample4_SemiBin_273.fa,29_1,0.050000000000000044,average,fastANI,29
sample5_SemiBin_210.fa,29_1,0.050000000000000044,average,fastANI,29
sample6_SemiBin_307.fa,29_1,0.050000000000000044,average,fastANI,29
sample7_SemiBin_347.fa,29_1,0.050000000000000044,average,fastANI,29
sample8_SemiBin_300.fa,29_1,0.050000000000000044,average,fastANI,29
sample9_SemiBin_244.fa,29_1,0.050000000000000044,average,fastANI,29
snj03_SemiBin_240.fa,29_1,0.050000000000000044,average,fastANI,29
snj04_SemiBin_246.fa,29_1,0.050000000000000044,average,fastANI,29
snj08_SemiBin_337.fa,29_1,0.050000000000000044,average,fastANI,29
snj09_SemiBin_497.fa,29_1,0.050000000000000044,average,fastANI,29
snj10_SemiBin_219.fa,29_1,0.050000000000000044,average,fastANI,29
snj11_SemiBin_343.fa,29_1,0.050000000000000044,average,fastANI,29
snj13_SemiBin_317.fa,29_1,0.050000000000000044,average,fastANI,29
snj14_SemiBin_329.fa,29_1,0.050000000000000044,average,fastANI,29
snj15_SemiBin_287.fa,29_1,0.050000000000000044,average,fastANI,29
snj16_SemiBin_231.fa,29_1,0.050000000000000044,average,fastANI,29
snj19_SemiBin_278.fa,29_1,0.050000000000000044,average,fastANI,29
snj20_SemiBin_274.fa,29_1,0.050000000000000044,average,fastANI,29
snj10_SemiBin_450.fa,30_1,0.050000000000000044,average,fastANI,30
snj11_SemiBin_449.fa,30_2,0.050000000000000044,average,fastANI,30
sample24_SemiBin_256.fa,31_1,0.050000000000000044,average,fastANI,31
sample9_SemiBin_521.fa,31_1,0.050000000000000044,average,fastANI,31
sample28_SemiBin_429.fa,32_0,0.050000000000000044,average,fastANI,32
sample29_SemiBin_110.fa,33_0,0.050000000000000044,average,fastANI,33
cpsnj01_SemiBin_0.fa,34_0,0.050000000000000044,average,fastANI,34
cpsnj20_SemiBin_13.fa,35_0,0.050000000000000044,average,fastANI,35
cpsnj02_SemiBin_17.fa,36_1,0.050000000000000044,average,fastANI,36
cpsnj04_SemiBin_11.fa,36_1,0.050000000000000044,average,fastANI,36
snj02_SemiBin_83.fa,36_1,0.050000000000000044,average,fastANI,36
snj04_SemiBin_118.fa,37_0,0.050000000000000044,average,fastANI,37
snj08_SemiBin_188.fa,38_0,0.050000000000000044,average,fastANI,38
cpsnj04_SemiBin_2.fa,39_0,0.050000000000000044,average,fastANI,39
sample1_SemiBin_4.fa,40_0,0.050000000000000044,average,fastANI,40
sample29_SemiBin_17.fa,41_0,0.050000000000000044,average,fastANI,41
cpsnj10_SemiBin_174.fa,42_0,0.050000000000000044,average,fastANI,42
sample18_SemiBin_164.fa,43_0,0.050000000000000044,average,fastANI,43
snj15_SemiBin_67.fa,44_0,0.050000000000000044,average,fastANI,44
snj01_SemiBin_28.fa,45_0,0.050000000000000044,average,fastANI,45
sample16_SemiBin_72.fa,46_1,0.050000000000000044,average,fastANI,46
sample23_SemiBin_65.fa,46_1,0.050000000000000044,average,fastANI,46
sample24_SemiBin_103.fa,46_1,0.050000000000000044,average,fastANI,46
sample25_SemiBin_64.fa,46_1,0.050000000000000044,average,fastANI,46
sample2_SemiBin_91.fa,46_1,0.050000000000000044,average,fastANI,46
sample6_SemiBin_114.fa,46_1,0.050000000000000044,average,fastANI,46
sample7_SemiBin_82.fa,46_1,0.050000000000000044,average,fastANI,46
sample22_SemiBin_118.fa,46_2,0.050000000000000044,average,fastANI,46
sample15_SemiBin_69.fa,46_3,0.050000000000000044,average,fastANI,46
cpsnj08_SemiBin_152.fa,47_1,0.050000000000000044,average,fastANI,47
cpsnj11_SemiBin_94.fa,47_1,0.050000000000000044,average,fastANI,47
cpsnj19_SemiBin_93.fa,47_1,0.050000000000000044,average,fastANI,47
snj11_SemiBin_134.fa,47_1,0.050000000000000044,average,fastANI,47
snj16_SemiBin_53.fa,47_1,0.050000000000000044,average,fastANI,47
snj19_SemiBin_34.fa,47_1,0.050000000000000044,average,fastANI,47
snj20_SemiBin_14.fa,47_1,0.050000000000000044,average,fastANI,47
snj08_SemiBin_247.fa,47_2,0.050000000000000044,average,fastANI,47
cpsnj01_SemiBin_95.fa,47_3,0.050000000000000044,average,fastANI,47
cpsnj03_SemiBin_75.fa,47_4,0.050000000000000044,average,fastANI,47
cpsnj14_SemiBin_88.fa,48_1,0.050000000000000044,average,fastANI,48
sample8_SemiBin_99.fa,48_2,0.050000000000000044,average,fastANI,48
sample26_SemiBin_95.fa,48_3,0.050000000000000044,average,fastANI,48
sample27_SemiBin_113.fa,48_4,0.050000000000000044,average,fastANI,48
sample14_SemiBin_59.fa,49_0,0.050000000000000044,average,fastANI,49
sample28_SemiBin_19.fa,50_0,0.050000000000000044,average,fastANI,50
cpsnj11_SemiBin_78.fa,51_1,0.050000000000000044,average,fastANI,51
snj11_SemiBin_67.fa,51_1,0.050000000000000044,average,fastANI,51
snj13_SemiBin_63.fa,51_2,0.050000000000000044,average,fastANI,51
cpsnj14_SemiBin_83.fa,51_3,0.050000000000000044,average,fastANI,51
snj10_SemiBin_44.fa,51_4,0.050000000000000044,average,fastANI,51
cpsnj10_SemiBin_238.fa,51_5,0.050000000000000044,average,fastANI,51
snj08_SemiBin_55.fa,51_6,0.050000000000000044,average,fastANI,51
snj15_SemiBin_39.fa,51_7,0.050000000000000044,average,fastANI,51
sample21_SemiBin_29.fa,51_8,0.050000000000000044,average,fastANI,51
sample25_SemiBin_33.fa,51_9,0.050000000000000044,average,fastANI,51
sample1_SemiBin_57.fa,51_10,0.050000000000000044,average,fastANI,51
sample22_SemiBin_51.fa,51_11,0.050000000000000044,average,fastANI,51
sample27_SemiBin_59.fa,51_12,0.050000000000000044,average,fastANI,51
sample11_SemiBin_31.fa,51_13,0.050000000000000044,average,fastANI,51
sample2_SemiBin_40.fa,51_13,0.050000000000000044,average,fastANI,51
sample5_SemiBin_37.fa,51_13,0.050000000000000044,average,fastANI,51
sample6_SemiBin_4.fa,51_13,0.050000000000000044,average,fastANI,51
sample7_SemiBin_136.fa,51_13,0.050000000000000044,average,fastANI,51
sample16_SemiBin_52.fa,51_14,0.050000000000000044,average,fastANI,51
sample15_SemiBin_22.fa,51_15,0.050000000000000044,average,fastANI,51
sample23_SemiBin_56.fa,51_16,0.050000000000000044,average,fastANI,51
sample12_SemiBin_19.fa,51_17,0.050000000000000044,average,fastANI,51
sample14_SemiBin_63.fa,51_18,0.050000000000000044,average,fastANI,51
sample8_SemiBin_49.fa,51_19,0.050000000000000044,average,fastANI,51
sample26_SemiBin_32.fa,51_20,0.050000000000000044,average,fastANI,51
sample4_SemiBin_60.fa,51_21,0.050000000000000044,average,fastANI,51
sample3_SemiBin_44.fa,51_22,0.050000000000000044,average,fastANI,51
sample28_SemiBin_8.fa,51_23,0.050000000000000044,average,fastANI,51
snj04_SemiBin_55.fa,51_23,0.050000000000000044,average,fastANI,51
snj20_SemiBin_66.fa,51_23,0.050000000000000044,average,fastANI,51
cpsnj04_SemiBin_96.fa,51_24,0.050000000000000044,average,fastANI,51
cpsnj13_SemiBin_16.fa,51_25,0.050000000000000044,average,fastANI,51
sample18_SemiBin_123.fa,51_26,0.050000000000000044,average,fastANI,51
cpsnj08_SemiBin_146.fa,51_27,0.050000000000000044,average,fastANI,51
snj16_SemiBin_17.fa,51_28,0.050000000000000044,average,fastANI,51
snj19_SemiBin_41.fa,51_29,0.050000000000000044,average,fastANI,51
cpsnj16_SemiBin_41.fa,51_30,0.050000000000000044,average,fastANI,51
sample13_SemiBin_100.fa,51_31,0.050000000000000044,average,fastANI,51
sample30_SemiBin_6.fa,51_32,0.050000000000000044,average,fastANI,51
cpsnj15_SemiBin_81.fa,51_33,0.050000000000000044,average,fastANI,51
cpsnj09_SemiBin_139.fa,51_34,0.050000000000000044,average,fastANI,51
cpsnj03_SemiBin_114.fa,51_35,0.050000000000000044,average,fastANI,51
sample19_SemiBin_131.fa,51_36,0.050000000000000044,average,fastANI,51
sample8_SemiBin_1898.fa,52_0,0.050000000000000044,average,fastANI,52
sample8_SemiBin_259.fa,53_0,0.050000000000000044,average,fastANI,53
cpsnj20_SemiBin_89.fa,54_0,0.050000000000000044,average,fastANI,54
sample30_SemiBin_54.fa,55_0,0.050000000000000044,average,fastANI,55
cpsnj01_SemiBin_1.fa,56_1,0.050000000000000044,average,fastANI,56
snj01_SemiBin_106.fa,56_1,0.050000000000000044,average,fastANI,56
cpsnj01_SemiBin_115.fa,57_1,0.050000000000000044,average,fastANI,57
snj01_SemiBin_48.fa,57_1,0.050000000000000044,average,fastANI,57
sample29_SemiBin_123.fa,58_0,0.050000000000000044,average,fastANI,58
sample29_SemiBin_49.fa,59_0,0.050000000000000044,average,fastANI,59
sample19_SemiBin_129.fa,60_0,0.050000000000000044,average,fastANI,60
snj13_SemiBin_50.fa,61_0,0.050000000000000044,average,fastANI,61
cpsnj09_SemiBin_351.fa,62_1,0.050000000000000044,average,fastANI,62
cpsnj13_SemiBin_73.fa,62_1,0.050000000000000044,average,fastANI,62
snj09_SemiBin_38.fa,62_1,0.050000000000000044,average,fastANI,62
sample17_SemiBin_88.fa,63_0,0.050000000000000044,average,fastANI,63
sample13_SemiBin_140.fa,64_0,0.050000000000000044,average,fastANI,64
sample19_SemiBin_198.fa,65_0,0.050000000000000044,average,fastANI,65
cpsnj10_SemiBin_33.fa,66_0,0.050000000000000044,average,fastANI,66
snj01_SemiBin_13.fa,67_1,0.050000000000000044,average,fastANI,67
snj16_SemiBin_36.fa,67_2,0.050000000000000044,average,fastANI,67
snj20_SemiBin_42.fa,67_3,0.050000000000000044,average,fastANI,67
cpsnj01_SemiBin_56.fa,68_1,0.050000000000000044,average,fastANI,68
snj01_SemiBin_17.fa,68_1,0.050000000000000044,average,fastANI,68
snj20_SemiBin_22.fa,68_1,0.050000000000000044,average,fastANI,68
sample23_SemiBin_61.fa,68_2,0.050000000000000044,average,fastANI,68
snj08_SemiBin_161.fa,69_1,0.050000000000000044,average,fastANI,69
snj16_SemiBin_1.fa,69_1,0.050000000000000044,average,fastANI,69
snj01_SemiBin_72.fa,70_0,0.050000000000000044,average,fastANI,70
cpsnj02_SemiBin_159.fa,71_1,0.050000000000000044,average,fastANI,71
snj02_SemiBin_61.fa,71_2,0.050000000000000044,average,fastANI,71
snj01_SemiBin_66.fa,72_0,0.050000000000000044,average,fastANI,72
sample27_SemiBin_0.fa,73_0,0.050000000000000044,average,fastANI,73
sample27_SemiBin_33.fa,74_0,0.050000000000000044,average,fastANI,74
snj03_SemiBin_61.fa,75_1,0.050000000000000044,average,fastANI,75
snj16_SemiBin_41.fa,75_1,0.050000000000000044,average,fastANI,75
snj20_SemiBin_37.fa,75_1,0.050000000000000044,average,fastANI,75
snj01_SemiBin_109.fa,76_0,0.050000000000000044,average,fastANI,76
snj04_SemiBin_0.fa,77_0,0.050000000000000044,average,fastANI,77
sample18_SemiBin_319.fa,78_0,0.050000000000000044,average,fastANI,78
cpsnj08_SemiBin_69.fa,79_1,0.050000000000000044,average,fastANI,79
snj03_SemiBin_70.fa,79_1,0.050000000000000044,average,fastANI,79
snj08_SemiBin_105.fa,79_1,0.050000000000000044,average,fastANI,79
snj19_SemiBin_93.fa,79_1,0.050000000000000044,average,fastANI,79
sample23_SemiBin_54.fa,80_0,0.050000000000000044,average,fastANI,80
snj20_SemiBin_155.fa,81_0,0.050000000000000044,average,fastANI,81
snj09_SemiBin_179.fa,82_1,0.050000000000000044,average,fastANI,82
snj13_SemiBin_18.fa,82_2,0.050000000000000044,average,fastANI,82
snj10_SemiBin_80.fa,82_3,0.050000000000000044,average,fastANI,82
sample23_SemiBin_85.fa,82_4,0.050000000000000044,average,fastANI,82
snj09_SemiBin_189.fa,83_0,0.050000000000000044,average,fastANI,83
snj19_SemiBin_137.fa,84_0,0.050000000000000044,average,fastANI,84
cpsnj09_SemiBin_95.fa,85_1,0.050000000000000044,average,fastANI,85
cpsnj10_SemiBin_43.fa,85_1,0.050000000000000044,average,fastANI,85
cpsnj13_SemiBin_81.fa,85_1,0.050000000000000044,average,fastANI,85
snj08_SemiBin_146.fa,86_0,0.050000000000000044,average,fastANI,86
cpsnj02_SemiBin_61.fa,87_0,0.050000000000000044,average,fastANI,87
snj20_SemiBin_26.fa,88_0,0.050000000000000044,average,fastANI,88
sample21_SemiBin_50.fa,89_1,0.050000000000000044,average,fastANI,89
sample23_SemiBin_88.fa,89_1,0.050000000000000044,average,fastANI,89
cpsnj04_SemiBin_63.fa,90_1,0.050000000000000044,average,fastANI,90
snj01_SemiBin_71.fa,90_2,0.050000000000000044,average,fastANI,90
sample19_SemiBin_313.fa,91_0,0.050000000000000044,average,fastANI,91
sample30_SemiBin_29.fa,92_0,0.050000000000000044,average,fastANI,92
sample6_SemiBin_95.fa,93_0,0.050000000000000044,average,fastANI,93
snj01_SemiBin_51.fa,94_1,0.050000000000000044,average,fastANI,94
snj13_SemiBin_95.fa,94_2,0.050000000000000044,average,fastANI,94
snj08_SemiBin_14.fa,94_3,0.050000000000000044,average,fastANI,94
snj16_SemiBin_24.fa,94_3,0.050000000000000044,average,fastANI,94
snj20_SemiBin_24.fa,94_3,0.050000000000000044,average,fastANI,94
snj10_SemiBin_96.fa,94_4,0.050000000000000044,average,fastANI,94
sample23_SemiBin_90.fa,95_0,0.050000000000000044,average,fastANI,95
snj01_SemiBin_25.fa,96_0,0.050000000000000044,average,fastANI,96
snj01_SemiBin_59.fa,97_1,0.050000000000000044,average,fastANI,97
snj08_SemiBin_81.fa,97_1,0.050000000000000044,average,fastANI,97
snj09_SemiBin_106.fa,97_1,0.050000000000000044,average,fastANI,97
snj11_SemiBin_56.fa,97_1,0.050000000000000044,average,fastANI,97
snj13_SemiBin_143.fa,97_1,0.050000000000000044,average,fastANI,97
snj16_SemiBin_69.fa,97_1,0.050000000000000044,average,fastANI,97
snj20_SemiBin_105.fa,97_1,0.050000000000000044,average,fastANI,97
snj01_SemiBin_148.fa,98_0,0.050000000000000044,average,fastANI,98
cpsnj04_SemiBin_110.fa,99_0,0.050000000000000044,average,fastANI,99
snj09_SemiBin_86.fa,100_0,0.050000000000000044,average,fastANI,100
snj09_SemiBin_57.fa,101_0,0.050000000000000044,average,fastANI,101
snj09_SemiBin_78.fa,102_0,0.050000000000000044,average,fastANI,102
sample20_SemiBin_199.fa,103_1,0.050000000000000044,average,fastANI,103
sample21_SemiBin_115.fa,103_1,0.050000000000000044,average,fastANI,103
sample4_SemiBin_73.fa,103_1,0.050000000000000044,average,fastANI,103
cpsnj03_SemiBin_99.fa,104_1,0.050000000000000044,average,fastANI,104
cpsnj11_SemiBin_118.fa,104_1,0.050000000000000044,average,fastANI,104
cpsnj19_SemiBin_166.fa,104_1,0.050000000000000044,average,fastANI,104
snj03_SemiBin_27.fa,104_1,0.050000000000000044,average,fastANI,104
snj09_SemiBin_96.fa,104_1,0.050000000000000044,average,fastANI,104
snj10_SemiBin_38.fa,104_1,0.050000000000000044,average,fastANI,104
snj11_SemiBin_41.fa,104_1,0.050000000000000044,average,fastANI,104
snj19_SemiBin_62.fa,104_1,0.050000000000000044,average,fastANI,104
snj20_SemiBin_4.fa,104_1,0.050000000000000044,average,fastANI,104
snj08_SemiBin_70.fa,104_2,0.050000000000000044,average,fastANI,104
snj01_SemiBin_2.fa,105_0,0.050000000000000044,average,fastANI,105
snj01_SemiBin_3.fa,106_0,0.050000000000000044,average,fastANI,106
sample1_SemiBin_31.fa,107_1,0.050000000000000044,average,fastANI,107
sample3_SemiBin_42.fa,107_1,0.050000000000000044,average,fastANI,107
sample4_SemiBin_17.fa,107_1,0.050000000000000044,average,fastANI,107
sample7_SemiBin_149.fa,107_1,0.050000000000000044,average,fastANI,107
sample10_SemiBin_309.fa,107_2,0.050000000000000044,average,fastANI,107
cpsnj11_SemiBin_35.fa,108_1,0.050000000000000044,average,fastANI,108
snj11_SemiBin_54.fa,108_1,0.050000000000000044,average,fastANI,108
sample14_SemiBin_57.fa,108_2,0.050000000000000044,average,fastANI,108
sample28_SemiBin_32.fa,109_0,0.050000000000000044,average,fastANI,109
sample10_SemiBin_231.fa,110_1,0.050000000000000044,average,fastANI,110
sample11_SemiBin_5.fa,110_1,0.050000000000000044,average,fastANI,110
sample12_SemiBin_11.fa,110_1,0.050000000000000044,average,fastANI,110
sample13_SemiBin_90.fa,110_1,0.050000000000000044,average,fastANI,110
sample17_SemiBin_179.fa,110_1,0.050000000000000044,average,fastANI,110
sample3_SemiBin_65.fa,110_1,0.050000000000000044,average,fastANI,110
sample4_SemiBin_31.fa,110_1,0.050000000000000044,average,fastANI,110
sample15_SemiBin_228.fa,111_1,0.050000000000000044,average,fastANI,111
sample16_SemiBin_130.fa,111_1,0.050000000000000044,average,fastANI,111
sample1_SemiBin_18.fa,111_1,0.050000000000000044,average,fastANI,111
sample25_SemiBin_55.fa,111_1,0.050000000000000044,average,fastANI,111
sample26_SemiBin_29.fa,111_1,0.050000000000000044,average,fastANI,111
sample2_SemiBin_46.fa,111_1,0.050000000000000044,average,fastANI,111
sample5_SemiBin_16.fa,111_1,0.050000000000000044,average,fastANI,111
sample6_SemiBin_92.fa,111_1,0.050000000000000044,average,fastANI,111
sample7_SemiBin_33.fa,111_1,0.050000000000000044,average,fastANI,111
snj04_SemiBin_143.fa,111_1,0.050000000000000044,average,fastANI,111
sample14_SemiBin_73.fa,111_2,0.050000000000000044,average,fastANI,111
cpsnj09_SemiBin_126.fa,112_0,0.050000000000000044,average,fastANI,112
cpsnj04_SemiBin_52.fa,113_1,0.050000000000000044,average,fastANI,113
snj01_SemiBin_23.fa,113_1,0.050000000000000044,average,fastANI,113
snj08_SemiBin_50.fa,113_1,0.050000000000000044,average,fastANI,113
snj11_SemiBin_45.fa,113_1,0.050000000000000044,average,fastANI,113
snj16_SemiBin_30.fa,113_1,0.050000000000000044,average,fastANI,113
snj20_SemiBin_2.fa,113_1,0.050000000000000044,average,fastANI,113
cpsnj01_SemiBin_399.fa,113_2,0.050000000000000044,average,fastANI,113
snj16_SemiBin_42.fa,114_0,0.050000000000000044,average,fastANI,114
cpsnj01_SemiBin_6.fa,115_1,0.050000000000000044,average,fastANI,115
snj01_SemiBin_11.fa,115_1,0.050000000000000044,average,fastANI,115
snj20_SemiBin_108.fa,116_0,0.050000000000000044,average,fastANI,116
cpsnj04_SemiBin_189.fa,117_1,0.050000000000000044,average,fastANI,117
snj02_SemiBin_20.fa,117_1,0.050000000000000044,average,fastANI,117
cpsnj03_SemiBin_44.fa,118_1,0.050000000000000044,average,fastANI,118
cpsnj19_SemiBin_810.fa,118_1,0.050000000000000044,average,fastANI,118
snj19_SemiBin_69.fa,118_1,0.050000000000000044,average,fastANI,118
snj11_SemiBin_106.fa,118_2,0.050000000000000044,average,fastANI,118
cpsnj09_SemiBin_59.fa,119_1,0.050000000000000044,average,fastANI,119
snj14_SemiBin_82.fa,119_1,0.050000000000000044,average,fastANI,119
snj15_SemiBin_85.fa,119_1,0.050000000000000044,average,fastANI,119
sample26_SemiBin_34.fa,119_2,0.050000000000000044,average,fastANI,119
snj08_SemiBin_15.fa,119_2,0.050000000000000044,average,fastANI,119
snj13_SemiBin_537.fa,119_2,0.050000000000000044,average,fastANI,119
sample3_SemiBin_67.fa,119_3,0.050000000000000044,average,fastANI,119
sample4_SemiBin_14.fa,119_3,0.050000000000000044,average,fastANI,119
sample5_SemiBin_20.fa,119_3,0.050000000000000044,average,fastANI,119
sample7_SemiBin_158.fa,119_3,0.050000000000000044,average,fastANI,119
sample8_SemiBin_41.fa,119_3,0.050000000000000044,average,fastANI,119
sample9_SemiBin_13.fa,119_3,0.050000000000000044,average,fastANI,119
sample18_SemiBin_355.fa,119_4,0.050000000000000044,average,fastANI,119
sample22_SemiBin_33.fa,120_1,0.050000000000000044,average,fastANI,120
sample30_SemiBin_37.fa,120_1,0.050000000000000044,average,fastANI,120
sample25_SemiBin_90.fa,120_2,0.050000000000000044,average,fastANI,120
cpsnj03_SemiBin_135.fa,120_3,0.050000000000000044,average,fastANI,120
snj01_SemiBin_27.fa,120_3,0.050000000000000044,average,fastANI,120
