genome,score,completeness,contamination,strain_heterogeneity,size,N50,cluster,taxonomy,tax_confidence,cluster_members,closest_cluster_member,furthest_cluster_member,completeness_metric,contamination_metric
snj20_SemiBin_274.fa,100.251694584153,NA,NA,NA,NA,NA,29_1,NA,NA,52,98.71,96.28,NA,NA
snj10_SemiBin_450.fa,18.61016600813048,NA,NA,NA,NA,NA,30_1,NA,NA,1,NA,NA,NA,NA
snj11_SemiBin_449.fa,46.229326575410354,NA,NA,NA,NA,NA,30_2,NA,NA,1,NA,NA,NA,NA
sample24_SemiBin_256.fa,68.25184170514295,NA,NA,NA,NA,NA,31_1,NA,NA,2,97.11,97.11,NA,NA
sample28_SemiBin_429.fa,30.04686787011047,NA,NA,NA,NA,NA,32_0,NA,NA,1,NA,NA,NA,NA
sample29_SemiBin_110.fa,52.58213414218221,NA,NA,NA,NA,NA,33_0,NA,NA,1,NA,NA,NA,NA
cpsnj01_SemiBin_0.fa,100.85709242099314,NA,NA,NA,NA,NA,34_0,NA,NA,1,NA,NA,NA,NA
cpsnj20_SemiBin_13.fa,88.78223053513886,NA,NA,NA,NA,NA,35_0,NA,NA,1,NA,NA,NA,NA
cpsnj02_SemiBin_17.fa,90.1589143735438,NA,NA,NA,NA,NA,36_1,NA,NA,3,97.40,96.19,NA,NA
snj04_SemiBin_118.fa,62.12984674660319,NA,NA,NA,NA,NA,37_0,NA,NA,1,NA,NA,NA,NA
snj08_SemiBin_188.fa,62.526222616793575,NA,NA,NA,NA,NA,38_0,NA,NA,1,NA,NA,NA,NA
cpsnj04_SemiBin_2.fa,100.8667819838872,NA,NA,NA,NA,NA,39_0,NA,NA,1,NA,NA,NA,NA
sample1_SemiBin_4.fa,101.3947959575768,NA,NA,NA,NA,NA,40_0,NA,NA,1,NA,NA,NA,NA
sample29_SemiBin_17.fa,94.0632869890119,NA,NA,NA,NA,NA,41_0,NA,NA,1,NA,NA,NA,NA
cpsnj10_SemiBin_174.fa,43.01600956035536,NA,NA,NA,NA,NA,42_0,NA,NA,1,NA,NA,NA,NA
sample18_SemiBin_164.fa,61.41852289184684,NA,NA,NA,NA,NA,43_0,NA,NA,1,NA,NA,NA,NA
snj15_SemiBin_67.fa,13.082634858326944,NA,NA,NA,NA,NA,44_0,NA,NA,1,NA,NA,NA,NA
snj01_SemiBin_28.fa,77.9170546674682,NA,NA,NA,NA,NA,45_0,NA,NA,1,NA,NA,NA,NA
sample6_SemiBin_114.fa,82.13205888175513,NA,NA,NA,NA,NA,46_1,NA,NA,7,98.35,96.25,NA,NA
sample22_SemiBin_118.fa,27.57947925922932,NA,NA,NA,NA,NA,46_2,NA,NA,1,NA,NA,NA,NA
sample15_SemiBin_69.fa,47.30734000698151,NA,NA,NA,NA,NA,46_3,NA,NA,1,NA,NA,NA,NA
snj20_SemiBin_14.fa,84.28889063946959,NA,NA,NA,NA,NA,47_1,NA,NA,7,96.24,95.12,NA,NA
snj08_SemiBin_247.fa,50.8325593825323,NA,NA,NA,NA,NA,47_2,NA,NA,1,NA,NA,NA,NA
cpsnj01_SemiBin_95.fa,43.35053461557565,NA,NA,NA,NA,NA,47_3,NA,NA,1,NA,NA,NA,NA
cpsnj03_SemiBin_75.fa,45.55956185924223,NA,NA,NA,NA,NA,47_4,NA,NA,1,NA,NA,NA,NA
cpsnj14_SemiBin_88.fa,45.2330570982799,NA,NA,NA,NA,NA,48_1,NA,NA,1,NA,NA,NA,NA
sample8_SemiBin_99.fa,41.59307173145972,NA,NA,NA,NA,NA,48_2,NA,NA,1,NA,NA,NA,NA
sample26_SemiBin_95.fa,63.05437671256209,NA,NA,NA,NA,NA,48_3,NA,NA,1,NA,NA,NA,NA
sample27_SemiBin_113.fa,62.89382714545318,NA,NA,NA,NA,NA,48_4,NA,NA,1,NA,NA,NA,NA
sample14_SemiBin_59.fa,22.861571589488594,NA,NA,NA,NA,NA,49_0,NA,NA,1,NA,NA,NA,NA
sample28_SemiBin_19.fa,52.31050588205746,NA,NA,NA,NA,NA,50_0,NA,NA,1,NA,NA,NA,NA
cpsnj11_SemiBin_78.fa,47.26289900453542,NA,NA,NA,NA,NA,51_1,NA,NA,2,95.19,95.19,NA,NA
snj13_SemiBin_63.fa,45.61930506789616,NA,NA,NA,NA,NA,51_2,NA,NA,1,NA,NA,NA,NA
cpsnj14_SemiBin_83.fa,38.90443779084692,NA,NA,NA,NA,NA,51_3,NA,NA,1,NA,NA,NA,NA
snj10_SemiBin_44.fa,46.25196117632929,NA,NA,NA,NA,NA,51_4,NA,NA,1,NA,NA,NA,NA
cpsnj10_SemiBin_238.fa,14.837366306022949,NA,NA,NA,NA,NA,51_5,NA,NA,1,NA,NA,NA,NA
snj08_SemiBin_55.fa,58.13456102373818,NA,NA,NA,NA,NA,51_6,NA,NA,1,NA,NA,NA,NA
snj15_SemiBin_39.fa,55.073105528268464,NA,NA,NA,NA,NA,51_7,NA,NA,1,NA,NA,NA,NA
sample21_SemiBin_29.fa,55.955250006798586,NA,NA,NA,NA,NA,51_8,NA,NA,1,NA,NA,NA,NA
sample25_SemiBin_33.fa,61.88659049893917,NA,NA,NA,NA,NA,51_9,NA,NA,1,NA,NA,NA,NA
sample1_SemiBin_57.fa,81.20922515923122,NA,NA,NA,NA,NA,51_10,NA,NA,1,NA,NA,NA,NA
sample22_SemiBin_51.fa,61.30316296335503,NA,NA,NA,NA,NA,51_11,NA,NA,1,NA,NA,NA,NA
sample27_SemiBin_59.fa,65.42673277976151,NA,NA,NA,NA,NA,51_12,NA,NA,1,NA,NA,NA,NA
sample5_SemiBin_37.fa,83.00309453933366,NA,NA,NA,NA,NA,51_13,NA,NA,5,96.33,95.09,NA,NA
sample16_SemiBin_52.fa,69.41297919203588,NA,NA,NA,NA,NA,51_14,NA,NA,1,NA,NA,NA,NA
sample15_SemiBin_22.fa,73.43376536714042,NA,NA,NA,NA,NA,51_15,NA,NA,1,NA,NA,NA,NA
sample23_SemiBin_56.fa,54.98926559340574,NA,NA,NA,NA,NA,51_16,NA,NA,1,NA,NA,NA,NA
sample12_SemiBin_19.fa,63.73204661086975,NA,NA,NA,NA,NA,51_17,NA,NA,1,NA,NA,NA,NA
sample14_SemiBin_63.fa,49.7252154903663,NA,NA,NA,NA,NA,51_18,NA,NA,1,NA,NA,NA,NA
sample8_SemiBin_49.fa,44.56176272893453,NA,NA,NA,NA,NA,51_19,NA,NA,1,NA,NA,NA,NA
sample26_SemiBin_32.fa,48.74367240442792,NA,NA,NA,NA,NA,51_20,NA,NA,1,NA,NA,NA,NA
sample4_SemiBin_60.fa,44.74932149823311,NA,NA,NA,NA,NA,51_21,NA,NA,1,NA,NA,NA,NA
sample3_SemiBin_44.fa,52.01220147331559,NA,NA,NA,NA,NA,51_22,NA,NA,1,NA,NA,NA,NA
sample28_SemiBin_8.fa,74.7154666275924,NA,NA,NA,NA,NA,51_23,NA,NA,3,96.05,95.79,NA,NA
cpsnj04_SemiBin_96.fa,60.159766062943056,NA,NA,NA,NA,NA,51_24,NA,NA,1,NA,NA,NA,NA
cpsnj13_SemiBin_16.fa,59.52693777974998,NA,NA,NA,NA,NA,51_25,NA,NA,1,NA,NA,NA,NA
sample18_SemiBin_123.fa,53.5322742204497,NA,NA,NA,NA,NA,51_26,NA,NA,1,NA,NA,NA,NA
cpsnj08_SemiBin_146.fa,48.74368423545763,NA,NA,NA,NA,NA,51_27,NA,NA,1,NA,NA,NA,NA
snj16_SemiBin_17.fa,52.89144371324092,NA,NA,NA,NA,NA,51_28,NA,NA,1,NA,NA,NA,NA
snj19_SemiBin_41.fa,65.55256556179107,NA,NA,NA,NA,NA,51_29,NA,NA,1,NA,NA,NA,NA
cpsnj16_SemiBin_41.fa,69.60240204589387,NA,NA,NA,NA,NA,51_30,NA,NA,1,NA,NA,NA,NA
sample13_SemiBin_100.fa,48.26886716294712,NA,NA,NA,NA,NA,51_31,NA,NA,1,NA,NA,NA,NA
sample30_SemiBin_6.fa,56.72242056444428,NA,NA,NA,NA,NA,51_32,NA,NA,1,NA,NA,NA,NA
cpsnj15_SemiBin_81.fa,46.56357415439771,NA,NA,NA,NA,NA,51_33,NA,NA,1,NA,NA,NA,NA
cpsnj09_SemiBin_139.fa,42.24433137446032,NA,NA,NA,NA,NA,51_34,NA,NA,1,NA,NA,NA,NA
cpsnj03_SemiBin_114.fa,42.26515901223514,NA,NA,NA,NA,NA,51_35,NA,NA,1,NA,NA,NA,NA
sample19_SemiBin_131.fa,43.33920936707513,NA,NA,NA,NA,NA,51_36,NA,NA,1,NA,NA,NA,NA
sample8_SemiBin_1898.fa,14.553258718707324,NA,NA,NA,NA,NA,52_0,NA,NA,1,NA,NA,NA,NA
sample8_SemiBin_259.fa,50.80081405199376,NA,NA,NA,NA,NA,53_0,NA,NA,1,NA,NA,NA,NA
cpsnj20_SemiBin_89.fa,48.784428153008726,NA,NA,NA,NA,NA,54_0,NA,NA,1,NA,NA,NA,NA
sample30_SemiBin_54.fa,56.64707996076955,NA,NA,NA,NA,NA,55_0,NA,NA,1,NA,NA,NA,NA
cpsnj01_SemiBin_1.fa,100.5258278668835,NA,NA,NA,NA,NA,56_1,NA,NA,2,98.19,98.19,NA,NA
snj01_SemiBin_48.fa,68.50348711596797,NA,NA,NA,NA,NA,57_1,NA,NA,2,96.68,96.68,NA,NA
sample29_SemiBin_123.fa,70.9439694183486,NA,NA,NA,NA,NA,58_0,NA,NA,1,NA,NA,NA,NA
sample29_SemiBin_49.fa,69.42391178972497,NA,NA,NA,NA,NA,59_0,NA,NA,1,NA,NA,NA,NA
sample19_SemiBin_129.fa,41.419845243245504,NA,NA,NA,NA,NA,60_0,NA,NA,1,NA,NA,NA,NA
snj13_SemiBin_50.fa,56.352324475454736,NA,NA,NA,NA,NA,61_0,NA,NA,1,NA,NA,NA,NA
snj09_SemiBin_38.fa,77.18123852646347,NA,NA,NA,NA,NA,62_1,NA,NA,3,97.38,97.17,NA,NA
sample17_SemiBin_88.fa,47.25956223552747,NA,NA,NA,NA,NA,63_0,NA,NA,1,NA,NA,NA,NA
sample13_SemiBin_140.fa,48.75950399188414,NA,NA,NA,NA,NA,64_0,NA,NA,1,NA,NA,NA,NA
sample19_SemiBin_198.fa,43.27264913162343,NA,NA,NA,NA,NA,65_0,NA,NA,1,NA,NA,NA,NA
cpsnj10_SemiBin_33.fa,72.54183172460527,NA,NA,NA,NA,NA,66_0,NA,NA,1,NA,NA,NA,NA
snj01_SemiBin_13.fa,70.85095666660868,NA,NA,NA,NA,NA,67_1,NA,NA,1,NA,NA,NA,NA
snj16_SemiBin_36.fa,72.10588643017103,NA,NA,NA,NA,NA,67_2,NA,NA,1,NA,NA,NA,NA
snj20_SemiBin_42.fa,64.43568364246741,NA,NA,NA,NA,NA,67_3,NA,NA,1,NA,NA,NA,NA
snj01_SemiBin_17.fa,95.220378095621,NA,NA,NA,NA,NA,68_1,NA,NA,3,98.26,97.88,NA,NA
sample23_SemiBin_61.fa,46.594455720660925,NA,NA,NA,NA,NA,68_2,NA,NA,1,NA,NA,NA,NA
snj16_SemiBin_1.fa,90.20242589007788,NA,NA,NA,NA,NA,69_1,NA,NA,2,97.24,97.24,NA,NA
snj01_SemiBin_72.fa,66.72004346064996,NA,NA,NA,NA,NA,70_0,NA,NA,1,NA,NA,NA,NA
cpsnj02_SemiBin_159.fa,42.31259460205165,NA,NA,NA,NA,NA,71_1,NA,NA,1,NA,NA,NA,NA
snj02_SemiBin_61.fa,42.01171476215619,NA,NA,NA,NA,NA,71_2,NA,NA,1,NA,NA,NA,NA
snj01_SemiBin_66.fa,53.77936864984645,NA,NA,NA,NA,NA,72_0,NA,NA,1,NA,NA,NA,NA
sample27_SemiBin_0.fa,96.87299458897878,NA,NA,NA,NA,NA,73_0,NA,NA,1,NA,NA,NA,NA
sample27_SemiBin_33.fa,67.55443786520144,NA,NA,NA,NA,NA,74_0,NA,NA,1,NA,NA,NA,NA
snj03_SemiBin_61.fa,79.54919613250908,NA,NA,NA,NA,NA,75_1,NA,NA,3,97.21,96.42,NA,NA
snj01_SemiBin_109.fa,36.56792720402135,NA,NA,NA,NA,NA,76_0,NA,NA,1,NA,NA,NA,NA
snj04_SemiBin_0.fa,102.35554768571951,NA,NA,NA,NA,NA,77_0,NA,NA,1,NA,NA,NA,NA
sample18_SemiBin_319.fa,48.66707299441477,NA,NA,NA,NA,NA,78_0,NA,NA,1,NA,NA,NA,NA
snj19_SemiBin_93.fa,59.48078791866346,NA,NA,NA,NA,NA,79_1,NA,NA,4,96.00,95.70,NA,NA
sample23_SemiBin_54.fa,78.76435520856616,NA,NA,NA,NA,NA,80_0,NA,NA,1,NA,NA,NA,NA
snj20_SemiBin_155.fa,48.07216514339824,NA,NA,NA,NA,NA,81_0,NA,NA,1,NA,NA,NA,NA
snj09_SemiBin_179.fa,48.04382720618779,NA,NA,NA,NA,NA,82_1,NA,NA,1,NA,NA,NA,NA
snj13_SemiBin_18.fa,89.12585789143874,NA,NA,NA,NA,NA,82_2,NA,NA,1,NA,NA,NA,NA
snj10_SemiBin_80.fa,47.96344671074556,NA,NA,NA,NA,NA,82_3,NA,NA,1,NA,NA,NA,NA
sample23_SemiBin_85.fa,70.92796436659171,NA,NA,NA,NA,NA,82_4,NA,NA,1,NA,NA,NA,NA
snj09_SemiBin_189.fa,54.24558587301987,NA,NA,NA,NA,NA,83_0,NA,NA,1,NA,NA,NA,NA
snj19_SemiBin_137.fa,53.85782776261577,NA,NA,NA,NA,NA,84_0,NA,NA,1,NA,NA,NA,NA
cpsnj10_SemiBin_43.fa,92.88121898535655,NA,NA,NA,NA,NA,85_1,NA,NA,3,97.63,97.42,NA,NA
snj08_SemiBin_146.fa,39.27327721235538,NA,NA,NA,NA,NA,86_0,NA,NA,1,NA,NA,NA,NA
cpsnj02_SemiBin_61.fa,51.63719349503187,NA,NA,NA,NA,NA,87_0,NA,NA,1,NA,NA,NA,NA
snj20_SemiBin_26.fa,81.4637479821409,NA,NA,NA,NA,NA,88_0,NA,NA,1,NA,NA,NA,NA
sample21_SemiBin_50.fa,80.93171980699549,NA,NA,NA,NA,NA,89_1,NA,NA,2,95.20,95.20,NA,NA
cpsnj04_SemiBin_63.fa,65.55857684901808,NA,NA,NA,NA,NA,90_1,NA,NA,1,NA,NA,NA,NA
snj01_SemiBin_71.fa,69.45269140680392,NA,NA,NA,NA,NA,90_2,NA,NA,1,NA,NA,NA,NA
sample19_SemiBin_313.fa,26.515197462905554,NA,NA,NA,NA,NA,91_0,NA,NA,1,NA,NA,NA,NA
sample30_SemiBin_29.fa,28.140377673412907,NA,NA,NA,NA,NA,92_0,NA,NA,1,NA,NA,NA,NA
sample6_SemiBin_95.fa,48.05730695682012,NA,NA,NA,NA,NA,93_0,NA,NA,1,NA,NA,NA,NA
snj01_SemiBin_51.fa,78.00501540202085,NA,NA,NA,NA,NA,94_1,NA,NA,1,NA,NA,NA,NA
snj13_SemiBin_95.fa,73.11347409191674,NA,NA,NA,NA,NA,94_2,NA,NA,1,NA,NA,NA,NA
snj08_SemiBin_14.fa,86.3865604406561,NA,NA,NA,NA,NA,94_3,NA,NA,3,96.07,95.83,NA,NA
snj10_SemiBin_96.fa,41.40534225366261,NA,NA,NA,NA,NA,94_4,NA,NA,1,NA,NA,NA,NA
sample23_SemiBin_90.fa,22.842537316387467,NA,NA,NA,NA,NA,95_0,NA,NA,1,NA,NA,NA,NA
snj01_SemiBin_25.fa,63.10684306950462,NA,NA,NA,NA,NA,96_0,NA,NA,1,NA,NA,NA,NA
snj11_SemiBin_56.fa,77.28022187521981,NA,NA,NA,NA,NA,97_1,NA,NA,7,97.58,95.65,NA,NA
snj01_SemiBin_148.fa,55.495473081223466,NA,NA,NA,NA,NA,98_0,NA,NA,1,NA,NA,NA,NA
cpsnj04_SemiBin_110.fa,35.72970828851415,NA,NA,NA,NA,NA,99_0,NA,NA,1,NA,NA,NA,NA
snj09_SemiBin_86.fa,62.6270126537064,NA,NA,NA,NA,NA,100_0,NA,NA,1,NA,NA,NA,NA
snj09_SemiBin_57.fa,68.27252146703175,NA,NA,NA,NA,NA,101_0,NA,NA,1,NA,NA,NA,NA
snj09_SemiBin_78.fa,48.86242768623663,NA,NA,NA,NA,NA,102_0,NA,NA,1,NA,NA,NA,NA
sample4_SemiBin_73.fa,72.08616919977881,NA,NA,NA,NA,NA,103_1,NA,NA,3,97.32,96.68,NA,NA
snj20_SemiBin_4.fa,100.26052548472968,NA,NA,NA,NA,NA,104_1,NA,NA,9,98.44,96.85,NA,NA
snj08_SemiBin_70.fa,61.76586654897691,NA,NA,NA,NA,NA,104_2,NA,NA,1,NA,NA,NA,NA
snj01_SemiBin_2.fa,101.5298146438694,NA,NA,NA,NA,NA,105_0,NA,NA,1,NA,NA,NA,NA
snj01_SemiBin_3.fa,97.80677364782254,NA,NA,NA,NA,NA,106_0,NA,NA,1,NA,NA,NA,NA
sample4_SemiBin_17.fa,89.80417969955793,NA,NA,NA,NA,NA,107_1,NA,NA,4,97.33,96.97,NA,NA
sample10_SemiBin_309.fa,15.5522331940101,NA,NA,NA,NA,NA,107_2,NA,NA,1,NA,NA,NA,NA
cpsnj11_SemiBin_35.fa,94.0102295773505,NA,NA,NA,NA,NA,108_1,NA,NA,2,98.99,98.99,NA,NA
sample14_SemiBin_57.fa,71.87870748499708,NA,NA,NA,NA,NA,108_2,NA,NA,1,NA,NA,NA,NA
sample28_SemiBin_32.fa,60.73794724536882,NA,NA,NA,NA,NA,109_0,NA,NA,1,NA,NA,NA,NA
sample11_SemiBin_5.fa,98.1231733982969,NA,NA,NA,NA,NA,110_1,NA,NA,7,98.76,96.49,NA,NA
sample5_SemiBin_16.fa,99.57103755258106,NA,NA,NA,NA,NA,111_1,NA,NA,10,99.19,96.18,NA,NA
sample14_SemiBin_73.fa,25.771279337258925,NA,NA,NA,NA,NA,111_2,NA,NA,1,NA,NA,NA,NA
cpsnj09_SemiBin_126.fa,67.07768928776592,NA,NA,NA,NA,NA,112_0,NA,NA,1,NA,NA,NA,NA
snj20_SemiBin_2.fa,102.83538004237752,NA,NA,NA,NA,NA,113_1,NA,NA,6,98.13,96.77,NA,NA
cpsnj01_SemiBin_399.fa,34.479125957491874,NA,NA,NA,NA,NA,113_2,NA,NA,1,NA,NA,NA,NA
snj16_SemiBin_42.fa,67.34224735957044,NA,NA,NA,NA,NA,114_0,NA,NA,1,NA,NA,NA,NA
cpsnj01_SemiBin_6.fa,68.74413714831361,NA,NA,NA,NA,NA,115_1,NA,NA,2,97.60,97.60,NA,NA
snj20_SemiBin_108.fa,35.841604634824925,NA,NA,NA,NA,NA,116_0,NA,NA,1,NA,NA,NA,NA
cpsnj04_SemiBin_189.fa,56.63874796229963,NA,NA,NA,NA,NA,117_1,NA,NA,2,98.14,98.14,NA,NA
snj19_SemiBin_69.fa,65.71404820914304,NA,NA,NA,NA,NA,118_1,NA,NA,3,98.44,97.02,NA,NA
snj11_SemiBin_106.fa,46.45832404408287,NA,NA,NA,NA,NA,118_2,NA,NA,1,NA,NA,NA,NA
cpsnj09_SemiBin_59.fa,72.52976762752819,NA,NA,NA,NA,NA,119_1,NA,NA,3,99.08,98.38,NA,NA
snj08_SemiBin_15.fa,75.7614996506788,NA,NA,NA,NA,NA,119_2,NA,NA,3,97.80,96.83,NA,NA
sample4_SemiBin_14.fa,97.85853669085154,NA,NA,NA,NA,NA,119_3,NA,NA,6,97.90,95.11,NA,NA
sample18_SemiBin_355.fa,52.28225785844253,NA,NA,NA,NA,NA,119_4,NA,NA,1,NA,NA,NA,NA
sample22_SemiBin_33.fa,79.09487080040621,NA,NA,NA,NA,NA,120_1,NA,NA,2,95.95,95.95,NA,NA
sample25_SemiBin_90.fa,47.32042521542889,NA,NA,NA,NA,NA,120_2,NA,NA,1,NA,NA,NA,NA
cpsnj03_SemiBin_135.fa,65.41166041759186,NA,NA,NA,NA,NA,120_3,NA,NA,3,96.60,96.44,NA,NA
sample6_SemiBin_46.fa,55.35962277076591,NA,NA,NA,NA,NA,120_4,NA,NA,1,NA,NA,NA,NA
sample15_SemiBin_132.fa,39.25857960723141,NA,NA,NA,NA,NA,120_5,NA,NA,1,NA,NA,NA,NA
sample24_SemiBin_70.fa,34.18566587220053,NA,NA,NA,NA,NA,120_6,NA,NA,1,NA,NA,NA,NA
sample10_SemiBin_230.fa,10.56656814413932,NA,NA,NA,NA,NA,121_0,NA,NA,1,NA,NA,NA,NA
sample4_SemiBin_125.fa,36.36574536291968,NA,NA,NA,NA,NA,122_1,NA,NA,1,NA,NA,NA,NA
sample8_SemiBin_186.fa,37.52496176754221,NA,NA,NA,NA,NA,122_2,NA,NA,1,NA,NA,NA,NA
snj11_SemiBin_100.fa,46.11705354578651,NA,NA,NA,NA,NA,123_0,NA,NA,1,NA,NA,NA,NA
snj14_SemiBin_92.fa,57.75868307963351,NA,NA,NA,NA,NA,124_1,NA,NA,3,96.75,95.72,NA,NA
sample13_SemiBin_20.fa,95.26319364706326,NA,NA,NA,NA,NA,125_0,NA,NA,1,NA,NA,NA,NA
snj02_SemiBin_84.fa,27.545395346857585,NA,NA,NA,NA,NA,126_0,NA,NA,1,NA,NA,NA,NA
sample18_SemiBin_21.fa,102.35538117071198,NA,NA,NA,NA,NA,127_1,NA,NA,4,97.49,95.95,NA,NA
sample23_SemiBin_140.fa,50.8852452131425,NA,NA,NA,NA,NA,128_0,NA,NA,1,NA,NA,NA,NA
sample19_SemiBin_157.fa,52.02720859690232,NA,NA,NA,NA,NA,129_0,NA,NA,1,NA,NA,NA,NA
snj13_SemiBin_56.fa,75.28267248790112,NA,NA,NA,NA,NA,130_0,NA,NA,1,NA,NA,NA,NA
cpsnj01_SemiBin_43.fa,49.38606848908506,NA,NA,NA,NA,NA,131_0,NA,NA,1,NA,NA,NA,NA
snj04_SemiBin_8.fa,84.04017500926776,NA,NA,NA,NA,NA,132_1,NA,NA,3,95.97,95.77,NA,NA
cpsnj09_SemiBin_15.fa,96.98965014078809,NA,NA,NA,NA,NA,132_2,NA,NA,5,98.16,97.02,NA,NA
snj20_SemiBin_178.fa,52.782913808499856,NA,NA,NA,NA,NA,132_3,NA,NA,2,95.38,95.38,NA,NA
snj02_SemiBin_34.fa,54.47196242571594,NA,NA,NA,NA,NA,132_4,NA,NA,1,NA,NA,NA,NA
cpsnj13_SemiBin_156.fa,40.41579884122015,NA,NA,NA,NA,NA,132_5,NA,NA,1,NA,NA,NA,NA
cpsnj15_SemiBin_44.fa,48.49664018857109,NA,NA,NA,NA,NA,132_6,NA,NA,1,NA,NA,NA,NA
snj19_SemiBin_103.fa,46.11520466816688,NA,NA,NA,NA,NA,132_7,NA,NA,1,NA,NA,NA,NA
